npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2131522707.05,67840.2987414,2131522707.05,2131570677.38,2131474736.71,2131479533.74,2131565880.35,2.0,4602306133.33,0.125008550516,1,0.12499008153,0.125210084034,0.00195638614221,2.85069050095e-13
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2102529519.02,103088.716793,2102529519.02,2102602413.75,2102456624.28,2102463913.76,2102595124.27,2.0,10627283530.1,0.125008550516,26,0.249993800956,0.125210084034,0.00391298574928,2.85069050095e-13
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2069704433.32,61661.9741919,2069704433.32,2069748034.92,2069660831.72,2069665191.88,2069743674.76,2.0,3802199061.24,0.125008550516,51,0.250006199044,0.125210084034,0.00391317980826,2.85069050095e-13
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2036084692.3,367037.422247,2036084692.3,2036344226.95,2035825157.65,2035851111.12,2036318273.49,2.0,134716469330.0,0.125008550516,76,0.250006199044,0.125210084034,0.00391317980826,2.85069050095e-13
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2002749624.83,94686.350568,2002749624.83,2002816578.19,2002682671.47,2002689366.81,2002809882.86,2.0,8965504983.89,0.125008550516,101,0.125003719426,0.125210084034,0.00195659960708,2.85069050095e-13
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1842855784.49,2616668.26695,1842855784.49,1844706048.37,1841005520.61,1841190547.0,1844521021.98,2.0,6846952819260.0,0.250017101033,7,0.12499008153,0.249579831933,0.00779928435215,2.85069050095e-13
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1813303288.16,9109057.97859,1813303288.16,1819744364.83,1806862211.5,1807506319.16,1819100257.16,2.0,82974937257400.0,0.250017101033,32,0.249993800956,0.249579831933,0.0155994196985,2.85069050095e-13
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1786122918.53,576858.565339,1786122918.53,1786530819.13,1785715017.92,1785755807.98,1786490029.07,2.0,332765804404.0,0.250017101033,57,0.250006199044,0.249579831933,0.0156001933296,2.85069050095e-13
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1744210736.89,11296388.6898,1744210736.89,1752198489.93,1736222983.84,1737021759.15,1751399714.63,2.0,127608397431000.0,0.250017101033,82,0.250006199044,0.249579831933,0.0156001933296,2.85069050095e-13
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1743070084.8,2076312.22361,1743070084.8,1744538259.26,1741601910.35,1741748727.8,1744391441.81,2.0,4311072449930.0,0.250017101033,27,0.249993800956,0.125210084034,0.00782597149857,2.85069050095e-13
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1708648651.83,3729941.12817,1708648651.83,1711286118.5,1706011185.17,1706274931.83,1711022371.83,2.0,13912460819600.0,0.250017101033,2,0.12499008153,0.125210084034,0.00391277228441,2.85069050095e-13
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1704622090.83,4184985.23761,1704622090.83,1707581322.27,1701662859.39,1701958782.53,1707285399.12,2.0,17514101439000.0,0.250017101033,52,0.250006199044,0.125210084034,0.00782635961652,2.85069050095e-13
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1698368857.36,11373376.0401,1698368857.36,1706411048.68,1690326666.03,1691130885.17,1705606829.55,2.0,129353682549000.0,0.250017101033,107,0.125003719426,0.249579831933,0.00780013534634,2.85069050095e-13
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1677429675.43,340011.292988,1677429675.43,1677670099.72,1677189251.14,1677213293.57,1677646057.29,2.0,115607679360.0,0.250017101033,77,0.250006199044,0.125210084034,0.00782635961652,2.85069050095e-13
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1631901696.97,7535588.27281,1631901696.97,1637230162.54,1626573231.4,1627106077.96,1636697315.98,2.0,56785090617300.0,0.250017101033,102,0.125003719426,0.125210084034,0.00391319921416,2.85069050095e-13
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1560713642.28,4021982.97255,1560713642.28,1563557613.71,1557869670.84,1558154067.99,1563273216.57,2.0,16176347031500.0,0.250017101033,13,0.12499008153,0.249579831933,0.00779928435215,2.85069050095e-13
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1535812528.64,399469.247269,1535812528.64,1536094996.06,1535530061.23,1535558307.97,1536066749.31,2.0,159575679514.0,0.250017101033,38,0.249993800956,0.249579831933,0.0155994196985,2.85069050095e-13
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1491836385.51,9209733.92681,1491836385.51,1498348650.83,1485324120.2,1485975346.73,1497697424.3,2.0,84819199002700.0,0.250017101033,63,0.250006199044,0.249579831933,0.0156001933296,2.85069050095e-13
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1457573149.6,18042319.5981,1457573149.6,1470330996.14,1444815303.06,1446091087.72,1469055211.48,2.0,325525296481000.0,0.250017101033,88,0.250006199044,0.249579831933,0.0156001933296,2.85069050095e-13
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1452400446.82,6638858.41809,1452400446.82,1457094828.63,1447706065.02,1448175503.2,1456625390.45,2.0,44074441095500.0,0.250017101033,33,0.249993800956,0.249579831933,0.0155994196985,2.85069050095e-13
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1433353148.79,6024526.43753,1433353148.79,1437613132.29,1429093165.3,1429519163.65,1437187133.94,2.0,36294918796400.0,0.250017101033,113,0.125003719426,0.249579831933,0.00780013534634,2.85069050095e-13
