smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,770165793.948,320557.118373,770165793.948,770392462.06,769939125.835,769961792.647,770369795.248,2.0,102756866139.0,26,0.125018050542,0.00391384975812,0.125226860254,0.249996504259,1.83230531396e-13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,694300129.174,128680.881753,694300129.174,694391120.298,694209138.05,694218237.162,694382021.186,2.0,16558769328.8,51,0.125018050542,0.00391395921408,0.125226860254,0.250003495741,1.83230531396e-13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,619169232.574,793414.410149,619169232.574,619730261.283,618608203.864,618664306.735,619674158.412,2.0,629506426231.0,76,0.125018050542,0.00391395921408,0.125226860254,0.250003495741,1.83230531396e-13
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,543791708.978,1277469.4359,543791708.978,544695016.279,542888401.677,542978732.407,544604685.549,2.0,1631928159650.0,101,0.125018050542,0.00195697413424,0.125226860254,0.125001398296,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,536991524.075,122448.172231,536991524.075,537078108.008,536904940.142,536913598.536,537069449.615,2.0,14993554882.6,32,0.25,0.0156531386514,0.250453720508,0.249996504259,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,463113168.115,251032.116029,463113168.115,463290674.627,462935661.604,462953412.255,463272923.976,2.0,63017123277.9,57,0.25,0.0156535764121,0.250453720508,0.250003495741,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,452566699.645,798757.157241,452566699.645,453131506.248,452001893.043,452058373.703,453075025.587,2.0,638012996244.0,2,0.25,0.00391318616671,0.125226860254,0.124995105963,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,443203919.087,986953.942929,443203919.087,443901800.913,442506037.261,442575825.444,443832012.73,2.0,974078085463.0,27,0.25,0.00782656932572,0.125226860254,0.249996504259,1.83230531396e-13
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,388086467.449,1661820.19206,388086467.449,389261551.776,386911383.123,387028891.555,389144043.344,2.0,2761646350730.0,82,0.25,0.0156535764121,0.250453720508,0.250003495741,1.83230531396e-13
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,368819471.725,2140499.58996,368819471.725,370333033.5,367305909.949,367457266.127,370181677.322,2.0,4581738494630.0,52,0.25,0.00782678820604,0.125226860254,0.250003495741,1.83230531396e-13
