npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,340753265.599,182372.550519,340753265.599,340882222.466,340624308.732,340637204.419,340869326.78,2.0,33259747182.9,0.25000913242,63,0.0155839025875,0.25,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,311802816.817,188510.233648,311802816.817,311936113.682,311669519.953,311682849.639,311922783.996,2.0,35536108190.1,0.25000913242,88,0.0155839025875,0.25,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,297490032.378,71648.9585067,297490032.378,297540695.842,297439368.914,297444435.26,297535629.496,2.0,5133573255.1,0.12498630137,8,0.00783247488584,0.25,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,283967893.875,21546.0758457,283967893.875,283983129.251,283952658.499,283954182.036,283981605.714,2.0,464233384.347,0.24999086758,33,0.0156660943683,0.25,1.0563053673200001e-12,0.250666666667
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,283284870.916,349478.454476,283284870.916,283531989.501,283037752.331,283062464.19,283507277.643,2.0,122135190143.0,0.12500456621,113,0.00779195129376,0.25,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,255803331.641,240275.877488,255803331.641,255973232.344,255633430.939,255650421.009,255956242.274,2.0,57732497302.4,0.25000913242,58,0.015667238965,0.25,1.0563053673200001e-12,0.250666666667
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,245509841.123,68470.1425129,245509841.123,245558256.825,245461425.421,245466266.991,245553415.255,2.0,4688160415.74,0.12498630137,19,0.00779081278539,0.25,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,226706398.589,255259.097045,226706398.589,226886894.028,226525903.151,226543952.695,226868844.484,2.0,65157206624.1,0.25000913242,83,0.015667238965,0.25,1.0563053673200001e-12,0.250666666667
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,218825736.221,183952.679359,218825736.221,218955810.408,218695662.034,218708669.453,218942802.989,2.0,33838588243.4,0.24999086758,44,0.0155827640791,0.25,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,198843196.714,30127.1133816,198843196.714,198864499.8,198821893.627,198824023.936,198862369.491,2.0,907642960.706,0.12498630137,3,0.00391623744292,0.25,1.0563053673200001e-12,0.125333333333
