smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-120147666.194,1356114.56219,-120147666.194,-119188748.391,-121106583.997,-121010692.216,-119284640.171,2.0,1839046705800.0,0.0155946083013,0.249963898917,1.83230531396e-13,0.250003495741,0.249546279492,88
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-142434684.176,2252496.23961,-142434684.176,-140841928.811,-144027439.542,-143868164.005,-141001204.347,2.0,5073739309440.0,0.00779801591193,0.25,1.83230531396e-13,0.124995105963,0.249546279492,19
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-157887104.484,3116565.85945,-157887104.484,-155683359.631,-160090849.338,-159870474.852,-155903734.116,2.0,9712982756270.0,0.0156513159678,0.249963898917,1.83230531396e-13,0.250003495741,0.250453720508,58
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-196864637.986,1228719.56887,-196864637.986,-195995802.047,-197733473.925,-197646590.331,-196082685.641,2.0,1509751778930.0,0.00779728234506,0.249963898917,1.83230531396e-13,0.125001398296,0.249546279492,113
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-213841601.504,163687.760446,-213841601.504,-213725856.778,-213957346.229,-213945771.756,-213737431.251,2.0,26793682919.7,0.00391262108568,0.249963898917,1.83230531396e-13,0.124995105963,0.125226860254,3
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-216916980.238,3275049.77008,-216916980.238,-214601170.337,-219232790.14,-219001209.149,-214832751.327,2.0,10725950996500.0,0.0078254391352,0.249963898917,1.83230531396e-13,0.249996504259,0.125226860254,28
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-221150092.07,5614564.00245,-221150092.07,-217179995.791,-225120188.35,-224723178.722,-217577005.419,2.0,31523328937600.0,0.015596424381,0.25,1.83230531396e-13,0.249996504259,0.249546279492,44
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-239335171.557,613003.238373,-239335171.557,-238901712.81,-239768630.304,-239725284.429,-238945058.685,2.0,375772970256.0,0.0156513159678,0.249963898917,1.83230531396e-13,0.250003495741,0.250453720508,83
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-295516972.09,1587293.66959,-295516972.09,-294394585.972,-296639358.207,-296527119.596,-294506824.584,2.0,2519501193520.0,0.00782565798392,0.249963898917,1.83230531396e-13,0.250003495741,0.125226860254,53
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-300467671.464,810468.44662,-300467671.464,-299894583.729,-301040759.198,-300983450.425,-299951892.503,2.0,656859102966.0,0.0155968605555,0.25,1.83230531396e-13,0.250003495741,0.249546279492,69
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-307990746.968,2272020.22571,-307990746.968,-306384186.06,-309597307.877,-309436651.786,-306544842.151,2.0,5162075906030.0,0.00779801591193,0.25,1.83230531396e-13,0.124995105963,0.249546279492,14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-317090409.5,778321.443411,-317090409.5,-316540053.129,-317640765.87,-317585730.233,-316595088.766,2.0,605784269274.0,0.00782563609905,0.249963898917,1.83230531396e-13,0.125001398296,0.250453720508,108
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-341465378.693,2341761.54824,-341465378.693,-339809503.222,-343121254.164,-342955666.617,-339975090.769,2.0,5483847148810.0,0.015596424381,0.25,1.83230531396e-13,0.249996504259,0.249546279492,39
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-372391413.305,3685757.46043,-372391413.305,-369785189.211,-374997637.399,-374737014.99,-370045811.621,2.0,13584808057100.0,0.00195687562387,0.125018050542,1.83230531396e-13,0.124995105963,0.125226860254,25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-375287518.371,2963540.84985,-375287518.371,-373191978.54,-377383058.202,-377173504.219,-373401532.523,2.0,8782574368710.0,0.0155968605555,0.25,1.83230531396e-13,0.250003495741,0.249546279492,94
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-376762155.305,2114428.91579,-376762155.305,-375267028.281,-378257282.33,-378107769.627,-375416540.983,2.0,4470809639920.0,0.00782565798392,0.249963898917,1.83230531396e-13,0.250003495741,0.125226860254,78
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-426302222.565,797722.162974,-426302222.565,-425738147.814,-426866297.316,-426809889.84,-425794555.289,2.0,636360649300.0,0.0155968605555,0.25,1.83230531396e-13,0.250003495741,0.249546279492,64
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-445485737.167,1510733.2047,-445485737.167,-444417487.473,-446553986.86,-446447161.891,-444524312.442,2.0,2282314815800.0,0.00391384975812,0.125018050542,1.83230531396e-13,0.249996504259,0.125226860254,50
