hours,price
1.0,35.68
2.0,30.35
3.0,30.6
4.0,30.21
5.0,31.81
6.0,30.72
7.0,33.84
8.0,43.86
9.0,44.76
10.0,50.05
11.0,54.68
12.0,55.72
13.0,51.49
14.0,49.34
15.0,42.29
16.0,38.79
17.0,42.25
18.0,58.62
19.0,81.58
20.0,71.87
21.0,61.75
22.0,52.3
23.0,47.9
24.0,41.3
25.0,44.35
26.0,40.34
27.0,39.89
28.0,38.22
29.0,40.98
30.0,44.4
31.0,47.37
32.0,83.17
33.0,74.58
34.0,70.98
35.0,57.66
36.0,50.29
37.0,43.42
38.0,34.25
39.0,27.96
40.0,25.63
41.0,25.27
42.0,40.35
43.0,66.18
44.0,52.67
45.0,49.2
46.0,44.15
47.0,42.57
48.0,29.58
49.0,25.65
50.0,23.73
51.0,23.66
52.0,23.22
53.0,24.81
54.0,27.79
55.0,40.68
56.0,65.91
57.0,70.7
58.0,66.9
59.0,61.09
60.0,57.62
61.0,52.55
62.0,48.92
63.0,44.64
64.0,42.04
65.0,45.47
66.0,70.0
67.0,97.28
68.0,80.54
69.0,69.7
70.0,66.57
71.0,67.22
72.0,56.87
73.0,68.89
74.0,62.87
75.0,58.98
76.0,61.43
77.0,61.37
78.0,73.14
79.0,102.74
80.0,148.05
81.0,148.0
82.0,143.79
83.0,129.13
84.0,120.04
85.0,115.53
86.0,96.82
87.0,96.03
88.0,92.76
89.0,98.22
90.0,132.26
91.0,171.23
92.0,146.08
93.0,123.57
94.0,119.6
95.0,128.02
96.0,101.43
97.0,111.84
98.0,92.25
99.0,82.96
100.0,86.52
101.0,78.33
102.0,81.38
103.0,144.18
104.0,188.35
105.0,172.78
106.0,171.21
107.0,156.41
108.0,152.23
109.0,154.54
110.0,147.17
111.0,129.45
112.0,123.11
113.0,113.74
114.0,163.93
115.0,205.91
116.0,148.33
117.0,126.39
118.0,110.54
119.0,115.11
120.0,85.13
121.0,65.15
122.0,55.29
123.0,50.26
124.0,51.4
125.0,48.66
126.0,46.06
127.0,49.97
128.0,52.3
129.0,51.88
130.0,54.95
131.0,45.68
132.0,42.07
133.0,36.21
134.0,32.57
135.0,28.78
136.0,24.11
137.0,24.0
138.0,26.74
139.0,31.5
140.0,24.38
141.0,21.86
142.0,20.66
143.0,24.62
144.0,21.78
145.0,20.01
146.0,15.2
147.0,15.67
148.0,15.25
149.0,14.81
150.0,15.7
151.0,16.54
152.0,18.47
153.0,20.99
154.0,23.6
155.0,26.21
156.0,25.5
157.0,24.69
158.0,24.72
159.0,23.6
160.0,23.54
161.0,24.28
162.0,31.08
163.0,38.4
164.0,29.96
165.0,28.1
