smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-93395947.9355,5744252.49699,-92824057.7546,-88432374.4802,-99503301.7525,-99141322.6193,-88451219.5048,4.0,32996436749200.0,5.88667788813e-14,47,0.25,0.0078125665695,0.125001065112,0.25
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-106848296.635,7378863.40172,-108895410.586,-96389492.9746,-113212872.395,-112804010.665,-98026623.0751,4.0,54447625101200.0,5.88667788813e-14,58,0.25,0.015624866861,0.249997869776,0.25
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-123063835.765,1688660.66591,-123462079.465,-120678727.163,-124652456.966,-124490693.671,-121079436.679,4.0,2851574844580.0,5.88667788813e-14,41,0.125,0.0078125665695,0.250002130224,0.25
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-220818014.336,2541197.3936,-220506698.44,-218199603.315,-224059057.15,-223669246.359,-218402624.568,4.0,6457684193220.0,5.88667788813e-14,63,0.25,0.0156251627254,0.250002603607,0.25
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-227969849.144,5732517.12299,-228067284.611,-220895049.898,-234849777.456,-233947624.25,-221855664.384,4.0,32861752565300.0,5.88667788813e-14,52,0.25,0.00781227070507,0.124996331281,0.25
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-231168852.136,1683627.14915,-231236793.524,-229129437.707,-233072383.787,-232886539.144,-229356047.183,4.0,2834600377370.0,5.88667788813e-14,46,0.125,0.00390628328475,0.125001065112,0.25
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-249184958.594,3932324.9424,-248189324.717,-245695746.816,-254665438.126,-253851224.764,-245912579.851,4.0,15463179452600.0,5.88667788813e-14,57,0.25,0.015624866861,0.249997869776,0.25
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-318900935.84,2561727.43441,-318972530.499,-315693520.722,-321965161.638,-321517323.797,-316184315.359,4.0,6562447448230.0,5.88667788813e-14,68,0.25,0.015625133139,0.250002130224,0.25
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-361945424.111,3176654.50599,-362455330.831,-357784633.314,-365086401.469,-364861958.591,-358315020.224,4.0,10091133850400.0,5.88667788813e-14,62,0.25,0.0156251627254,0.250002603607,0.25
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-425409856.489,6711757.58792,-423265909.788,-420047605.233,-435060001.146,-433504894.509,-420316343.849,4.0,45047689919000.0,5.88667788813e-14,56,0.125,0.0078124334305,0.249997869776,0.25
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-429394135.98,7220493.56235,-431174707.091,-419903614.592,-435323515.147,-435229804.892,-421065667.513,4.0,52135527283900.0,5.88667788813e-14,73,0.25,0.0078125665695,0.125001065112,0.25
1200.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-433219571.024,10249376.3218,-432038387.045,-423626029.961,-445175480.046,-444137929.137,-423954870.483,4.0,105049714986000.0,5.88667788813e-14,84,0.25,0.015624866861,0.249997869776,0.25
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-447908973.031,2395145.86921,-448874782.995,-444353107.315,-449533218.821,-449460914.325,-445004897.788,4.0,5736723734810.0,5.88667788813e-14,51,0.125,0.00390613535253,0.124996331281,0.25
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-471303918.195,7135380.17304,-472744350.706,-462327246.087,-477399725.28,-477290555.937,-463300674.937,4.0,50913650213800.0,5.88667788813e-14,67,0.25,0.015625133139,0.250002130224,0.25
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-539213130.836,2907215.71977,-539560452.504,-535644008.197,-542087610.139,-541923648.663,-536016362.674,4.0,8451903241280.0,5.88667788813e-14,61,0.125,0.00781258136272,0.250002603607,0.25
1200.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-544004151.259,6807395.67859,-544148643.182,-535525057.079,-552194261.591,-550996422.941,-536809590.884,4.0,46340635924800.0,5.88667788813e-14,89,0.25,0.0156251627254,0.250002603607,0.25
1200.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-556322377.244,6403723.0698,-555525785.01,-550003712.136,-564234226.821,-563393093.554,-550366890.063,4.0,41007669154700.0,5.88667788813e-14,78,0.25,0.00781227070507,0.124996331281,0.25
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-578866874.987,2324333.22974,-578668310.012,-576233122.713,-581897757.211,-581421432.277,-576590308.662,4.0,5402524962890.0,5.88667788813e-14,72,0.25,0.0078125665695,0.125001065112,0.25
1200.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-595590687.021,8632378.62427,-595166601.907,-585609254.527,-606420289.741,-604998140.835,-586776952.364,4.0,74517960712700.0,5.88667788813e-14,83,0.25,0.015624866861,0.249997869776,0.25
1200.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-644668710.323,9808490.30824,-643109263.622,-635888949.969,-656567364.08,-655404395.693,-636116250.335,4.0,96206482126800.0,5.88667788813e-14,94,0.25,0.015625133139,0.250002130224,0.25
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-648104434.497,3562478.01926,-649177385.73,-643122153.633,-650940812.895,-650857020.349,-643849716.919,4.0,12691249637700.0,5.88667788813e-14,66,0.125,0.0078125665695,0.250002130224,0.25
1200.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-705579748.314,7933205.20259,-706507574.148,-695424318.579,-713879526.382,-713185434.278,-696675106.184,4.0,62935744786400.0,5.88667788813e-14,88,0.25,0.0156251627254,0.250002603607,0.25
1200.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-742573991.899,11946079.7054,-737869785.244,-734585462.078,-759970935.027,-757098162.145,-734635710.968,4.0,142708820327000.0,5.88667788813e-14,110,0.125,0.00390621671525,0.249997869776,0.125
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-760148235.021,4973518.85141,-760494895.296,-753803990.105,-765799159.385,-765145225.435,-754665920.221,4.0,24735889765300.0,5.88667788813e-14,71,0.125,0.00390628328475,0.125001065112,0.25
1200.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-767701204.51,3950255.20228,-768004428.313,-763637507.04,-771158454.374,-771137388.915,-763840506.781,4.0,15604516163100.0,5.88667788813e-14,99,0.25,0.0078125665695,0.125001065112,0.25
1200.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-780670747.592,9887746.74341,-783877658.527,-766738617.659,-788189055.654,-788041023.91,-768810795.965,4.0,97767535661900.0,5.88667788813e-14,82,0.25,0.015624866861,0.249997869776,0.25
1200.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-786311641.755,8694312.42207,-788747004.122,-774436151.6,-793316407.178,-793159384.582,-776054391.616,4.0,75591068492500.0,5.88667788813e-14,77,0.25,0.00781227070507,0.124996331281,0.25
1200.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-815693918.282,1414861.49903,-815731883.259,-813967035.085,-817344871.525,-817160516.675,-814174168.921,4.0,2001833061420.0,5.88667788813e-14,93,0.25,0.015625133139,0.250002130224,0.25
1200.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-848132198.982,3346711.33815,-847240081.177,-845128899.289,-852919734.287,-852095723.925,-845417638.967,4.0,11200476780900.0,5.88667788813e-14,115,0.125,0.00390629068136,0.250002603607,0.125
1200.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-871451478.338,9464935.18818,-867790089.644,-864758026.585,-885467707.478,-882903945.113,-865124955.734,4.0,89584998116500.0,5.88667788813e-14,104,0.25,0.00390613535253,0.124996331281,0.125
1200.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-894801141.392,10182355.5936,-896315245.016,-881688572.963,-904885502.573,-904207623.969,-883274913.741,4.0,103680365435000.0,5.88667788813e-14,87,0.25,0.0156251627254,0.250002603607,0.25
1200.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-930412269.289,12223744.0364,-931471803.687,-915861334.666,-942844135.115,-942085387.481,-917255802.939,4.0,149419918267000.0,5.88667788813e-14,98,0.25,0.0078125665695,0.125001065112,0.25
1200.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-936617629.229,12247912.9078,-938444022.598,-921919986.124,-947662485.596,-947368395.445,-923309912.296,4.0,150011370597000.0,5.88667788813e-14,109,0.25,0.0078124334305,0.249997869776,0.125
1200.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-966933006.133,8096655.56274,-966332784.308,-958856432.838,-976210023.076,-975437200.212,-959269122.608,4.0,65555831301600.0,5.88667788813e-14,120,0.125,0.00390628328475,0.250002130224,0.125
1200.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-990581955.742,2963149.04556,-990477575.062,-987350191.646,-994022481.195,-993703868.081,-987606176.353,4.0,8780252266180.0,5.88667788813e-14,81,0.125,0.0078124334305,0.249997869776,0.25
1200.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1009349841.89,6808727.18089,-1009731728.64,-1001086343.23,-1016849567.04,-1016182328.57,-1001982713.76,4.0,46358765823800.0,5.88667788813e-14,92,0.25,0.015625133139,0.250002130224,0.25
