npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,454818428.597,26991866.2451,454818428.597,473904560.256,435732296.938,437640910.104,471995947.09,2.0,728560843393000.0,0.125210084034,0.124974348451,25,0.00195585087924,0.12499008153,2.85069050095e-13
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,436532389.194,3202642.21606,436532389.194,438796999.222,434267779.165,434494240.168,438570538.219,2.0,10256917164100.0,0.125210084034,0.124974348451,50,0.00391191516495,0.249993800956,2.85069050095e-13
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,395126154.669,10462560.7971,395126154.669,402524302.357,387728006.98,388467821.749,401784487.588,2.0,109465178434000.0,0.125210084034,0.124974348451,75,0.00391210917083,0.250006199044,2.85069050095e-13
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,360356023.331,13475584.7246,360356023.331,369884700.67,350827345.991,351780213.725,368931832.936,2.0,181591383669000.0,0.125210084034,0.124974348451,100,0.00391210917083,0.250006199044,2.85069050095e-13
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,331206560.194,912859.975969,331206560.194,331852049.674,330561070.715,330625619.663,331787500.726,2.0,833313335727.0,0.250420168067,0.124974348451,45,0.0078238303299,0.249993800956,2.85069050095e-13
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,331027661.019,2988193.71267,331027661.019,333140633.057,328914688.981,329125986.185,332929335.853,2.0,8929301664420.0,0.250420168067,0.124974348451,20,0.00391170175848,0.12499008153,2.85069050095e-13
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,294912137.932,29782944.2017,294912137.932,315971859.741,273852416.124,275958388.304,313865887.56,2.0,887023765322000.0,0.125210084034,0.124974348451,125,0.00195606428571,0.125003719426,2.85069050095e-13
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,286552379.234,9442726.41724,286552379.234,293229395.117,279875363.352,280543064.94,292561693.529,2.0,89165082190800.0,0.250420168067,0.249982898967,19,0.00782447404289,0.12499008153,2.85069050095e-13
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,281805244.591,6264529.25258,281805244.591,286234935.706,277375553.475,277818522.587,285791966.595,2.0,39244326756500.0,0.250420168067,0.124974348451,70,0.00782421834166,0.250006199044,2.85069050095e-13
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,266351219.428,13332563.4136,266351219.428,275778765.428,256923673.428,257866428.028,274836010.828,2.0,177757247178000.0,0.250420168067,0.249982898967,44,0.0156498018285,0.249993800956,2.85069050095e-13
