smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,833390885.469,556138.751082,833390885.469,833784134.951,832997635.987,833036960.935,833744810.003,2.0,309290310455.0,0.124999356348,1.83809210519e-14,0.125,1,0.12499839544,0.00195308987182
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,426399622.184,10575928.6766,426399622.184,433877933.069,418921311.3,419669142.388,433130101.98,2.0,111850267372000.0,0.124999356348,1.83809210519e-14,0.125,2,0.25,0.00390622988587
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,409604026.706,23349902.6754,409604026.706,426114901.228,393093152.185,394744239.637,424463813.776,2.0,545217954950000.0,0.124999356348,1.83809210519e-14,0.25,13,0.25,0.00781245977175
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,260863482.925,6504852.10107,260863482.925,265463107.956,256263857.894,256723820.397,265003145.453,2.0,42313100856800.0,0.249999511712,1.83809210519e-14,0.125,26,0.12499839544,0.00390619222812
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,234408177.69,2109309.73819,234408177.69,235899684.91,232916670.471,233065821.193,235750534.188,2.0,4449187571610.0,0.124999356348,1.83809210519e-14,0.25,8,0.25,0.00781245977175
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,71540216.0926,1241103.55479,71540216.0926,72417808.8323,70662623.3528,70750382.6268,72330049.5583,2.0,1540338033720.0,0.124999356348,0.0,0.125,25,0.12500160456,0.00195314001405
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,56694997.6676,19457143.5729,56694997.6676,70453275.8306,42936719.5047,44312547.321,69077448.0143,2.0,378580436017000.0,0.249999511712,1.83809210519e-14,0.25,32,0.25,0.015624969482
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,9741807.16016,41646205.0366,9741807.16016,39190121.1522,-19706506.8319,-16761675.4327,36245289.753,2.0,1734406393950000.0,0.124999356348,1.83809210519e-14,0.125,3,0.25,0.00390622988587
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-23153583.0372,13614834.367,-23153583.0372,-13526441.3315,-32780724.7428,-31818010.5722,-14489155.5021,2.0,185363714841000.0,0.124999356348,1.83809210519e-14,0.25,14,0.25,0.00781245977175
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-42879917.8978,8357484.02843,-42879917.8978,-36970284.2676,-48789551.5279,-48198588.1649,-37561247.6306,2.0,69847539285400.0,0.249999511712,1.83809210519e-14,0.125,27,0.25,0.00781248474101
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-94520023.828,32338674.4003,-94520023.828,-71653127.865,-117386919.791,-115100230.195,-73939817.4613,2.0,1045789861970000.0,0.124999356348,0.0,0.25,20,0.12500160456,0.0039062800281
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-139324260.992,23674488.1749,-139324260.992,-122583869.863,-156064652.122,-154390613.009,-124257908.976,2.0,560481390344000.0,0.124999356348,1.83809210519e-14,0.25,9,0.25,0.00781245977175
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-162401779.747,11655123.7861,-162401779.747,-154160362.682,-170643196.811,-169819055.105,-154984504.388,2.0,135841910470000.0,0.249999511712,1.83809210519e-14,0.25,38,0.25,0.015624969482
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-274851540.009,15164658.8259,-274851540.009,-264128506.919,-285574573.1,-284502269.791,-265200810.228,2.0,229966877307000.0,0.249999511712,1.83809210519e-14,0.25,33,0.25,0.015624969482
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-321118679.456,9694266.01506,-321118679.456,-314263798.218,-327973560.694,-327288072.57,-314949286.342,2.0,93978793570700.0,0.250000399508,1.83809210519e-14,0.125,51,0.12499839544,0.00390620609975
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-343780716.965,34092950.9164,-343780716.965,-319673360.181,-367888073.748,-365477338.07,-322084095.86,2.0,1162329302190000.0,0.124999356348,1.83809210519e-14,0.125,4,0.25,0.00390622988587
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-366664235.469,60411897.6859,-366664235.469,-323946572.951,-409381897.987,-405110131.735,-328218339.202,2.0,3649597382010000.0,0.124999356348,0.0,0.25,15,0.12500160456,0.0039062800281
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-379607843.217,15128332.934,-379607843.217,-368910496.411,-390305190.023,-389235455.342,-369980231.092,2.0,228866457363000.0,0.249999511712,1.83809210519e-14,0.25,44,0.25,0.015624969482
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-413142609.61,35348793.1508,-413142609.61,-388147238.267,-438137980.954,-435638443.82,-390646775.401,2.0,1249537177210000.0,0.249999511712,1.83809210519e-14,0.125,28,0.25,0.00781248474101
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-498808453.335,9218456.45475,-498808453.335,-492290020.264,-505326886.406,-504675043.099,-492941863.571,2.0,84979939408100.0,0.249999511712,0.0,0.125,50,0.12500160456,0.00390629251289
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-500464210.489,13709720.2889,-500464210.489,-490769974.304,-510158446.673,-509189023.055,-491739397.923,2.0,187956430400000.0,0.124999356348,0.0,0.25,10,0.12500160456,0.0039062800281
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-514844457.692,1596203.51392,-514844457.692,-513715771.363,-515973144.021,-515860275.388,-513828639.996,2.0,2547865657850.0,0.250000399508,1.83809210519e-14,0.25,57,0.25,0.0156250249693
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-535627139.682,24855725.9913,-535627139.682,-518051487.283,-553202792.082,-551445226.842,-519809052.523,2.0,617807114555000.0,0.249999511712,1.83809210519e-14,0.25,39,0.25,0.015624969482
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-626786958.965,4255539.1716,-626786958.965,-623777838.359,-629796079.57,-629495167.51,-624078750.419,2.0,18109613641000.0,0.250000399508,1.83809210519e-14,0.125,52,0.25,0.00781251248463
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-634827008.91,15572515.3239,-634827008.91,-623815577.724,-645838440.096,-644737296.977,-624916720.843,2.0,242503233513000.0,0.249999511712,0.0,0.25,45,0.12500160456,0.00781258502578
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-661682545.082,18357018.2583,-661682545.082,-648702172.99,-674662917.175,-673364879.966,-650000210.199,2.0,336980119337000.0,0.249999511712,1.83809210519e-14,0.25,34,0.25,0.015624969482
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-682212790.245,24059087.3204,-682212790.245,-665200446.451,-699225134.038,-697523899.659,-666901680.831,2.0,578839682691000.0,0.124999356348,0.0,0.125,5,0.12500160456,0.00195314001405
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-765684650.732,19477617.9142,-765684650.732,-751911895.023,-779457406.44,-778080130.869,-753289170.594,2.0,379377599612000.0,0.250000399508,1.83809210519e-14,0.25,63,0.25,0.0156250249693
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-852522063.538,44238732.8909,-852522063.538,-821240555.52,-883803571.556,-880675420.755,-824368706.322,2.0,1957065487790000.0,0.250000399508,1.83809210519e-14,0.25,58,0.25,0.0156250249693
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-857269751.862,45892673.4439,-857269751.862,-824818731.263,-889720772.461,-886475670.401,-828063833.323,2.0,2106137475820000.0,0.249999511712,1.83809210519e-14,0.125,29,0.25,0.00781248474101
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,4223951.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-898310860.966,10165518.0992,-898310860.966,-891122754.183,-905498967.748,-904780157.07,-891841564.862,2.0,103337758225000.0,0.250000488288,1.83809210519e-14,0.125,76,0.12499839544,0.00390620748691
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-900205649.289,6609668.21692,-900205649.289,-895531908.072,-904879390.507,-904412016.385,-895999282.193,2.0,43687713937700.0,0.249999511712,0.0,0.25,40,0.12500160456,0.00781258502578
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-987032286.48,25596167.5196,-987032286.48,-968933062.854,-1005131510.11,-1003321587.74,-970742985.217,2.0,655163791692000.0,0.250000399508,1.83809210519e-14,0.25,69,0.25,0.0156250249693
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1011933941.98,20516903.4822,-1011933941.98,-997426300.395,-1026441583.56,-1024990819.4,-998877064.553,2.0,420943328498000.0,0.250000399508,1.83809210519e-14,0.125,53,0.25,0.00781251248463
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1122170741.86,27675347.054,-1122170741.86,-1102601316.29,-1141740167.43,-1139783224.88,-1104558258.84,2.0,765924834558000.0,0.249999511712,0.0,0.25,35,0.12500160456,0.00781258502578
