npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1745749934.64,625833.63683,1745749934.64,1746192465.84,1745307403.43,1745351656.55,1746148212.72,2.0,391667740988.0,2.85069050095e-13,0.125210084034,1,0.00195638614221,0.125008550516,0.12499008153
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1706182674.17,17005.6186922,1706182674.17,1706194698.96,1706170649.38,1706171851.86,1706193496.48,2.0,289191067.104,2.85069050095e-13,0.125210084034,26,0.00391298574928,0.125008550516,0.249993800956
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1661220301.51,1014289.34154,1661220301.51,1661937512.39,1660503090.64,1660574811.73,1661865791.3,2.0,1028782868370.0,2.85069050095e-13,0.125210084034,51,0.00391317980826,0.125008550516,0.250006199044
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1617592518.55,439183.59374,1617592518.55,1617903068.25,1617281968.85,1617313023.82,1617872013.28,2.0,192882229011.0,2.85069050095e-13,0.125210084034,76,0.00391317980826,0.125008550516,0.250006199044
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1573561487.38,92801.9075443,1573561487.38,1573627108.24,1573495866.52,1573502428.61,1573620546.15,2.0,8612194043.87,2.85069050095e-13,0.125210084034,101,0.00195659960708,0.125008550516,0.125003719426
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1510602633.08,845746.676515,1510602633.08,1511200666.29,1510004599.87,1510064403.19,1511140862.97,2.0,715287440836.0,2.85069050095e-13,0.249579831933,7,0.00779928435215,0.250017101033,0.12499008153
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1461298705.04,8474050.22422,1461298705.04,1467290763.42,1455306646.66,1455905852.5,1466691557.58,2.0,71809527202700.0,2.85069050095e-13,0.249579831933,32,0.0155994196985,0.250017101033,0.249993800956
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1421702397.73,7387979.40753,1421702397.73,1426926488.07,1416478307.39,1417000716.43,1426404079.04,2.0,54582239726100.0,2.85069050095e-13,0.249579831933,57,0.0156001933296,0.250017101033,0.250006199044
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1371869771.28,16580671.0569,1371869771.28,1383594076.22,1360145466.33,1361317896.83,1382421645.72,2.0,274918652696000.0,2.85069050095e-13,0.249579831933,82,0.0156001933296,0.250017101033,0.250006199044
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1364757682.62,5069988.9584,1364757682.62,1368342706.2,1361172659.05,1361531161.41,1367984203.84,2.0,25704788038300.0,2.85069050095e-13,0.125210084034,27,0.00782597149857,0.250017101033,0.249993800956
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1340835334.61,5873793.68175,1340835334.61,1344988733.95,1336681935.26,1337097275.2,1344573394.02,2.0,34501452215700.0,2.85069050095e-13,0.125210084034,2,0.00391277228441,0.250017101033,0.12499008153
