hours,price
1.0,21.68
2.0,20.49
3.0,20.8
4.0,19.83
5.0,20.29
6.0,20.01
7.0,20.61
8.0,21.77
9.0,21.69
10.0,21.98
11.0,22.82
12.0,22.82
13.0,23.11
14.0,22.78
15.0,22.32
16.0,22.35
17.0,23.32
18.0,28.49
19.0,34.17
20.0,30.8
21.0,30.08
22.0,27.18
23.0,24.55
24.0,23.26
25.0,21.91
26.0,22.21
27.0,20.99
28.0,20.93
29.0,20.14
30.0,20.39
31.0,21.69
32.0,23.89
33.0,24.2
34.0,23.56
35.0,23.93
36.0,23.0
37.0,22.23
38.0,21.55
39.0,21.94
40.0,21.83
41.0,22.74
42.0,25.21
43.0,29.08
44.0,24.59
45.0,23.65
46.0,22.46
47.0,22.25
48.0,21.01
49.0,20.09
50.0,20.2
51.0,19.97
52.0,19.97
53.0,19.76
54.0,20.14
55.0,20.22
56.0,23.9
57.0,22.91
58.0,21.97
59.0,21.66
60.0,21.0
61.0,20.54
62.0,20.16
63.0,20.44
64.0,19.8
65.0,19.82
66.0,21.61
67.0,22.6
68.0,21.25
69.0,20.19
70.0,19.69
71.0,19.83
72.0,19.15
73.0,16.77
74.0,16.59
75.0,17.06
76.0,17.86
77.0,17.22
78.0,18.5
79.0,19.5
80.0,25.7
81.0,26.47
82.0,24.82
83.0,26.74
84.0,25.26
85.0,23.74
86.0,22.92
87.0,22.09
88.0,21.35
89.0,21.48
90.0,23.29
91.0,23.7
92.0,21.32
93.0,20.76
94.0,19.21
95.0,18.33
96.0,18.13
97.0,17.84
98.0,17.38
99.0,17.09
100.0,16.86
101.0,16.95
102.0,16.46
103.0,18.01
104.0,19.43
105.0,21.2
106.0,22.8
107.0,23.57
108.0,22.58
109.0,22.45
110.0,21.77
111.0,21.28
112.0,21.17
113.0,21.9
114.0,22.51
115.0,24.84
116.0,22.98
117.0,22.4
118.0,21.44
119.0,21.13
120.0,19.71
121.0,19.09
122.0,18.47
123.0,17.86
124.0,17.86
125.0,17.49
126.0,17.84
127.0,17.75
128.0,17.96
129.0,17.95
130.0,17.47
131.0,16.66
132.0,15.35
133.0,13.7
134.0,13.12
135.0,15.32
136.0,14.44
137.0,15.75
138.0,16.75
139.0,17.49
140.0,17.06
141.0,16.09
142.0,15.76
143.0,13.86
144.0,12.8
145.0,11.7
146.0,12.25
147.0,13.09
148.0,13.95
149.0,13.85
150.0,15.76
151.0,18.25
152.0,21.1
153.0,20.71
154.0,20.17
155.0,20.0
156.0,19.39
157.0,19.14
158.0,19.13
159.0,19.3
160.0,19.0
161.0,20.25
162.0,22.44
163.0,23.38
164.0,20.88
165.0,19.49
166.0,17.97
167.0,17.89
168.0,17.8
169.0,17.96
170.0,15.04
171.0,14.99
172.0,13.04
