hours,price
1.0,29.02
2.0,24.91
3.0,23.05
4.0,22.6
5.0,22.82
6.0,23.81
7.0,25.53
8.0,26.31
9.0,28.14
10.0,27.58
11.0,29.52
12.0,29.51
13.0,28.29
14.0,26.77
15.0,24.8
16.0,24.45
17.0,25.21
18.0,35.67
19.0,46.93
20.0,37.3
21.0,35.31
22.0,28.53
23.0,24.19
24.0,22.91
25.0,20.93
26.0,20.67
27.0,20.18
28.0,20.21
29.0,20.45
30.0,20.9
31.0,25.76
32.0,29.84
33.0,37.34
34.0,39.54
35.0,38.42
36.0,38.16
37.0,33.84
38.0,31.09
39.0,29.07
40.0,27.9
41.0,26.06
42.0,36.72
43.0,52.97
44.0,39.74
45.0,34.15
46.0,30.33
47.0,23.63
48.0,20.53
49.0,20.16
50.0,19.09
51.0,18.77
52.0,18.9
53.0,19.28
54.0,19.91
55.0,22.88
56.0,28.46
57.0,30.5
58.0,31.43
59.0,31.7
60.0,29.69
61.0,28.38
62.0,26.02
63.0,25.79
64.0,25.43
65.0,25.47
66.0,35.47
67.0,47.31
68.0,35.61
69.0,34.9
70.0,30.47
71.0,26.1
72.0,23.77
73.0,19.76
74.0,19.42
75.0,18.43
76.0,17.2
77.0,18.38
78.0,19.53
79.0,22.16
80.0,24.68
81.0,28.81
82.0,29.05
83.0,31.76
84.0,30.08
85.0,28.29
86.0,26.11
87.0,25.69
88.0,25.85
89.0,26.08
90.0,34.11
91.0,42.09
92.0,36.71
93.0,35.83
94.0,30.29
95.0,29.14
96.0,26.34
97.0,24.42
98.0,21.71
99.0,21.06
100.0,20.2
101.0,20.06
102.0,19.83
103.0,20.75
104.0,22.35
105.0,24.34
106.0,25.12
107.0,27.07
108.0,26.87
109.0,25.59
110.0,23.69
111.0,22.67
112.0,22.59
113.0,23.09
114.0,29.3
115.0,36.6
116.0,33.38
117.0,30.02
118.0,25.04
119.0,23.58
120.0,22.76
121.0,20.3
122.0,20.17
123.0,19.93
124.0,19.68
125.0,19.44
126.0,18.48
127.0,18.85
128.0,20.72
129.0,23.4
130.0,24.78
131.0,26.07
132.0,27.98
133.0,29.27
134.0,29.44
135.0,29.04
136.0,28.55
137.0,27.11
138.0,37.39
139.0,43.83
140.0,35.95
141.0,32.24
142.0,26.23
143.0,22.19
144.0,20.15
145.0,19.85
146.0,19.14
147.0,18.35
148.0,19.11
149.0,19.05
150.0,19.21
151.0,22.42
152.0,24.67
153.0,28.82
154.0,24.23
155.0,24.51
156.0,23.24
157.0,22.84
158.0,21.94
159.0,21.14
160.0,21.95
161.0,23.32
162.0,33.9
163.0,45.09
164.0,37.63
165.0,33.53
166.0,30.02
167.0,24.85
168.0,22.11
169.0,22.73
170.0,21.55
171.0,20.66
172.0,21.41
173.0,21.56
174.0,22.26
175.0,29.17
176.0,34.71
177.0,34.05
178.0,32.07
179.0,27.45
180.0,26.17
181.0,24.92
182.0,23.79
183.0,22.25
184.0,21.94
185.0,22.25
186.0,29.58
187.0,36.23
188.0,30.91
189.0,28.41
190.0,26.55
191.0,20.75
192.0,19.06
193.0,16.0
194.0,14.64
195.0,13.81
196.0,13.83
197.0,15.18
198.0,15.61
199.0,19.92
200.0,25.56
201.0,29.59
202.0,28.54
203.0,27.68
204.0,26.21
205.0,25.68
206.0,24.59
207.0,24.1
208.0,24.98
209.0,27.04
210.0,35.85
211.0,44.96
212.0,34.64
213.0,29.89
214.0,25.45
215.0,20.19
216.0,19.55
217.0,19.29
218.0,15.34
219.0,13.98
220.0,12.05
221.0,14.84
222.0,18.55
223.0,24.87
224.0,25.61
225.0,27.67
226.0,24.94
227.0,26.17
228.0,24.2
229.0,21.48
230.0,21.11
231.0,20.93
232.0,21.54
233.0,22.36
234.0,25.9
235.0,32.78
236.0,27.27
237.0,25.01
238.0,22.33
239.0,21.16
240.0,20.22
241.0,19.57
242.0,18.29
243.0,16.35
244.0,16.39
245.0,17.07
246.0,18.7
247.0,22.77
248.0,25.88
249.0,26.47
250.0,24.72
251.0,25.34
252.0,25.54
253.0,24.06
254.0,22.29
255.0,21.02
256.0,20.71
257.0,21.7
258.0,27.14
259.0,34.26
260.0,26.19
261.0,24.98
262.0,21.16
263.0,20.01
264.0,19.4
265.0,14.24
266.0,12.93
267.0,13.08
268.0,13.09
269.0,13.33
270.0,13.56
271.0,17.45
272.0,20.05
273.0,22.92
274.0,25.54
275.0,26.7
276.0,26.66
277.0,25.54
278.0,25.08
279.0,22.62
280.0,21.5
281.0,22.77
282.0,30.71
283.0,40.07
284.0,31.97
285.0,30.52
286.0,27.18
287.0,24.6
288.0,22.44
289.0,20.32
290.0,19.55
291.0,18.78
292.0,18.77
293.0,18.64
294.0,19.65
295.0,20.7
296.0,22.48
297.0,24.45
298.0,25.55
299.0,26.72
300.0,27.96
301.0,27.62
302.0,26.02
303.0,25.49
304.0,25.21
305.0,25.78
306.0,35.7
307.0,42.66
308.0,37.77
309.0,36.92
310.0,30.73
311.0,29.45
312.0,25.59
313.0,23.08
314.0,23.04
315.0,23.38
316.0,23.89
317.0,25.0
318.0,25.74
319.0,31.17
320.0,39.0
321.0,44.32
322.0,41.15
323.0,44.34
324.0,41.34
325.0,36.75
326.0,32.92
327.0,31.15
328.0,29.53
329.0,30.86
330.0,40.88
331.0,56.27
332.0,46.8
333.0,43.39
334.0,36.0
335.0,29.82
336.0,24.46
337.0,24.64
338.0,22.41
339.0,21.76
340.0,20.64
341.0,20.89
342.0,23.59
343.0,28.34
344.0,44.53
345.0,44.8
346.0,41.21
347.0,39.17
348.0,33.74
349.0,28.85
350.0,26.39
351.0,24.16
352.0,22.89
353.0,22.38
354.0,30.01
355.0,38.87
356.0,32.63
357.0,30.71
358.0,23.77
359.0,20.13
360.0,19.52
361.0,19.13
362.0,19.03
363.0,16.6
364.0,15.9
365.0,16.72
366.0,18.51
367.0,22.81
368.0,31.54
369.0,35.37
370.0,33.57
371.0,32.47
372.0,29.15
373.0,27.68
374.0,25.85
375.0,24.47
376.0,23.22
377.0,24.62
378.0,34.25
379.0,53.3
380.0,44.51
381.0,35.57
382.0,28.05
383.0,22.38
384.0,20.72
385.0,22.54
386.0,21.91
387.0,22.0
388.0,23.14
389.0,23.25
390.0,25.3
391.0,32.0
392.0,50.91
393.0,53.25
394.0,48.31
395.0,44.74
396.0,41.32
397.0,36.56
398.0,34.11
399.0,33.14
400.0,32.73
401.0,33.19
402.0,44.28
403.0,59.89
404.0,52.55
405.0,48.8
406.0,40.59
407.0,33.62
408.0,28.62
409.0,23.4
410.0,20.77
411.0,20.38
412.0,19.37
413.0,20.23
414.0,20.31
415.0,20.69
416.0,31.94
417.0,34.45
418.0,29.86
419.0,23.14
420.0,23.61
421.0,26.08
422.0,24.93
423.0,23.12
424.0,22.47
425.0,20.93
426.0,26.98
427.0,39.46
428.0,29.68
429.0,26.33
430.0,22.98
431.0,21.18
432.0,19.46
433.0,18.7
434.0,18.08
435.0,16.93
436.0,16.46
437.0,16.21
438.0,17.24
439.0,19.3
440.0,21.32
441.0,23.06
442.0,23.29
443.0,22.17
444.0,22.6
445.0,22.38
446.0,21.26
447.0,20.97
448.0,20.92
449.0,21.54
450.0,29.96
451.0,45.13
452.0,41.63
453.0,34.52
454.0,29.65
455.0,23.79
456.0,21.71
457.0,19.4
458.0,19.29
459.0,19.84
460.0,20.44
461.0,20.32
462.0,21.53
463.0,21.29
464.0,28.4
465.0,29.92
466.0,33.83
467.0,35.23
468.0,33.64
469.0,33.09
470.0,31.13
471.0,30.17
472.0,27.44
473.0,26.92
474.0,36.74
475.0,52.63
476.0,48.25
477.0,40.14
478.0,32.43
479.0,25.32
480.0,22.68
481.0,20.82
482.0,20.1
483.0,20.39
484.0,20.44
485.0,20.11
486.0,21.07
487.0,25.86
488.0,37.75
489.0,46.79
490.0,49.23
491.0,47.72
492.0,42.21
493.0,37.46
494.0,34.57
495.0,32.51
496.0,29.9
497.0,32.7
498.0,52.45
499.0,72.0
500.0,66.07
501.0,52.96
502.0,45.2
503.0,38.05
504.0,34.69
505.0,27.24
506.0,26.87
507.0,25.41
508.0,26.54
509.0,25.68
510.0,31.74
511.0,42.01
512.0,64.81
513.0,70.06
514.0,67.21
515.0,58.8
516.0,55.74
517.0,49.14
518.0,44.96
519.0,41.4
520.0,40.32
521.0,41.44
522.0,54.75
523.0,73.81
524.0,65.83
525.0,58.94
526.0,50.16
527.0,37.92
528.0,32.47
529.0,28.42
530.0,26.95
531.0,25.61
532.0,24.22
533.0,26.06
534.0,28.6
535.0,37.24
536.0,63.01
537.0,65.4
538.0,55.06
539.0,50.29
540.0,44.26
541.0,40.32
542.0,36.42
543.0,31.45
544.0,30.09
545.0,29.7
546.0,40.48
547.0,52.75
548.0,48.48
549.0,43.61
550.0,35.79
551.0,29.48
552.0,27.02
553.0,21.95
554.0,22.89
555.0,22.66
556.0,23.13
557.0,25.37
558.0,28.36
559.0,38.64
560.0,63.02
561.0,64.9
562.0,54.43
563.0,52.49
564.0,43.26
565.0,37.56
566.0,33.94
567.0,30.03
568.0,27.0
569.0,25.9
570.0,31.56
571.0,45.98
572.0,38.9
573.0,32.27
574.0,26.62
575.0,23.11
576.0,22.36
577.0,21.99
578.0,20.98
579.0,20.26
580.0,20.82
581.0,20.72
582.0,22.27
583.0,26.68
584.0,38.86
585.0,43.81
586.0,35.64
587.0,34.75
588.0,29.36
589.0,26.03
590.0,23.85
591.0,24.17
592.0,24.29
593.0,25.34
594.0,36.82
595.0,50.88
596.0,45.05
597.0,42.08
598.0,37.19
599.0,34.07
600.0,30.74
601.0,28.87
602.0,26.53
603.0,25.4
604.0,25.55
605.0,24.81
606.0,25.53
607.0,25.03
608.0,34.62
609.0,41.24
610.0,44.1
611.0,43.32
612.0,36.51
613.0,28.62
614.0,25.68
615.0,25.24
616.0,24.01
617.0,23.83
618.0,26.18
619.0,37.12
620.0,32.73
621.0,25.93
622.0,27.51
623.0,25.62
624.0,23.84
625.0,22.41
626.0,21.74
627.0,21.55
628.0,21.03
629.0,20.67
630.0,20.89
631.0,21.96
632.0,23.51
633.0,23.72
634.0,25.34
635.0,25.98
636.0,26.17
637.0,25.54
638.0,25.44
639.0,26.76
640.0,27.31
641.0,26.85
642.0,35.01
643.0,47.68
644.0,43.51
645.0,40.33
646.0,33.44
647.0,28.24
648.0,26.08
649.0,21.07
650.0,20.19
651.0,19.5
652.0,20.2
653.0,21.36
654.0,22.66
655.0,28.32
