smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-140192542.624,1221533.33033,-140192542.624,-139328788.123,-141056297.125,-140969921.675,-139415163.573,2.0,1492143677100.0,3.6750693330500006e-12,1,0.125,0.00195366607741,0.124994656247,0.125039974416
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-199381191.142,985421.79046,-199381191.142,-198684392.712,-200077989.572,-200008309.729,-198754072.555,2.0,971056105113.0,3.6750693330500006e-12,7,0.25,0.00780966772122,0.124994656247,0.249920051167
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,175441.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-214224265.445,821370.33136,-214224265.445,-213643468.914,-214805061.976,-214746982.323,-213701548.567,2.0,674649221239.0,3.6750693330500006e-12,26,0.125,0.00390744351862,0.249996437498,0.125039974416
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-238483981.485,891963.918148,-238483981.485,-237853267.75,-239114695.221,-239051623.847,-237916339.124,2.0,795599631278.0,3.6750693330500006e-12,2,0.125,0.00390483386061,0.124994656247,0.249920051167
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-257541268.164,1102249.25767,-257541268.164,-256761860.239,-258320676.088,-258242735.296,-256839801.032,2.0,1214953426030.0,3.6750693330500006e-12,13,0.25,0.00780966772122,0.124994656247,0.249920051167
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,175441.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-277163598.804,5292475.01346,-277163598.804,-273421253.833,-280905943.776,-280531709.279,-273795488.33,2.0,28010291768100.0,3.6750693330500006e-12,32,0.25,0.0156197806128,0.249996437498,0.249920051167
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-288336578.828,389043.050628,-288336578.828,-288061483.849,-288611673.807,-288584164.31,-288088993.347,2.0,151354495242.0,3.6750693330500006e-12,51,0.125,0.00390755488241,0.250003562502,0.125039974416
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,175441.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-294153534.506,809506.167465,-294153534.506,-293581127.205,-294725941.806,-294668701.076,-293638367.935,2.0,655300235163.0,3.6750693330500006e-12,27,0.125,0.00780989030639,0.249996437498,0.249920051167
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-297564537.474,8166986.37756,-297564537.474,-291789606.025,-303339468.923,-302761975.779,-292367099.17,2.0,66699666491200.0,3.6750693330500006e-12,8,0.25,0.00780966772122,0.124994656247,0.249920051167
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-318152429.855,3968976.60575,-318152429.855,-315345939.583,-320958920.127,-320678271.1,-315626588.61,2.0,15752775297000.0,3.6750693330500006e-12,19,0.25,0.00781466430966,0.124994656247,0.250079948833
