smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-660512199.557,359281.006171,-660460267.813,-660155627.663,-660972634.94,-660917700.013,-660179403.544,4.0,129082841395.0,0.25,53,0.25,0.124984980008,1.06825089311e-11,0.00781156125049
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-660805279.866,684581.265235,-660868156.329,-659910790.839,-661574015.967,-661476999.606,-660045533.077,4.0,468651508711.0,0.25,58,0.25,0.249990677246,1.06825089311e-11,0.0156244173279
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-661860971.619,820085.614056,-661924000.464,-661027065.659,-662568819.887,-662567746.391,-661065956.462,4.0,672540414381.0,0.25,63,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-664818818.572,879789.815568,-664962582.257,-663628305.051,-665721804.722,-665631170.852,-663805197.132,4.0,774030119578.0,0.25,68,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-667542592.704,1112614.01876,-667647557.202,-666353806.264,-668521450.149,-668512241.538,-666425993.574,4.0,1237909954740.0,0.25,73,0.25,0.125005697238,1.06825089311e-11,0.0078128560774
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-683400805.876,1143789.62449,-683772010.414,-681760014.763,-684299187.911,-684261175.788,-682020749.609,4.0,1308254705090.0,0.25,57,0.25,0.249990677246,1.06825089311e-11,0.0156244173279
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-687227846.09,839575.573708,-687405832.092,-686117321.468,-687982398.709,-687948807.469,-686257704.309,4.0,704887143967.0,0.25,62,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-691736622.632,993186.163046,-691518949.769,-690815191.9,-693093399.091,-692901553.629,-690876433.644,4.0,986418754466.0,0.25,67,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-694530577.472,291914.02958,-694510796.825,-694194509.766,-694906206.472,-694849932.674,-694238915.176,4.0,85213800665.8,0.25,52,0.25,0.124984980008,1.06825089311e-11,0.00781156125049
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-696637498.597,415706.43675,-696699209.777,-696110248.145,-697041326.69,-697018021.19,-696170580.353,4.0,172811841555.0,0.25,72,0.25,0.125005697238,1.06825089311e-11,0.0078128560774
240.0,-101.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-700606417.436,1231144.29582,-700263876.596,-699538026.203,-702359890.351,-702078412.055,-699613979.994,4.0,1515716277130.0,0.125,100,0.25,0.125005697238,1.06825089311e-11,0.0039064280387
