smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1094037945.25,4013949.25924,-1093384140.84,-1089905123.4,-1099478375.91,-1098659224.14,-1090331992.53,4.0,16111788655700.0,0.250003306843,0.249546279492,0.124990974078,0.00779786128164,1.7334191682000001e-13,113
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1104455542.13,3865344.55416,-1103167761.96,-1101446211.58,-1110040433.02,-1109128536.04,-1101585440.46,4.0,14940888522400.0,0.125001984106,0.250453720508,0.124990974078,0.00391311892231,1.7334191682000001e-13,124
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1159436952.54,3003519.92602,-1160062360.39,-1155246554.45,-1162376534.93,-1162059510.79,-1155938823.31,4.0,9021131946030.0,0.124994709051,0.249546279492,0.124990974078,0.00389871403872,1.7334191682000001e-13,102
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1169872853.61,2632264.80642,-1169711392.53,-1167516235.11,-1172552394.27,-1172426257.61,-1167545495.12,4.0,6928818011100.0,0.250003306843,0.250453720508,0.249981948155,0.0156524342817,1.7334191682000001e-13,89
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1172596609.71,1176646.31148,-1172602804.97,-1171173854.93,-1174006973.95,-1173836042.58,-1171348503.45,4.0,1384496542320.0,0.249996693157,0.249546279492,0.124990974078,0.00779765499392,1.7334191682000001e-13,107
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1177290325.78,2497203.49827,-1178317669.45,-1173580489.65,-1178945474.57,-1178883961.85,-1174258408.57,4.0,6236025311780.0,0.250003306843,0.249546279492,0.124990974078,0.00779786128164,1.7334191682000001e-13,118
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1179778961.34,2123819.792,-1180072269.82,-1176982195.1,-1181989110.63,-1181787302.03,-1177359988.79,4.0,4510610508910.0,0.124994709051,0.249546279492,0.249981948155,0.00779742807743,1.7334191682000001e-13,78
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1205473374.98,1258192.50377,-1204933363.28,-1204684750.22,-1207342023.13,-1207004944.61,-1204697821.72,4.0,1583048376540.0,0.249996693157,0.249546279492,0.249981948155,0.0155953099878,1.7334191682000001e-13,83
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1249436140.13,4579488.7305,-1250064730.19,-1243889525.45,-1253725574.7,-1253558296.24,-1244433957.94,4.0,20971717032800.0,0.250003306843,0.249546279492,0.124990974078,0.00779786128164,1.7334191682000001e-13,112
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1250353338.89,4337077.23458,-1250609866.43,-1244902468.42,-1255291154.3,-1254746464.48,-1245601074.76,4.0,18810238938700.0,0.250003306843,0.250453720508,0.249981948155,0.0156524342817,1.7334191682000001e-13,94
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1255772102.94,3688385.53039,-1255287031.11,-1251873618.42,-1260640731.13,-1259964966.49,-1252258339.97,4.0,13604187820800.0,0.125001984106,0.249546279492,0.124990974078,0.0038989409552,1.7334191682000001e-13,123
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1282572829.72,1680575.06162,-1282845807.93,-1280286381.81,-1284313321.19,-1284120609.51,-1280642880.42,4.0,2824332537730.0,0.250003306843,0.249546279492,0.249981948155,0.0155957225633,1.7334191682000001e-13,88
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1308728940.54,2985893.52351,-1308562569.72,-1305246192.19,-1312544430.55,-1311953708.5,-1305737091.75,4.0,8915560133740.0,0.124994709051,0.125226860254,0.124990974078,0.00195644559034,1.7334191682000001e-13,101
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1320261461.81,3288710.94331,-1321193666.58,-1315614027.81,-1323044486.28,-1322890782.73,-1316327054.21,4.0,10815619668700.0,0.249996693157,0.125226860254,0.124990974078,0.00391300505149,1.7334191682000001e-13,106
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1324248474.6,3469243.15636,-1325919939.22,-1319050928.21,-1326103091.76,-1326102715.15,-1320054183.58,4.0,12035648077900.0,0.125001984106,0.250453720508,0.249981948155,0.00782623784463,1.7334191682000001e-13,99
