smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1181262926.58,423447.434346,-1181262926.58,-1180963504.02,-1181562349.13,-1181532406.87,-1180993446.28,2.0,179307729654.0,0.0714285714286,0.0003644396277,1,1.07010398565e-12,0.0714113745622,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1198957156.99,447942.796733,-1198957156.99,-1198640413.6,-1199273900.38,-1199242226.04,-1198672087.94,2.0,200652749145.0,0.0714285714286,0.000728988250394,65,1.07010398565e-12,0.142844106523,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1216421135.25,570212.660371,-1216421135.25,-1216017934.01,-1216824336.48,-1216784016.36,-1216058254.13,2.0,325142478047.0,0.0714285714286,0.000729087336753,129,1.07010398565e-12,0.14286352234,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1318894953.43,773003.320427,-1318894953.43,-1318348357.54,-1319441549.32,-1319386889.73,-1318403017.13,2.0,597534133392.0,0.142857142857,0.00145797650079,66,1.07010398565e-12,0.142844106523,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1332418074.05,1674682.42888,-1332418074.05,-1331233894.74,-1333602253.35,-1333483835.42,-1331352312.67,2.0,2804561237590.0,0.142857142857,0.0007288792554,2,1.07010398565e-12,0.0714113745622,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1337360025.36,94277.8045798,-1337360025.36,-1337293360.88,-1337426689.83,-1337420023.39,-1337300027.33,2.0,8888304436.38,0.142857142857,0.00145817467351,130,1.07010398565e-12,0.14286352234,0.0714473684211
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1402321501.5,392729.808727,-1402321501.5,-1402043799.59,-1402599203.41,-1402571433.22,-1402071569.78,2.0,154236702662.0,0.142857142857,0.00291595300158,75,1.07010398565e-12,0.142844106523,0.142894736842
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1415200998.5,513322.197117,-1415200998.5,-1414838024.89,-1415563972.11,-1415527674.75,-1414874322.25,2.0,263499678053.0,0.142857142857,0.0014577585108,11,1.07010398565e-12,0.0714113745622,0.142894736842
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1421098148.28,1441176.21974,-1421098148.28,-1420079082.81,-1422117213.76,-1422015307.21,-1420180989.35,2.0,2076988896340.0,0.142857142857,0.00291634934701,139,1.07010398565e-12,0.14286352234,0.142894736842
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1447878723.63,1322063.50383,-1447878723.63,-1446943883.56,-1448813563.7,-1448720079.69,-1447037367.57,2.0,1747851908150.0,0.142857142857,0.00145797650079,67,1.07010398565e-12,0.142844106523,0.0714473684211
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1462193436.05,257316.308532,-1462193436.05,-1462011485.94,-1462375386.16,-1462357191.15,-1462029680.96,2.0,66211682636.5,0.142857142857,0.00145817467351,131,1.07010398565e-12,0.14286352234,0.0714473684211
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1478936124.0,56536.7252155,-1478936124.0,-1478896146.5,-1478976101.5,-1478972103.75,-1478900144.25,2.0,3196401298.1,0.142857142857,0.0007288792554,3,1.07010398565e-12,0.0714113745622,0.0714473684211
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1485141500.12,4054203.4017,-1485141500.12,-1482274745.4,-1488008254.84,-1487721579.37,-1482561420.88,2.0,16436565222400.0,0.142857142857,0.00291595300158,84,1.07010398565e-12,0.142844106523,0.142894736842
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1496886536.22,916795.55686,-1496886536.22,-1496238263.87,-1497534808.58,-1497469981.34,-1496303091.11,2.0,840514093079.0,0.142857142857,0.0014577585108,20,1.07010398565e-12,0.0714113745622,0.142894736842
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1502414444.28,1318631.0309,-1502414444.28,-1501482031.34,-1503346857.22,-1503253615.93,-1501575272.63,2.0,1738787795660.0,0.142857142857,0.00291634934701,148,1.07010398565e-12,0.14286352234,0.142894736842
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1509174744.73,3742687.40647,-1509174744.73,-1506528265.09,-1511821224.38,-1511556576.41,-1506792913.05,2.0,14007709022600.0,0.142857142857,0.00145641619173,37,1.07010398565e-12,0.0714113745622,0.142763157895
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1525037619.23,1194759.72719,-1525037619.23,-1524192796.53,-1525882441.94,-1525797959.67,-1524277278.8,2.0,1427450805720.0,0.142857142857,0.00291326796198,101,1.07010398565e-12,0.142844106523,0.142763157895
