smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-119078734.736,818786.690815,-118850953.837,-118388711.222,-120224320.048,-120054899.207,-118421463.524,4.0,670411645056.0,0.250453720508,84,0.0156517717545,3.46688419418e-13,0.249981948155,0.249992724848
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-122721468.461,772113.623654,-122905391.503,-121646630.986,-123428459.852,-123377188.635,-121808256.028,4.0,596159447832.0,0.249546279492,72,0.00779907001867,3.46688419418e-13,0.250018051845,0.125002976198
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-140103090.517,551795.560804,-140341496.253,-139279238.156,-140450131.407,-140436413.214,-139435999.791,4.0,304478340923.0,0.125226860254,51,0.00391330099566,3.46688419418e-13,0.250018051845,0.12498974865
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-157695432.356,1008384.88105,-157644614.717,-156576582.917,-158915917.074,-158783697.516,-156678311.892,4.0,1016840068340.0,0.125226860254,61,0.00782747168739,3.46688419418e-13,0.250018051845,0.250007275152
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-173655133.385,1262530.94224,-173041634.458,-172989320.139,-175547944.488,-175177951.039,-172991214.231,4.0,1593984380100.0,0.250453720508,89,0.0156526827331,3.46688419418e-13,0.249981948155,0.250007275152
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-213333623.018,997746.119303,-213192576.066,-212282565.472,-214666774.468,-214472621.514,-212392090.255,4.0,995497318585.0,0.125226860254,66,0.00782747168739,3.46688419418e-13,0.250018051845,0.250007275152
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-225900401.238,2271069.04073,-226161777.039,-223382929.317,-227895121.556,-227872765.876,-223562110.478,4.0,5157754587760.0,0.250453720508,94,0.0156526827331,3.46688419418e-13,0.249981948155,0.250007275152
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-248022930.166,1082427.59411,-248374862.641,-246483037.304,-248858958.077,-248833423.558,-246719731.309,4.0,1171649496480.0,0.249546279492,78,0.0077971186374,3.46688419418e-13,0.249981948155,0.12498974865
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-249805319.429,2199321.72468,-249812720.95,-247113296.872,-252482538.946,-252115006.327,-247485270.403,4.0,4837016048630.0,0.249546279492,83,0.0155950624366,3.46688419418e-13,0.249981948155,0.249992724848
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-267455620.083,1948494.27011,-267116480.709,-265835991.942,-269753526.97,-269549368.131,-265836667.157,4.0,3796629920670.0,0.125226860254,71,0.00391371513664,3.46688419418e-13,0.250018051845,0.125002976198
