smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-161921670.911,1818623.49073,-161921670.911,-160635709.908,-163207631.914,-163079035.814,-160764306.009,2.0,3307391401020.0,0.12498986221,8,3.66466187075e-13,0.249963898917,0.00782491388941,0.250453720508
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-171013254.764,172622.207835,-171013254.764,-170891192.43,-171135317.098,-171123110.864,-170903398.664,2.0,29798426637.9,0.125003845369,113,3.66466187075e-13,0.249963898917,0.00779743498747,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-205739698.78,1709182.15358,-205739698.78,-204531124.489,-206948273.071,-206827415.642,-204651981.918,2.0,2921303634120.0,0.250006292421,58,3.66466187075e-13,0.249963898917,0.0156514910523,0.250453720508
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-249801247.928,538142.202188,-249801247.928,-249420723.928,-250181771.928,-250143719.528,-249458776.328,2.0,289597029775.0,0.12498986221,19,3.66466187075e-13,0.25,0.00779768877217,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-254754283.412,503582.947504,-254754283.412,-254398196.495,-255110370.329,-255074761.637,-254433805.186,2.0,253595785017.0,0.250006292421,83,3.66466187075e-13,0.249963898917,0.0156514910523,0.250453720508
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-298309041.445,401704.689973,-298309041.445,-298024993.334,-298593089.555,-298564684.744,-298053398.145,2.0,161366657946.0,0.249993707579,44,3.66466187075e-13,0.25,0.0155962499057,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-301618191.992,79772.0628148,-301618191.992,-301561784.625,-301674599.358,-301668958.622,-301567425.362,2.0,6363582005.73,0.125003845369,108,3.66466187075e-13,0.249963898917,0.00782578929651,0.250453720508
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-306181922.824,791493.374149,-306181922.824,-305622252.492,-306741593.157,-306685626.123,-305678219.526,2.0,626461761322.0,0.249993707579,28,3.66466187075e-13,0.249963898917,0.00782535159296,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-342685817.603,153267.480061,-342685817.603,-342577441.128,-342794194.077,-342783356.43,-342588278.776,2.0,23490920444.3,0.12498986221,3,3.66466187075e-13,0.249963898917,0.00391245694471,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-347980149.354,530061.184838,-347980149.354,-347605339.496,-348354959.212,-348317478.227,-347642820.482,2.0,280964859672.0,0.250006292421,69,3.66466187075e-13,0.25,0.0155970350308,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-354725815.768,401984.133638,-354725815.768,-354441570.062,-355010061.475,-354981636.904,-354469994.632,2.0,161591243697.0,0.250006292421,53,3.66466187075e-13,0.249963898917,0.00782574552616,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-393977841.499,1069128.2409,-393977841.499,-393221853.67,-394733829.328,-394658230.546,-393297452.453,2.0,1143035195490.0,0.250006292421,94,3.66466187075e-13,0.25,0.0155970350308,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-403086345.644,3025098.55489,-403086345.644,-400947277.942,-405225413.346,-405011506.575,-401161184.712,2.0,9151221266780.0,0.250006292421,78,3.66466187075e-13,0.249963898917,0.00782574552616,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-434596222.62,675816.461289,-434596222.62,-434118348.218,-435074097.023,-435026309.583,-434166135.658,2.0,456727889349.0,0.249993707579,39,3.66466187075e-13,0.25,0.0155962499057,0.249546279492
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-434969537.812,2908105.75605,-434969537.812,-432913196.511,-437025879.112,-436820244.982,-433118830.641,2.0,8457079088370.0,0.12498986221,14,3.66466187075e-13,0.25,0.00779768877217,0.249546279492
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-442731868.511,1086076.9109,-442731868.511,-441963896.162,-443499840.86,-443423043.625,-442040693.397,2.0,1179563056400.0,0.125003845369,119,3.66466187075e-13,0.25,0.00779856113348,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-450480925.174,45260.8262146,-450480925.174,-450448920.937,-450512929.411,-450509728.987,-450452121.36,2.0,2048542389.63,0.125003845369,103,3.66466187075e-13,0.249963898917,0.00391289464826,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-483796390.364,121126.765891,-483796390.364,-483710740.807,-483882039.922,-483873474.966,-483719305.762,2.0,14671693415.2,0.250006292421,64,3.66466187075e-13,0.25,0.0155970350308,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-492071103.04,248802.444552,-492071103.04,-491895173.144,-492247032.936,-492229439.946,-491912766.134,2.0,61902656415.0,0.12498986221,25,3.66466187075e-13,0.125018050542,0.00195679352968,0.125226860254
