npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,831452659.403,86819.7004687,831452659.403,831514050.202,831391268.604,831397407.684,831507911.122,2.0,7537660389.47,0.25000913242,63,0.25,1.0563053673200001e-12,0.0155839025875,0.249333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,801872107.658,630043.208969,801872107.658,802317615.483,801426599.832,801471150.615,802273064.701,2.0,396954445167.0,0.25000913242,88,0.25,1.0563053673200001e-12,0.0155839025875,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,800019473.267,575600.033643,800019473.267,800426483.954,799612462.58,799653163.649,800385782.885,2.0,331315398730.0,0.24999086758,33,0.25,1.0563053673200001e-12,0.0156660943683,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,794822872.944,732450.676558,794822872.944,795340793.784,794304952.104,794356744.188,795289001.7,2.0,536483993590.0,0.12498630137,8,0.25,1.0563053673200001e-12,0.00783247488584,0.250666666667
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,772151113.468,162053.592914,772151113.468,772265702.663,772036524.274,772047983.193,772254243.743,2.0,26261366976.5,0.12500456621,113,0.25,1.0563053673200001e-12,0.00779195129376,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,769599678.518,1400361.32068,769599678.518,770589883.504,768609473.532,768708494.031,770490863.006,2.0,1961011828460.0,0.25000913242,58,0.25,1.0563053673200001e-12,0.015667238965,0.250666666667
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,740798014.041,1110071.39418,740798014.041,741582953.051,740013075.031,740091568.932,741504459.15,2.0,1232258500170.0,0.12498630137,19,0.25,1.0563053673200001e-12,0.00779081278539,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,740697124.498,429104.618446,740697124.498,741000547.283,740393701.712,740424043.991,740970205.005,2.0,184130773571.0,0.25000913242,83,0.25,1.0563053673200001e-12,0.015667238965,0.250666666667
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,726508065.934,518994.853885,726508065.934,726875050.715,726141081.154,726177779.632,726838352.237,2.0,269355658359.0,0.24999086758,28,0.25,1.0563053673200001e-12,0.00783304718417,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,714525577.626,335084.559312,714525577.626,714762518.19,714288637.062,714312331.118,714738824.134,2.0,112281661889.0,0.24999086758,44,0.25,1.0563053673200001e-12,0.0155827640791,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,709871227.648,1406897.34334,709871227.648,710866054.3,708876400.996,708975883.661,710766571.635,2.0,1979360134710.0,0.12500456621,108,0.25,1.0563053673200001e-12,0.0078336194825,0.250666666667
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,701909797.987,471312.384093,701909797.987,702243066.17,701576529.804,701609856.622,702209739.352,2.0,222135363400.0,0.12498630137,3,0.25,1.0563053673200001e-12,0.00391623744292,0.125333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,698076676.759,613065.420527,698076676.759,698510179.475,697643174.042,697686524.314,698466829.203,2.0,375849209846.0,0.25000913242,53,0.25,1.0563053673200001e-12,0.0078336194825,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,684695761.041,511270.332762,684695761.041,685057283.761,684334238.322,684370390.594,685021131.489,2.0,261397353162.0,0.25000913242,69,0.25,1.0563053673200001e-12,0.0155839025875,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,667940735.496,959042.027561,667940735.496,668618880.617,667262590.375,667330404.887,668551066.105,2.0,919761610628.0,0.25000913242,78,0.25,1.0563053673200001e-12,0.0078336194825,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,655270530.529,230631.62085,655270530.529,655433611.712,655107449.346,655123757.464,655417303.593,2.0,53190944536.1,0.25000913242,94,0.25,1.0563053673200001e-12,0.0155839025875,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,649838351.164,417161.405099,649838351.164,650133328.822,649543373.505,649572871.271,650103831.056,2.0,174023637904.0,0.24999086758,39,0.25,1.0563053673200001e-12,0.0155827640791,0.249333333333
