smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-210168518.376,11278335.3009,-210168518.376,-202193531.004,-218143505.748,-217346007.011,-202991029.741,2.0,127200847160000.0,0.249999500615,44,0.25,2.6175466018599997e-14,0.0155966113133,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-228330053.768,19880464.0354,-228330053.768,-214272442.835,-242387664.7,-240981903.607,-215678203.928,2.0,395232850262000.0,0.124999250922,4,0.25,2.6175466018599997e-14,0.00391331593177,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-247423489.171,11004770.911,-247423489.171,-239641941.034,-255205037.307,-254426882.494,-240420095.848,2.0,121104982804000.0,0.124999250922,15,0.125018050542,2.6175466018599997e-14,0.00389970030317,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-262598615.951,9377164.53396,-262598615.951,-255967959.321,-269229272.581,-268566206.918,-256631024.984,2.0,87931214696900.0,0.249999500615,28,0.249963898917,2.6175466018599997e-14,0.0078255329277,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-364330649.537,68666362.241,-364330649.537,-315776199.157,-412885099.917,-408029654.879,-320631644.195,2.0,4715069303420000.0,0.249999500615,39,0.25,2.6175466018599997e-14,0.0155966113133,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-388192122.263,14102611.3514,-388192122.263,-378220070.144,-398164174.382,-397166969.17,-379217275.356,2.0,198883646930000.0,0.124999250922,10,0.125018050542,2.6175466018599997e-14,0.00391388103154,0.250453720508
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-396022672.286,21311470.279,-396022672.286,-380953187.134,-411092157.437,-409585208.922,-382460135.649,2.0,454178765455000.0,0.249999500615,50,0.125018050542,2.6175466018599997e-14,0.00391389666791,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-403846315.843,5739662.0827,-403846315.843,-399787761.862,-407904869.823,-407499014.425,-400193617.26,2.0,32943720823500.0,0.250000499385,57,0.25,2.6175466018599997e-14,0.0156533888,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-466553861.265,5235960.32732,-466553861.265,-462851478.211,-470256244.318,-469886006.013,-463221716.517,2.0,27415280549300.0,0.250000499385,52,0.25,2.6175466018599997e-14,0.0078266944,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-522088480.318,10114447.9616,-522088480.318,-514936485.577,-529240475.06,-528525275.586,-515651685.051,2.0,102302057568000.0,0.249999500615,34,0.25,2.6175466018599997e-14,0.0156533262635,0.250453720508
