smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1139159345.49,4410124.83292,-1139261163.03,-1133981215.65,-1150106925.46,-1145567803.48,-1134273821.25,10.0,19449201041900.0,0.0714473684211,0.142844410537,73,0.142857142857,0.00145797960379,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1158271660.76,3542905.38374,-1158517123.61,-1151707917.16,-1162883936.05,-1162522387.16,-1153011692.73,10.0,12552178558100.0,0.0714473684211,0.142862235785,81,0.142857142857,0.00145816154194,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1170675263.34,2067217.44563,-1170815697.56,-1166162204.79,-1173497410.07,-1173110893.56,-1167350680.42,10.0,4273387967530.0,0.0714473684211,0.0714132926442,65,0.142857142857,0.000728898832816,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1179982030.92,2505757.06048,-1180114594.03,-1175346228.06,-1184188187.57,-1183348990.99,-1176535672.15,10.0,6278818446130.0,0.0714473684211,0.142862235785,89,0.142857142857,0.00145816154194,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1196677397.6,2455123.91832,-1195849860.04,-1193534042.4,-1201458421.59,-1200283575.89,-1193823575.63,10.0,6027633454330.0,0.0714473684211,0.142862235785,97,0.142857142857,0.00145816154194,9.8243970108e-13
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1213535119.52,6918272.87691,-1214612197.33,-1199992972.45,-1224682955.37,-1221719377.79,-1202382884.11,10.0,47862499599400.0,0.142894736842,0.142844410537,138,0.142857142857,0.00291595920758,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200365.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1215928601.05,3217446.71323,-1215317957.62,-1211965752.17,-1222061440.28,-1220736974.93,-1212562114.06,10.0,10351963352500.0,0.0714473684211,0.142862235785,105,0.142857142857,0.00145816154194,9.8243970108e-13
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1231315179.55,10832428.1896,-1233224419.52,-1213067939.09,-1249914290.59,-1245081061.48,-1215453725.22,10.0,117341500482000.0,0.142894736842,0.142862235785,146,0.142857142857,0.00291632308389,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,240438.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1231649336.11,3166686.97861,-1230967535.24,-1227387310.56,-1237313164.8,-1237012726.72,-1227896147.34,10.0,10027906420500.0,0.0714473684211,0.142862235785,113,0.142857142857,0.00145816154194,9.8243970108e-13
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1242237100.89,8395134.50107,-1245235781.1,-1226151824.2,-1251061623.94,-1250792645.85,-1229618409.31,10.0,70478283291100.0,0.0714473684211,0.142844410537,137,0.142857142857,0.00145797960379,9.8243970108e-13
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1243963331.62,6873980.04731,-1243633064.3,-1233482884.04,-1253635190.79,-1253115746.83,-1234948913.81,10.0,47251601690800.0,0.142894736842,0.0714132926442,130,0.142857142857,0.00145779766563,9.8243970108e-13
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1252277353.48,6964082.17478,-1250260523.29,-1242064798.34,-1267595732.94,-1263700708.09,-1244880316.69,10.0,48498440537100.0,0.142894736842,0.142862235785,154,0.142857142857,0.00291632308389,9.8243970108e-13
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,280511.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1254880454.53,3805557.1315,-1255173373.09,-1248177504.47,-1259398034.65,-1259091576.58,-1248814139.16,10.0,14482265081100.0,0.0714473684211,0.0714311178926,121,0.142857142857,0.000729080770972,9.8243970108e-13
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1265822135.65,6449679.13402,-1265029161.14,-1258607924.8,-1275243148.19,-1274994799.32,-1258897108.1,10.0,41598360931800.0,0.0714473684211,0.142862235785,145,0.142857142857,0.00145816154194,9.8243970108e-13
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1270631727.22,5236778.4468,-1270932378.6,-1262810806.28,-1280541094.48,-1279074127.6,-1264100834.8,10.0,27423848500800.0,0.142894736842,0.142862235785,162,0.142857142857,0.00291632308389,9.8243970108e-13
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1283500947.74,9465112.28275,-1283937610.23,-1265523815.93,-1299118846.29,-1295799247.13,-1269079752.78,10.0,89588350525000.0,0.0714473684211,0.142862235785,153,0.142857142857,0.00145816154194,9.8243970108e-13
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200365.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1288512087.25,8998927.25803,-1290464460.92,-1271997638.92,-1300206238.26,-1298028018.3,-1273496509.67,10.0,80980691795400.0,0.142894736842,0.142862235785,170,0.142857142857,0.00291632308389,9.8243970108e-13
480.0,-356.5,-7595.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1290573142.55,7669715.87125,-1292867471.25,-1274678435.42,-1301005294.91,-1298841015.49,-1278443771.77,10.0,58824541545800.0,0.142894736842,0.142844410537,203,0.142857142857,0.00291595920758,9.8243970108e-13
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1304469017.36,7892639.78972,-1306756294.55,-1293292371.12,-1315628614.65,-1314500944.73,-1294188667.57,10.0,62293762850300.0,0.0714473684211,0.142862235785,161,0.142857142857,0.00145816154194,9.8243970108e-13
480.0,-356.5,-7595.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1306298551.96,9658044.48768,-1302797298.76,-1293144467.97,-1325895457.91,-1322251768.01,-1296070533.22,10.0,93277823326100.0,0.142894736842,0.142862235785,211,0.142857142857,0.00291632308389,9.8243970108e-13
