npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1960158303.12,1806057.65134,1960035070.13,1962148922.74,1958414149.5,1958481380.32,1962007752.12,4.0,3261844239980.0,8.47275451554e-14,0.124645892351,0.00389522959349,46,0.125001458773,0.25
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1956364921.67,5490867.05797,1957057961.16,1961744739.32,1949599025.05,1950310256.36,1961449331.7,4.0,30149621048300.0,8.47275451554e-14,0.25,0.0156251491927,63,0.250002387083,0.25
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1936696788.26,2517358.25287,1936930364.46,1939218666.73,1933707757.4,1933989679.26,1939076890.58,4.0,6337092573320.0,8.47275451554e-14,0.25,0.0156248176534,57,0.249997082454,0.25
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1930230282.27,2449681.713,1930668641.69,1932726270.28,1926857575.42,1927416959.2,1932429902.15,4.0,6000940494980.0,8.47275451554e-14,0.25,0.007812259634,52,0.124996154144,0.25
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1887905542.6,3128755.08238,1889205006.78,1889965984.38,1883246172.47,1884120165.69,1889871669.67,4.0,9789108365520.0,8.47275451554e-14,0.25,0.0156251823466,68,0.250002917546,0.25
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1873072077.04,7293651.26711,1874213849.2,1879515975.55,1864344634.22,1865160153.64,1879385519.42,4.0,53197348806300.0,8.47275451554e-14,0.25,0.007812259634,79,0.124996154144,0.25
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1865538895.41,3456176.75714,1865794543.89,1869483005.12,1861083488.71,1861732235.45,1868987647.48,4.0,11945157776600.0,8.47275451554e-14,0.25,0.0156251491927,62,0.250002387083,0.25
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1820586192.02,1650631.99436,1820973246.49,1822109595.51,1818288679.59,1818635761.94,1821994745.84,4.0,2724585980800.0,8.47275451554e-14,0.25,0.00781259117331,73,0.125001458773,0.25
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1818710181.51,3488480.50523,1818424056.52,1822729865.53,1815262747.48,1815431332.08,1822389605.93,4.0,12169496235400.0,8.47275451554e-14,0.124645892351,0.00779027735693,56,0.249997082454,0.25
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1803654380.7,4284825.5973,1804008471.06,1808242114.92,1798358465.77,1798951974.19,1807861060.71,4.0,18359730399300.0,8.47275451554e-14,0.25,0.0156248176534,84,0.249997082454,0.25
