smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,prefix
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,662881022.524,6201.26738222,662881022.524,662885407.482,662876637.566,662877076.062,662884968.987,2.0,38455717.1458,3.66466187075e-13,0.00391380597435,0.249993707579,0.125226860254,0.125018050542,26
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,625463851.254,72669.0857073,625463851.254,625515236.057,625412466.451,625417604.931,625510097.577,2.0,5280796017.53,3.66466187075e-13,0.00391400299785,0.250006292421,0.125226860254,0.125018050542,51
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,587676825.425,65452.3067248,587676825.425,587723107.195,587630543.655,587635171.832,587718479.018,2.0,4284004455.6,3.66466187075e-13,0.00391400299785,0.250006292421,0.125226860254,0.125018050542,76
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,550179462.106,148769.387349,550179462.106,550284657.949,550074266.264,550084785.848,550274138.365,2.0,22132330612.2,3.66466187075e-13,0.00195701244467,0.125003845369,0.125226860254,0.125018050542,101
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,349882971.105,755417.7414,349882971.105,350417132.113,349348810.098,349402226.199,350363716.012,2.0,570655964022.0,3.66466187075e-13,0.0156529635417,0.249993707579,0.250453720508,0.25,32
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,311346326.495,124224.813216,311346326.495,311434166.702,311258486.287,311267270.308,311425382.682,2.0,15431804218.5,3.66466187075e-13,0.0156537515218,0.250006292421,0.250453720508,0.25,57
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,274204408.888,473942.711763,274204408.888,274539536.994,273869280.783,273902793.593,274506024.183,2.0,224621694033.0,3.66466187075e-13,0.0156537515218,0.250006292421,0.250453720508,0.25,82
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,247049106.968,46679.1441809,247049106.968,247082114.107,247016099.828,247019400.542,247078813.393,2.0,2178942501.46,3.66466187075e-13,0.00782648177084,0.249993707579,0.125226860254,0.25,27
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,237208450.814,348696.248614,237208450.814,237455016.296,236961885.332,236986541.88,237430359.747,2.0,121589073798.0,3.66466187075e-13,0.0078269195376,0.125003845369,0.250453720508,0.25,107
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,209863306.563,678076.395237,209863306.563,210342778.98,209383834.145,209431781.387,210294831.738,2.0,459787597777.0,3.66466187075e-13,0.00782687576092,0.250006292421,0.125226860254,0.25,52
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,170824543.362,1072688.35032,170824543.362,171583048.568,170066038.155,170141888.676,171507198.048,2.0,1150660296920.0,3.66466187075e-13,0.00782687576092,0.250006292421,0.125226860254,0.25,77
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,131741131.319,294409.928229,131741131.319,131949310.576,131532952.063,131553769.988,131928492.65,2.0,86677205839.7,3.66466187075e-13,0.0039134597688,0.125003845369,0.125226860254,0.25,102
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,47902210.4102,93332.112473,47902210.4102,47968206.1798,47836214.6406,47842814.2175,47961606.6029,2.0,8710883218.67,3.66466187075e-13,0.00391302200204,0.12498986221,0.125226860254,0.25,2
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,46615472.9928,1159415.58347,46615472.9928,47435303.614,45795642.3715,45877625.4336,47353320.5519,2.0,1344244495190.0,3.66466187075e-13,0.0155939977396,0.249993707579,0.249546279492,0.249963898917,38
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,8356995.34065,400498.654242,8356995.34065,8640190.65492,8073800.02638,8102119.55781,8611871.12349,2.0,160399172050.0,3.66466187075e-13,0.0155947827514,0.250006292421,0.249546279492,0.249963898917,63
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-29773123.4523,694654.68666,-29773123.4523,-29281928.4128,-30264318.4918,-30215198.9879,-29331047.9167,2.0,482545133699.0,3.66466187075e-13,0.0155947827514,0.250006292421,0.249546279492,0.249963898917,88
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-62032716.5747,2063610.81625,-62032716.5747,-60573523.3727,-63491909.7766,-63345990.4564,-60719442.6929,2.0,4258489600960.0,3.66466187075e-13,0.0156507031859,0.249993707579,0.250453720508,0.249963898917,33
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-66915623.941,725438.007467,-66915623.941,-66402661.8066,-67428586.0754,-67377289.862,-66453958.02,2.0,526260302678.0,3.66466187075e-13,0.00779743498747,0.125003845369,0.249546279492,0.249963898917,113
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-100875793.92,1364838.83207,-100875793.92,-99910707.1262,-101840880.713,-101744372.034,-100007215.806,2.0,1862785037530.0,3.66466187075e-13,0.0156514910523,0.250006292421,0.250453720508,0.249963898917,58
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-138513208.88,773965.215134,-138513208.88,-137965932.828,-139060484.932,-139005757.327,-138020660.433,2.0,599022154237.0,3.66466187075e-13,0.0156514910523,0.250006292421,0.250453720508,0.249963898917,83
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-174897053.358,1656054.59199,-174897053.358,-173726045.926,-176068060.79,-175950960.047,-173843146.669,2.0,2742516811650.0,3.66466187075e-13,0.00782578929651,0.125003845369,0.250453720508,0.249963898917,108
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-190083545.531,502230.061868,-190083545.531,-189728415.248,-190438675.813,-190403162.785,-189763928.277,2.0,252235035044.0,3.66466187075e-13,0.00782535159296,0.249993707579,0.125226860254,0.249963898917,28
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-208016140.732,871641.223646,-208016140.732,-207399797.312,-208632484.152,-208570849.81,-207461431.654,2.0,759758422759.0,3.66466187075e-13,0.00779768877217,0.12498986221,0.249546279492,0.25,19
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-231406599.877,1269190.48564,-231406599.877,-230509146.678,-232304053.076,-232214307.757,-230598891.998,2.0,1610844488850.0,3.66466187075e-13,0.00782574552616,0.250006292421,0.125226860254,0.249963898917,53
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-244890583.693,67292.5870925,-244890583.693,-244843000.648,-244938166.738,-244933408.433,-244847758.953,2.0,4528292277.6,3.66466187075e-13,0.0155962499057,0.249993707579,0.249546279492,0.25,44
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-267919879.775,76348.5340062,-267919879.775,-267865893.209,-267973866.341,-267968467.685,-267871291.865,2.0,5829098644.89,3.66466187075e-13,0.00782574552616,0.250006292421,0.125226860254,0.249963898917,78
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-281892885.731,1479657.5095,-281892885.731,-280846609.872,-282939161.59,-282834534.004,-280951237.458,2.0,2189386345410.0,3.66466187075e-13,0.0155970350308,0.250006292421,0.249546279492,0.25,69
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-303413637.726,2694901.36922,-303413637.726,-301508054.693,-305319220.759,-305128662.456,-301698612.997,2.0,7262493389800.0,3.66466187075e-13,0.00391289464826,0.125003845369,0.125226860254,0.249963898917,103
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-320092833.489,73268.6648727,-320092833.489,-320041024.719,-320144642.259,-320139461.382,-320046205.596,2.0,5368297252.23,3.66466187075e-13,0.0155970350308,0.250006292421,0.249546279492,0.25,94
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-358419901.913,615504.553986,-358419901.913,-357984674.47,-358855129.357,-358811606.613,-358028197.214,2.0,378845855977.0,3.66466187075e-13,0.00779856113348,0.125003845369,0.249546279492,0.25,119
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-361107646.167,267812.689429,-361107646.167,-360918273.998,-361297018.336,-361278081.119,-360937211.215,2.0,71723636619.2,3.66466187075e-13,0.0155962499057,0.249993707579,0.249546279492,0.25,39
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-369551607.077,85329.2881583,-369551607.077,-369491270.159,-369611943.995,-369605910.303,-369497303.85,2.0,7281087417.6,3.66466187075e-13,0.00779768877217,0.12498986221,0.249546279492,0.25,14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-393166346.474,76455.6317308,-393166346.474,-393112284.178,-393220408.769,-393215002.54,-393117690.408,2.0,5845463623.36,3.66466187075e-13,0.00782491388941,0.12498986221,0.250453720508,0.249963898917,8
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-399150183.859,491136.997896,-399150183.859,-398802897.557,-399497470.161,-399462741.531,-398837626.188,2.0,241215550702.0,3.66466187075e-13,0.0155970350308,0.250006292421,0.249546279492,0.25,64
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-439190333.4,604097.721688,-439190333.4,-438763171.804,-439617494.995,-439574778.836,-438805887.964,2.0,364934057349.0,3.66466187075e-13,0.0155970350308,0.250006292421,0.249546279492,0.25,89
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-470486783.344,1407945.30674,-470486783.344,-469491215.67,-471482351.018,-471382794.25,-469590772.437,2.0,1982309986780.0,3.66466187075e-13,0.00195679352968,0.12498986221,0.125226860254,0.125018050542,25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-476378542.634,3142037.0343,-476378542.634,-474156786.941,-478600298.328,-478378122.759,-474378962.51,2.0,9872396724890.0,3.66466187075e-13,0.00779856113348,0.125003845369,0.249546279492,0.25,114
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-500839776.938,840816.93592,-500839776.938,-500245229.581,-501434324.295,-501374869.559,-500304684.316,2.0,706973119731.0,3.66466187075e-13,0.0156529635417,0.249993707579,0.250453720508,0.25,34
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-510532861.693,1044960.08193,-510532861.693,-509793963.333,-511271760.053,-511197870.217,-509867853.169,2.0,1091941572840.0,3.66466187075e-13,0.00391380597435,0.249993707579,0.125226860254,0.125018050542,50
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-539568593.786,520411.016913,-539568593.786,-539200607.627,-539936579.945,-539899781.329,-539237406.242,2.0,270827626524.0,3.66466187075e-13,0.0156537515218,0.250006292421,0.250453720508,0.25,59
