npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-meoh_capacity,PointProbability
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,846750033.401,6260495.11732,846750033.401,851176871.952,842323194.85,842765878.705,850734188.097,2.0,39193799113900.0,0.249997378153,0.25,0.0156248361346,39,0.25,6.05994367894e-14
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,828684285.609,10459000.8249,828684285.609,836079916.017,821288655.201,822028218.242,835340352.976,2.0,109390698255000.0,0.250002621847,0.25,0.00781178740592,65,0.124987287705,6.05994367894e-14
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,812728360.939,9824284.02225,812728360.939,819675178.791,805781543.087,806476224.872,818980497.006,2.0,96516556549800.0,0.12499630558,0.25,0.0078130635937,13,0.250025424591,6.05994367894e-14
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,809543172.22,2012594.83816,809543172.22,810966291.678,808120052.762,808262364.708,810823979.732,2.0,4050537982590.0,0.125001072574,0.25,0.00390588625529,120,0.124987287705,6.05994367894e-14
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,787516592.404,4309007.80291,787516592.404,790563521.042,784469663.767,784774356.631,790258828.178,2.0,18567548245600.0,0.250002621847,0.25,0.0156251638654,94,0.25,6.05994367894e-14
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,759505044.457,543815.089696,759505044.457,759889579.795,759120509.12,759158962.653,759851126.261,2.0,295734851781.0,0.12499630558,0.25,0.00390573730187,10,0.124987287705,6.05994367894e-14
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,742122838.88,3463689.27404,742122838.88,744572037.054,739673640.707,739918560.524,744327117.237,2.0,11997143387100.0,0.250002621847,0.25,0.0156251638654,64,0.25,6.05994367894e-14
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,732817716.446,16264193.587,732817716.446,744318238.022,721317194.87,722467247.028,743168185.865,2.0,264523993034000.0,0.249997378153,0.25,0.00781162355716,35,0.124987287705,6.05994367894e-14
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,724800592.139,2953674.96805,724800592.139,726889155.738,722712028.539,722920884.899,726680299.378,2.0,8724195816890.0,0.250002621847,0.25,0.00781178740592,90,0.124987287705,6.05994367894e-14
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,718773204.106,4345861.9589,718773204.106,721846192.568,715700215.645,716007514.491,721538893.722,2.0,18886516165800.0,0.249997378153,0.25,0.0156264251548,38,0.250025424591,6.05994367894e-14
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,689808063.482,1704419.13251,689808063.482,691013269.809,688602857.155,688723377.788,690892749.176,2.0,2905044579250.0,0.125001072574,0.25,0.00781256703585,119,0.25,6.05994367894e-14
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,681100034.976,5222325.26737,681100034.976,684792776.586,677407293.366,677776567.527,684423502.425,2.0,27272681198200.0,0.12499630558,0.25,0.00781226909872,9,0.25,6.05994367894e-14
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,669247901.992,4315168.8853,669247901.992,672299187.173,666196616.812,666501745.33,671994058.655,2.0,18620682508700.0,0.249997378153,0.25,0.0156248361346,34,0.25,6.05994367894e-14
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,632745291.259,359887.855887,632745291.259,632999770.402,632490812.115,632516260.03,632974322.488,2.0,129519268815.0,0.250002621847,0.25,0.0156251638654,89,0.25,6.05994367894e-14
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,631629650.69,4151058.55087,631629650.69,634564892.34,628694409.04,628987933.205,634271368.175,2.0,17231287092700.0,0.250002621847,0.25,0.00781178740592,60,0.124987287705,6.05994367894e-14
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,610484900.517,6326746.14852,610484900.517,614958585.622,606011215.413,606458583.923,614511217.111,2.0,40027716827900.0,0.250002621847,0.25,0.015626752919,63,0.250025424591,6.05994367894e-14
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,607650085.941,13935582.4752,607650085.941,617504030.809,597796141.073,598781535.56,616518636.322,2.0,194200458923000.0,0.125001072574,0.25,0.00390588625529,115,0.124987287705,6.05994367894e-14
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,606219171.224,10226056.4702,606219171.224,613450085.099,598988257.349,599711348.737,612726993.712,2.0,104572230932000.0,0.12499630558,0.25,0.0078130635937,8,0.250025424591,6.05994367894e-14
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,579518488.971,1944955.44453,579518488.971,580893780.155,578143197.787,578280726.906,580756251.037,2.0,3782851681220.0,0.249997378153,0.25,0.0156264251548,33,0.250025424591,6.05994367894e-14
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,566223935.006,13689945.1602,566223935.006,575904188.063,556543681.949,557511707.255,574936162.757,2.0,187414598488000.0,0.250002621847,0.25,0.0156251638654,59,0.25,6.05994367894e-14
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,560331182.08,4553396.52418,560331182.08,563550919.639,557111444.52,557433418.276,563228945.883,2.0,20733419906400.0,0.12499630558,0.125,0.00195286865094,5,0.124987287705,6.05994367894e-14
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,542720590.621,376162.272612,542720590.621,542986577.514,542454603.727,542481202.416,542959978.825,2.0,141498055337.0,0.12499630558,0.25,0.00781226909872,7,0.25,6.05994367894e-14
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,542522996.948,3297013.77838,542522996.948,544854337.749,540191656.148,540424790.228,544621203.669,2.0,10870299854800.0,0.125001072574,0.25,0.00781256703585,114,0.25,6.05994367894e-14
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,531656477.586,8982303.69348,531656477.586,538007925.438,525305029.734,525940174.519,537372780.653,2.0,80681779641900.0,0.249997378153,0.125,0.00390581177858,30,0.124987287705,6.05994367894e-14
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,527569256.17,2925030.07968,527569256.17,529637564.775,525500947.566,525707778.426,529430733.914,2.0,8555800967020.0,0.250002621847,0.25,0.00781178740592,85,0.124987287705,6.05994367894e-14
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,516710620.733,6178401.12962,516710620.733,521079410.068,512341831.397,512778710.331,520642531.135,2.0,38172640518500.0,0.250002621847,0.25,0.015626752919,88,0.250025424591,6.05994367894e-14
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,484504656.493,1704002.0159,484504656.493,485709567.874,483299745.113,483420236.251,485589076.736,2.0,2903622870200.0,0.249997378153,0.125,0.00781241806729,29,0.25,6.05994367894e-14
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,480356821.785,504113.740785,480356821.785,480713284.029,480000359.54,480036005.764,480677637.805,2.0,254130663648.0,0.250002621847,0.25,0.015626752919,58,0.250025424591,6.05994367894e-14
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,473004586.083,2734569.19515,473004586.083,474938218.505,471070953.662,471264316.904,474744855.263,2.0,7477868683040.0,0.12499630558,0.125,0.00390613454936,4,0.25,6.05994367894e-14
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,463865067.007,1716769.74273,463865067.007,465079006.533,462651127.48,462772521.432,464957612.581,2.0,2947298349560.0,0.250002621847,0.25,0.0156251638654,84,0.25,6.05994367894e-14
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,454394462.325,1777824.15132,454394462.325,455651573.838,453137350.812,453263061.963,455525862.687,2.0,3160658713000.0,0.249997378153,0.25,0.0156248361346,32,0.25,6.05994367894e-14
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,423405087.805,1915814.02947,423405087.805,424759772.897,422050402.713,422185871.223,424624304.388,2.0,3670343395530.0,0.125001072574,0.25,0.00390588625529,110,0.124987287705,6.05994367894e-14
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,421881762.331,6931342.32339,421881762.331,426782961.49,416980563.171,417470683.087,426292841.575,2.0,48043506404000.0,0.250002621847,0.125,0.00390589370296,55,0.124987287705,6.05994367894e-14
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,417357893.922,4982929.50272,417357893.922,420881357.164,413834430.681,414186777.005,420529010.84,2.0,24829586429100.0,0.249997378153,0.125,0.00781321257741,28,0.250025424591,6.05994367894e-14
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,414267701.375,2507508.64823,414267701.375,416040777.744,412494625.006,412671932.643,415863470.107,2.0,6287599620970.0,0.125001072574,0.25,0.00781336156113,113,0.250025424591,6.05994367894e-14
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,407433017.73,4028807.72589,407433017.73,410281814.993,404584220.467,404869100.193,409996935.267,2.0,16231291692200.0,0.12499630558,0.125,0.00390653179685,3,0.250025424591,6.05994367894e-14
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,378283097.812,9775126.20186,378283097.812,385195155.836,371371039.788,372062245.59,384503950.034,2.0,95553092262400.0,0.250002621847,0.125,0.00781258193271,54,0.25,6.05994367894e-14
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,377462187.84,4732893.83494,377462187.84,380808849.166,374115526.515,374450192.648,380474183.033,2.0,22400284052900.0,0.250002621847,0.25,0.015626752919,83,0.250025424591,6.05994367894e-14
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,356106294.264,2542153.50078,356106294.264,357903868.243,354308720.284,354488477.682,357724110.845,2.0,6462544421550.0,0.250002621847,0.25,0.0156251638654,57,0.25,6.05994367894e-14
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,350660924.188,1924532.71575,350660924.188,352021774.322,349300074.054,349436159.067,351885689.308,2.0,3703826173980.0,0.125001072574,0.25,0.00781256703585,109,0.25,6.05994367894e-14
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,347547117.972,4404615.77467,347547117.972,350661651.655,344432584.289,344744037.658,350350198.287,2.0,19400640122500.0,0.12499630558,0.125,0.00390613454936,2,0.25,6.05994367894e-14
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,334711793.388,1375536.69542,334711793.388,335684444.714,333739142.063,333836407.196,335587179.581,2.0,1892101200440.0,0.250002621847,0.125,0.00390589370296,80,0.124987287705,6.05994367894e-14
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,325414858.297,1640418.10036,325414858.297,326574809.06,324254907.534,324370902.611,326458813.984,2.0,2690971544000.0,0.249997378153,0.125,0.00781241806729,27,0.25,6.05994367894e-14
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,312929593.006,1342140.58134,312929593.006,313878629.713,311980556.3,312075459.971,313783726.042,2.0,1801341340090.0,0.250002621847,0.125,0.0078133764595,53,0.250025424591,6.05994367894e-14
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,293688463.674,2133203.54949,293688463.674,295196866.37,292180060.979,292330901.248,295046026.1,2.0,4550557383560.0,0.12499630558,0.125,0.00195286865094,1,0.124987287705,6.05994367894e-14
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,272245457.317,6933537.27333,272245457.317,277148208.541,267342706.094,267832981.216,276657933.419,2.0,48073939120700.0,0.250002621847,0.125,0.00781258193271,79,0.25,6.05994367894e-14
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,264129158.041,3393354.23422,264129158.041,266528621.831,261729694.251,261969640.63,266288675.452,2.0,11514852958900.0,0.125001072574,0.25,0.00781336156113,108,0.250025424591,6.05994367894e-14
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,249424545.59,2498798.64303,249424545.59,251191463.055,247657628.125,247834319.871,251014771.309,2.0,6243994658430.0,0.250002621847,0.25,0.0156251638654,82,0.25,6.05994367894e-14
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,220181433.238,162187.186018,220181433.238,220296116.897,220066749.579,220078217.945,220284648.531,2.0,26304683308.5,0.250002621847,0.125,0.00781258193271,52,0.25,6.05994367894e-14
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,212311727.649,3934842.9013,212311727.649,215094081.747,209529373.55,209807608.96,214815846.337,2.0,15482988657900.0,0.250002621847,0.125,0.0078133764595,78,0.250025424591,6.05994367894e-14
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,204747544.708,1467087.90933,204747544.708,205784932.517,203710156.898,203813895.679,205681193.736,2.0,2152346933710.0,0.125001072574,0.125,0.00195294312764,105,0.124987287705,6.05994367894e-14
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,201930197.712,1900435.26233,201930197.712,203274008.373,200586387.05,200720768.117,203139627.307,2.0,3611654186300.0,0.249997378153,0.125,0.00390581177858,26,0.124987287705,6.05994367894e-14
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,166894036.486,11046656.8083,166894036.486,174705202.425,159082870.548,159863987.142,173924085.831,2.0,122028626641000.0,0.125001072574,0.125,0.00390628351793,104,0.25,6.05994367894e-14
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,146038993.159,1176603.25036,146038993.159,146870977.296,145207009.021,145290207.435,146787778.882,2.0,1384395208750.0,0.125001072574,0.25,0.00781256703585,107,0.25,6.05994367894e-14
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,116894115.163,2929987.38224,116894115.163,118965929.11,114822301.216,115029482.611,118758747.715,2.0,8584826060110.0,0.250002621847,0.125,0.00781258193271,77,0.25,6.05994367894e-14
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,109488364.713,1709054.56281,109488364.713,110696848.784,108279880.642,108400729.05,110576000.377,2.0,2920867498650.0,0.125001072574,0.125,0.00390668078057,103,0.250025424591,6.05994367894e-14
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,101943336.314,1197662.92806,101943336.314,102790211.892,101096460.736,101181148.294,102705524.334,2.0,1434396489240.0,0.250002621847,0.125,0.00390589370296,51,0.124987287705,6.05994367894e-14
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,15456442.0952,5243744.40623,15456442.0952,19164329.3237,11748554.8668,12119343.5896,18793540.6008,2.0,27496855397800.0,0.125001072574,0.125,0.00390628351793,102,0.25,6.05994367894e-14
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-2005136.21381,411714.869681,-2005136.21381,-1714009.83754,-2296262.59008,-2267149.95245,-1743122.47517,2.0,169509133917.0,0.250002621847,0.125,0.00390589370296,76,0.124987287705,6.05994367894e-14
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-105242773.773,214463.669425,-105242773.773,-105091125.058,-105394422.488,-105379257.617,-105106289.93,2.0,45994665503.2,0.125001072574,0.125,0.00195294312764,101,0.124987287705,6.05994367894e-14
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-213394277104000.0,161276.03077,-213394277104000.0,-213394276990000.0,-213394277218000.0,-213394277207000.0,-213394277002000.0,2.0,26009958100.8,0.125001072574,0.25,0.00390588625529,106,0.124987287705,6.05994367894e-14
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-218836272146000.0,7737108.17349,-218836272146000.0,-218836266675000.0,-218836277617000.0,-218836277070000.0,-218836267222000.0,2.0,59862842888300.0,0.250002621847,0.25,0.00781178740592,81,0.124987287705,6.05994367894e-14
1193.0,-600.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-219169400356000.0,420703.830263,-219169400356000.0,-219169400058000.0,-219169400653000.0,-219169400623000.0,-219169400088000.0,2.0,176991712798.0,0.125001072574,0.25,0.00781256703585,112,0.25,6.05994367894e-14
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-224278284852000.0,711310.531001,-224278284852000.0,-224278284349000.0,-224278285355000.0,-224278285305000.0,-224278284400000.0,2.0,505962671512.0,0.250002621847,0.25,0.00781178740592,56,0.124987287705,6.05994367894e-14
1193.0,-600.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-224611384942000.0,4174428.6592,-224611384942000.0,-224611381990000.0,-224611387894000.0,-224611387598000.0,-224611382285000.0,2.0,17425854630800.0,0.250002621847,0.25,0.0156251638654,87,0.25,6.05994367894e-14
1193.0,-400.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-224892003467000.0,,-224892003467000.0,-224892003467000.0,-224892003467000.0,-224892003467000.0,-224892003467000.0,1.0,,0.125001072574,0.25,0.00781336156113,118,0.250025424591,6.05994367894e-14
