smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,594432225.436,536325.172785,594432225.436,594811464.603,594052986.27,594090910.186,594773540.686,2.0,287644690963.0,1,0.000578489936133,0.0833344030397,0.0833283616224,1.28667840979e-13,0.0833064516129
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,539560646.299,223853.022883,539560646.299,539718934.289,539402358.308,539418187.107,539703105.49,2.0,50110175853.8,50,0.00115701870173,0.0833344030397,0.16666231642,1.28667840979e-13,0.0833064516129
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,484761902.408,11020.3521574,484761902.408,484769694.974,484754109.843,484754889.099,484768915.718,2.0,121448161.672,99,0.00115706184557,0.0833344030397,0.166668531058,1.28667840979e-13,0.0833064516129
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,430305814.411,114933.621817,430305814.411,430387084.754,430224544.067,430232671.102,430378957.72,2.0,13209737424.0,148,0.00115706615996,0.0833344030397,0.166669152522,1.28667840979e-13,0.0833064516129
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,430071937.834,1215560.92253,430071937.834,430931469.205,429212406.463,429298359.6,430845516.068,2.0,1477588356370.0,9,0.00231503518814,0.16666559696,0.0833283616224,1.28667840979e-13,0.166693548387
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,376366089.848,1689619.09321,376366089.848,377560830.967,375171348.73,375290822.842,377441356.855,2.0,2854812680130.0,58,0.00463022576632,0.16666559696,0.16666231642,1.28667840979e-13,0.166693548387
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,375715334.549,985324.426843,375715334.549,376412064.132,375018604.965,375088277.923,376342391.174,2.0,970864226133.0,197,0.00115706184557,0.0833344030397,0.166668531058,1.28667840979e-13,0.0833064516129
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,322514043.389,1009105.67991,322514043.389,323227588.858,321800497.92,321871852.466,323156234.311,2.0,1018294273230.0,107,0.0046303984219,0.16666559696,0.166668531058,1.28667840979e-13,0.166693548387
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,670468.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,321198427.315,62537.759055,321198427.315,321242648.189,321154206.442,321158628.529,321238226.102,2.0,3910971307.62,246,0.00115706184557,0.0833344030397,0.166668531058,1.28667840979e-13,0.0833064516129
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,312965543.635,396491.813796,312965543.635,313245905.685,312685181.585,312713217.79,313217869.48,2.0,157205758407.0,2,0.00115695759524,0.16666559696,0.0833283616224,1.28667840979e-13,0.0833064516129
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,307593576.978,593101.992489,307593576.978,308012963.418,307174190.537,307216129.181,307971024.774,2.0,351769973495.0,51,0.0023139928479,0.16666559696,0.16666231642,1.28667840979e-13,0.0833064516129
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,265902137.815,270666.782602,265902137.815,266093528.133,265710747.498,265729886.53,266074389.101,2.0,73260507204.2,156,0.00463041568746,0.16666559696,0.166669152522,1.28667840979e-13,0.166693548387
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,252891261.302,1849360.67888,252891261.302,254198956.778,251583565.825,251714335.372,254068187.231,2.0,3420134920590.0,100,0.00231407913393,0.16666559696,0.166668531058,1.28667840979e-13,0.0833064516129
720.0,-460.3,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,219549129.718,908963.129742,219549129.718,220191863.71,218906395.725,218970669.124,220127590.311,2.0,826213971230.0,66,0.00463022576632,0.16666559696,0.16666231642,1.28667840979e-13,0.166693548387
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,211952037.934,1192108.44486,211952037.934,212794985.9,211109089.969,211193384.766,212710691.103,2.0,1421122544310.0,205,0.0046303984219,0.16666559696,0.166668531058,1.28667840979e-13,0.166693548387
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,196705167.817,589274.104962,196705167.817,197121847.533,196288488.101,196330156.073,197080179.561,2.0,347243970779.0,149,0.00231408776253,0.16666559696,0.166669152522,1.28667840979e-13,0.0833064516129
720.0,-460.3,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,161736901.654,461751.817189,161736901.654,162063409.495,161410393.813,161443044.597,162030758.711,2.0,213214740678.0,115,0.0046303984219,0.16666559696,0.166668531058,1.28667840979e-13,0.166693548387
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,670468.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,157354817.185,1679239.31864,157354817.185,158542218.695,156167415.676,156286155.827,158423478.544,2.0,2819844689250.0,254,0.0046303984219,0.16666559696,0.166668531058,1.28667840979e-13,0.166693548387
720.0,-563.7,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,151429051.592,4007483.95407,151429051.592,154262770.671,148595332.512,148878704.42,153979398.763,2.0,16059927642100.0,10,0.00231503518814,0.16666559696,0.0833283616224,1.28667840979e-13,0.166693548387
720.0,-563.7,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,144803244.986,1273460.20168,144803244.986,145703717.33,143902772.642,143992819.876,145613670.096,2.0,1621700885270.0,59,0.00463022576632,0.16666559696,0.16666231642,1.28667840979e-13,0.166693548387
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,143380201.72,3340288.99665,143380201.72,145742142.72,141018260.719,141254454.819,145505948.62,2.0,11157530581100.0,198,0.00231407913393,0.16666559696,0.166668531058,1.28667840979e-13,0.0833064516129
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,120006088.831,496994.415951,120006088.831,120357516.953,119654660.709,119689803.521,120322374.14,2.0,247003449486.0,25,0.00231395974453,0.166668806079,0.0833283616224,1.28667840979e-13,0.166612903226
720.0,-460.3,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,108904094.532,4343913.37331,108904094.532,111975705.135,105832483.929,106139644.989,111668544.075,2.0,18869583394800.0,164,0.00463041568746,0.16666559696,0.166669152522,1.28667840979e-13,0.166693548387
720.0,-563.7,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,90321396.3277,1464168.24757,90321396.3277,91356719.6243,89286073.031,89389605.3607,91253187.2946,2.0,2143788657190.0,108,0.0046303984219,0.16666559696,0.166668531058,1.28667840979e-13,0.166693548387
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,670468.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,87973302.7254,781563.733762,87973302.7254,88525951.7415,87420653.7093,87475918.6109,88470686.8398,2.0,610841869932.0,247,0.00231407913393,0.16666559696,0.166668531058,1.28667840979e-13,0.0833064516129
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,65285565.496,258357.572689,65285565.496,65468251.8876,65102879.1043,65121147.7435,65449983.2484,2.0,66748635365.7,74,0.00462807480691,0.166668806079,0.16666231642,1.28667840979e-13,0.166612903226
720.0,-667.0,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,63103719.0337,983404.004124,63103719.0337,63799090.6737,62408347.3938,62477884.5578,63729553.5097,2.0,967083435328.0,52,0.0023139928479,0.16666559696,0.16666231642,1.28667840979e-13,0.0833064516129
720.0,-460.3,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,52424866.5679,3448557.76854,52424866.5679,54863365.1514,49986367.9845,50230217.8428,54619515.293,2.0,11892550683000.0,213,0.0046303984219,0.16666559696,0.166668531058,1.28667840979e-13,0.166693548387
720.0,-563.7,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,36038046.1063,1585111.19295,36038046.1063,37158888.9798,34917203.2328,35029287.5202,37046804.6924,2.0,2512577494020.0,157,0.00463041568746,0.16666559696,0.166669152522,1.28667840979e-13,0.166693548387
720.0,-667.0,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,31268965.3746,3775921.32044,31268965.3746,33938944.9455,28598985.8037,28865983.7608,33671946.9885,2.0,14257581818100.0,3,0.00115695759524,0.16666559696,0.0833283616224,1.28667840979e-13,0.0833064516129
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,6854197.92521,694210.631869,6854197.92521,7345078.97058,6363316.87985,6412404.98439,7295990.86604,2.0,481928401400.0,123,0.00462824738229,0.166668806079,0.166668531058,1.28667840979e-13,0.166612903226
720.0,-667.0,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,1790299.95655,321164.565495,1790299.95655,2017397.59869,1563202.31442,1585912.07863,1994687.83448,2.0,103146678130.0,101,0.00231407913393,0.16666559696,0.166668531058,1.28667840979e-13,0.0833064516129
720.0,-460.3,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-442605.052953,640867.558535,-442605.052953,10556.7435297,-895766.849435,-850450.669787,-34759.4361185,2.0,410711227582.0,18,0.00231507976377,0.166668806079,0.0833283616224,1.28667840979e-13,0.166693548387
720.0,-460.3,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,670468.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2431898.69165,499703.86091,-2431898.69165,-2078554.70302,-2785242.68029,-2749908.28142,-2113889.10188,2.0,249703948608.0,262,0.0046303984219,0.16666559696,0.166668531058,1.28667840979e-13,0.166693548387
720.0,-460.3,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,134094.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-8794928.78238,970720.397767,-8794928.78238,-8108525.80648,-9481331.75827,-9412691.46068,-8177166.10407,2.0,942298090641.0,67,0.00463031492056,0.166668806079,0.16666231642,1.28667840979e-13,0.166693548387
720.0,-563.7,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-21858871.3311,321664.476158,-21858871.3311,-21631420.1988,-22086322.4635,-22063577.3503,-21654165.312,2.0,103468035222.0,206,0.0046303984219,0.16666559696,0.166668531058,1.28667840979e-13,0.166693548387
720.0,-253.7,-6374.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-22588071.6374,1433535.81682,-22588071.6374,-21574408.7403,-23601734.5346,-23500368.2449,-21675775.03,2.0,2055024938110.0,33,0.00231503518814,0.16666559696,0.0833283616224,1.28667840979e-13,0.166693548387
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-42267947.5279,2896952.30784,-42267947.5279,-40219492.9062,-44316402.1495,-44111556.6874,-40424338.3684,2.0,8392332673880.0,172,0.00462826463983,0.166668806079,0.166669152522,1.28667840979e-13,0.166612903226
