RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__htse__production__electricity,Dispatch__htse__production__h2,Dispatch__ft__production__diesel,Dispatch__ft__production__h2,Dispatch__ft__production__naphtha,Dispatch__ft__production__jet_fuel,Dispatch__ft_elec_consumption__production__electricity,Dispatch__electricity_market__production__electricity,Dispatch__naphtha_market__production__naphtha,Dispatch__jet_fuel_market__production__jet_fuel,Dispatch__diesel_market__production__diesel,Dispatch__h2_storage__level__h2,Dispatch__h2_storage__charge__h2,Dispatch__h2_storage__discharge__h2,price,ProbabilityWeight,prefix,PointProbability
0,0.0,1,2014,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,30.5581248525,1.0,1_0,1.0
0,0.0,1,2015,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,25.7034950901,1.0,1_0,1.0
0,0.0,1,2016,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,19.6106991134,1.0,1_0,1.0
0,0.0,1,2017,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,24.2459835369,1.0,1_0,1.0
0,0.0,1,2018,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,94.5937740899,1.0,1_0,1.0
0,0.0,1,2019,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,23.049418143,1.0,1_0,1.0
0,0.0,1,2020,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,15.6726346454,1.0,1_0,1.0
0,0.0,1,2021,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,22.047981373,1.0,1_0,1.0
0,0.0,1,2022,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,29.2150540812,1.0,1_0,1.0
0,0.0,1,2023,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,26.5933407107,1.0,1_0,1.0
0,0.0,1,2024,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,31.0742819073,1.0,1_0,1.0
0,0.0,1,2025,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,20.3752263991,1.0,1_0,1.0
0,0.0,1,2026,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,18.836348105,1.0,1_0,1.0
0,0.0,1,2027,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,23.6124116263,1.0,1_0,1.0
0,0.0,1,2028,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,54.7507903597,1.0,1_0,1.0
0,0.0,1,2029,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,19.8953925495,1.0,1_0,1.0
0,0.0,1,2030,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,18.4584549645,1.0,1_0,1.0
0,0.0,1,2031,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,23.503641995,1.0,1_0,1.0
0,0.0,2,2012,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,44.541543821,1.0,1_0,1.0
0,0.0,2,2013,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,25.5066772138,1.0,1_0,1.0
0,0.0,2,2014,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,77.1697485846,1.0,1_0,1.0
0,0.0,2,2015,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,25.6365512256,1.0,1_0,1.0
0,0.0,2,2016,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,17.7757503229,1.0,1_0,1.0
0,0.0,2,2017,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,28.0859367167,1.0,1_0,1.0
0,0.0,2,2018,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,69.2447797618,1.0,1_0,1.0
0,0.0,2,2019,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,20.9860620292,1.0,1_0,1.0
0,0.0,2,2020,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,18.3791573571,1.0,1_0,1.0
0,0.0,2,2021,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,26.6473209565,1.0,1_0,1.0
0,0.0,2,2022,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,25.5636415069,1.0,1_0,1.0
0,0.0,2,2023,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,24.7031911127,1.0,1_0,1.0
0,0.0,2,2024,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,37.0356601308,1.0,1_0,1.0
0,0.0,2,2025,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,23.2693864242,1.0,1_0,1.0
0,0.0,2,2026,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,22.3136975597,1.0,1_0,1.0
0,0.0,2,2027,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,18.98465769,1.0,1_0,1.0
0,0.0,2,2028,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,237.209456787,1.0,1_0,1.0
