cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-531333073.675,0.0,0.0,0.0,0.0,0.0,-233990546.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-20539886.8762,25999856.8054,-23983120.0,-17339374.8649,-22095358.95,0.0,-9045436.08518,11449919.0952,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,19997072.8888,40793394.7657,59743301.255,35519414.127,0.0,-193.286357408,244.666275201,0.0,0.0
2,0.0,-38193173.8744,48345789.7144,-23983120.0,-17339376.7596,-22095358.95,0.0,-16819659.9744,21290708.8284,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,22383567.0577,40793394.7657,59743301.255,35519414.127,0.0,-359.408963668,454.948055276,0.0,0.0
3,0.0,-33640493.7238,42582903.4478,-23983120.0,-17339390.9114,-22095358.95,0.0,-14814732.8019,18752826.3315,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,29403476.0844,38835311.817,62407015.3236,34130386.7589,0.0,-316.566908692,400.717605939,0.0,0.0
4,0.0,-29649752.5492,37531332.3407,-23983120.0,-17339386.3438,-22095358.95,0.0,-13057274.5235,16528195.5994,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,20283521.7893,33613757.287,57079587.1863,32146061.9473,0.0,-279.01286423,353.180840797,0.0,0.0
5,0.0,-26115460.2606,33057544.6337,-23983120.0,-17339379.0007,-22095358.95,0.0,-11500828.999,14558011.3911,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,17044430.6258,33287410.1288,62787545.9049,33733521.7966,0.0,-245.754137607,311.081186844,0.0,0.0
6,0.0,-22976644.1395,29084359.6703,-23983120.0,-17339378.205,-22095358.95,0.0,-10118544.823,12808284.586,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,17803214.7523,32634715.8126,62787545.9049,33336656.8343,0.0,-216.216957666,273.692351476,0.0,0.0
7,0.0,-21295344.2283,26956131.9345,-23983120.0,-17339390.7203,-22095358.95,0.0,-9378127.3621,11871047.2938,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,21508440.8842,32961062.9707,63168076.4861,33138224.3531,0.0,-200.395432577,253.665104527,0.0,0.0
8,0.0,-20841010.2058,26381025.5769,-23983120.0,-17339375.3956,-22095358.95,0.0,-9178045.96017,11617779.6964,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,15884534.5143,33613757.287,64309668.2299,33138224.3531,0.0,-196.120016223,248.253185092,0.0,0.0
9,0.0,-20430939.4714,25861948.698,-23983120.0,-17339370.5894,-22095358.95,0.0,-8997457.39898,11389186.581,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,12361916.2119,33940104.4451,65831790.5548,33535089.3154,0.0,-192.261130388,243.368519478,0.0,0.0
10,0.0,-19961214.8697,25267360.5946,-23983120.0,-17339384.0971,-22095358.95,0.0,-8790598.2333,11127339.5358,-21732221.0,-6035605.53,-94083826.2504,522315000.0,-416208.405,23027548.524,34266451.6032,66592851.7173,33733521.7966,0.0,-187.840884171,237.773271103,0.0,0.0
11,0.0,-19568455.1157,24770196.349,-23983120.0,-17339369.5131,-22095358.95,0.0,-8617633.14967,10908396.392,-21732221.0,-6035605.53,-94083826.2504,0.0,-416208.405,19752183.9613,35245493.0776,66592851.7173,33733521.7966,0.0,-184.144899737,233.094809794,0.0,0.0
