smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,593967135.441,56530.4683431,593967135.441,594007108.518,593927162.363,593931159.671,594003111.211,2.0,3195693851.09,0.125018050542,0.00391380597435,26,0.125226860254,3.66466187075e-13,0.249993707579
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,564700487.945,33866.3943727,564700487.945,564724435.102,564676540.788,564678935.503,564722040.386,2.0,1146932667.81,0.125018050542,0.00391400299785,51,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,535494624.405,45139.1219849,535494624.405,535526542.585,535462706.226,535465898.044,535523350.767,2.0,2037540333.57,0.125018050542,0.00391400299785,76,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,506137018.68,67799.5756485,506137018.68,506184960.22,506089077.14,506093871.294,506180166.066,2.0,4596782458.11,0.125018050542,0.00195701244467,101,0.125226860254,3.66466187075e-13,0.125003845369
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,153449655.377,241940.355134,153449655.377,153620733.043,153278577.712,153295685.478,153603625.277,2.0,58535135442.5,0.25,0.0156529635417,32,0.250453720508,3.66466187075e-13,0.249993707579
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,124251481.926,73081.7576946,124251481.926,124303158.532,124199805.319,124204972.98,124297990.872,2.0,5340943307.73,0.25,0.0156537515218,57,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,95147325.3117,61460.774544,95147325.3117,95190784.6422,95103865.9813,95108211.9143,95186438.7091,2.0,3777426807.55,0.25,0.0156537515218,82,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,65665083.0825,148868.72596,65665083.0825,65770349.1682,65559816.9969,65570343.6055,65759822.5596,2.0,22161897568.9,0.25,0.0078269195376,107,0.250453720508,3.66466187075e-13,0.125003845369
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,43985711.8989,165121.409266,43985711.8989,44102470.3671,43868953.4307,43880629.2775,44090794.5203,2.0,27265079798.1,0.25,0.00391302200204,2,0.125226860254,3.66466187075e-13,0.12498986221
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,40762225.4417,342937.605662,40762225.4417,41004718.9482,40519731.9352,40543981.2859,40980469.5975,2.0,117606201377.0,0.25,0.00782648177084,27,0.125226860254,3.66466187075e-13,0.249993707579
