smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-528360916.023,1456368.38603,-528151049.795,-526878282.729,-530263281.771,-530018207.674,-526997437.09,4.0,2121008875820.0,0.00779855422245,52,0.249546279492,0.250018051845,0.124994709051,1.7334191682000001e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-547183132.346,2344232.74603,-546475135.229,-545211575.385,-550570683.542,-549993280.203,-545364180.454,4.0,5495427167560.0,0.0155975623434,57,0.249546279492,0.250018051845,0.249996693157,1.7334191682000001e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-555759253.466,661778.0779,-555450667.61,-555384861.814,-556750816.829,-556556405.591,-555394121.538,4.0,437950224389.0,0.015652020206,84,0.250453720508,0.249981948155,0.249996693157,1.7334191682000001e-13
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-562975178.654,2068785.17982,-562992495.02,-560910592.339,-565005132.235,-564927128.636,-560998985.758,4.0,4279872120250.0,0.00779900812097,47,0.249546279492,0.250018051845,0.125001984106,1.7334191682000001e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-582751288.25,1396601.65489,-583198513.99,-580723645.7,-583884479.319,-583806686.677,-581069773.787,4.0,1950496182450.0,0.00782734744372,41,0.125226860254,0.250018051845,0.250003306843,1.7334191682000001e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-583221975.685,4080093.74518,-583195863.75,-578258646.266,-588237528.973,-587522319.685,-578958188.393,4.0,16647164969500.0,0.00195644559034,105,0.125226860254,0.124990974078,0.124994709051,1.7334191682000001e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-602956610.391,1221974.36274,-602806983.866,-601699412.148,-604513061.685,-604326847.555,-601795850.362,4.0,1493221343200.0,0.0155979749784,68,0.249546279492,0.250018051845,0.250003306843,1.7334191682000001e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-624758067.329,4548062.25982,-625294797.153,-618733060.508,-629709614.502,-629133555.545,-619631157.359,4.0,20684870319200.0,0.0155979749784,62,0.249546279492,0.250018051845,0.250003306843,1.7334191682000001e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-634276859.206,3233960.18303,-633075549.661,-631954860.286,-639001477.215,-638205993.158,-632029558.617,4.0,10458498465400.0,0.0156524342817,89,0.250453720508,0.249981948155,0.250003306843,1.7334191682000001e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-639424716.091,6004220.90975,-639543083.738,-632545100.853,-646067596.035,-645521936.542,-633161780.934,4.0,36050668733100.0,0.00779742807743,78,0.249546279492,0.249981948155,0.124994709051,1.7334191682000001e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-656065430.273,6379233.62725,-656586508.689,-648049451.868,-663039251.846,-662383302.915,-649018047.849,4.0,40694621671000.0,0.00391300505149,110,0.125226860254,0.124990974078,0.249996693157,1.7334191682000001e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-657469462.518,1370792.26354,-657268864.078,-656151403.488,-659188718.428,-658999308.329,-656220454.523,4.0,1879071429780.0,0.00391368407525,46,0.125226860254,0.250018051845,0.125001984106,1.7334191682000001e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-665017612.525,2345876.98973,-664877089.54,-662472422.935,-667843848.084,-667548996.426,-662682960.801,4.0,5503138850930.0,0.0155953099878,83,0.249546279492,0.249981948155,0.249996693157,1.7334191682000001e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-668848510.507,2502844.97819,-667955038.048,-667014586.995,-672469378.939,-671882362.032,-667065520.425,4.0,6264232984870.0,0.00782714037597,56,0.125226860254,0.250018051845,0.249996693157,1.7334191682000001e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-680380852.889,2638983.67108,-680195191.906,-677749144.751,-683383882.993,-683139879.304,-677881751.85,4.0,6964234816240.0,0.00779900812097,73,0.249546279492,0.250018051845,0.125001984106,1.7334191682000001e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-687278912.675,2555688.98459,-688368499.048,-683471059.904,-688907592.699,-688854366.997,-684178037.429,4.0,6531546185980.0,0.00391345630072,51,0.125226860254,0.250018051845,0.124994709051,1.7334191682000001e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-700770451.42,2088161.81979,-700880077.781,-698115522.323,-703206127.793,-702886471.364,-698500954.57,4.0,4360419785620.0,0.0155979749784,67,0.249546279492,0.250018051845,0.250003306843,1.7334191682000001e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-713114524.073,758566.409938,-712924675.508,-712415430.706,-714193314.571,-714007344.808,-712487491.33,4.0,575422998286.0,0.0156524342817,94,0.250453720508,0.249981948155,0.250003306843,1.7334191682000001e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-732145295.089,5715065.53288,-730814218.146,-727354859.927,-739597884.136,-738703975.214,-727450122.683,4.0,32661974045100.0,0.00391310857042,115,0.125226860254,0.124990974078,0.250003306843,1.7334191682000001e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-742855049.283,2108854.86055,-743081570.802,-740095019.359,-745162036.17,-744907986.395,-740484982.045,4.0,4447268822870.0,0.00391289118068,104,0.250453720508,0.124990974078,0.124994709051,1.7334191682000001e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-746405105.603,4329507.14568,-746789588.471,-741265025.574,-750776219.895,-750520461.602,-741751473.587,4.0,18744632124500.0,0.0155957225633,88,0.249546279492,0.249981948155,0.250003306843,1.7334191682000001e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-746967950.696,2771768.7634,-748080269.177,-742847577.052,-748863687.378,-748751266.803,-743627388.716,4.0,7682702077780.0,0.00782734744372,61,0.125226860254,0.250018051845,0.250003306843,1.7334191682000001e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-780682826.406,4815021.1039,-780303039.167,-775385083.279,-786740144.011,-785999768.934,-775897586.013,4.0,23184428231000.0,0.00782601010299,109,0.250453720508,0.124990974078,0.249996693157,1.7334191682000001e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-782406359.94,2748193.60592,-782916927.499,-778813450.509,-784978134.252,-784840417.232,-779257508.064,4.0,7552568095620.0,0.00779900812097,72,0.249546279492,0.250018051845,0.125001984106,1.7334191682000001e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-785273768.699,4525463.73351,-787063376.413,-778558069.442,-788410252.527,-788241071.992,-779801014.605,4.0,20479822003300.0,0.00782623784463,99,0.250453720508,0.249981948155,0.125001984106,1.7334191682000001e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-798726636.227,5158294.80206,-798458779.893,-792691604.892,-805297380.23,-804302375.243,-793525896.079,4.0,26608005265000.0,0.00779742807743,77,0.249546279492,0.249981948155,0.124994709051,1.7334191682000001e-13
