smr_capacity,electricity_market_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-smr_capacity,PointProbability,ProbabilityWeight,prefix
240.0,-1e+200,ref,prairie_island,minnesota,covid,-92589439.0252,543608.220459,-92493144.0098,-91995517.082,-93724414.4066,-93430272.0629,-92044083.6716,10.0,295509897351.0,0.125,0.00104166666667,0.125,1
480.0,-1e+200,ref,prairie_island,minnesota,covid,-183790712.689,1907171.27303,-183616863.74,-181020903.461,-186966820.179,-186285217.773,-181119559.963,10.0,3637302264660.0,0.25,0.00104166666667,0.25,2
720.0,-1e+200,ref,prairie_island,minnesota,covid,-275181656.834,2762278.7205,-275810738.473,-271533537.042,-278992418.146,-278852901.865,-271624259.789,10.0,7630183729700.0,0.25,0.00104166666667,0.25,3
960.0,-1e+200,ref,prairie_island,minnesota,covid,-366153672.762,3384836.98832,-366642474.587,-360651957.98,-371123876.404,-370667713.263,-361653370.72,10.0,11457121437500.0,0.25,0.00104166666667,0.25,4
1200.0,-1e+200,ref,prairie_island,minnesota,covid,-459571843.084,3602476.80668,-459709548.691,-455306705.663,-464514708.014,-464031560.109,-455532841.395,10.0,12977839142700.0,0.125,0.00104166666667,0.125,5
