smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,571478473.218,842537.05879,571478473.218,572074236.886,570882709.551,570942285.917,572014660.519,2.0,709868695435.0,2.6175466018599997e-14,2,0.00391331593177,0.25,0.125226860254,0.124999250922
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,455734392.019,21154185.0477,455734392.019,470692659.717,440776124.321,442271951.091,469196832.947,2.0,447499545031000.0,2.6175466018599997e-14,19,0.00779827450171,0.25,0.249546279492,0.124999250922
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,425600244.42,15981749.5109,425600244.42,436901047.874,414299440.965,415429521.311,435770967.528,2.0,255416317428000.0,2.6175466018599997e-14,8,0.00782550166399,0.249963898917,0.250453720508,0.124999250922
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,388288786.576,2200189.97402,388288786.576,389844555.826,386733017.325,386888594.25,389688978.901,2.0,4840835921800.0,2.6175466018599997e-14,26,0.00391389666791,0.125018050542,0.125226860254,0.249999500615
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,355841480.226,4104248.32473,355841480.226,358743622.048,352939338.404,353229552.586,358453407.866,2.0,16844854311000.0,2.6175466018599997e-14,25,0.00195694051577,0.125018050542,0.125226860254,0.124999250922
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,297197447.871,40495853.2546,297197447.871,325832340.318,268562555.425,271426044.67,322968851.073,2.0,1639914130820000.0,2.6175466018599997e-14,14,0.00779827450171,0.25,0.249546279492,0.124999250922
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,244922767.635,86374.5634823,244922767.635,244983843.675,244861691.596,244867799.2,244977736.071,2.0,7460565216.75,2.6175466018599997e-14,32,0.0156533262635,0.25,0.250453720508,0.249999500615
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,237760415.993,2208547.15302,237760415.993,239322094.662,236198737.325,236354905.192,239165926.795,2.0,4877680527120.0,2.6175466018599997e-14,3,0.00391275083199,0.249963898917,0.125226860254,0.124999250922
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,156819252.261,12412002.4391,156819252.261,165595863.353,148042641.168,148920302.277,164718202.244,2.0,154057804549000.0,2.6175466018599997e-14,27,0.00782666313177,0.25,0.125226860254,0.249999500615
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,136164166.655,23300083.0791,136164166.655,152639813.402,119688519.907,121336084.582,150992248.727,2.0,542893871495000.0,2.6175466018599997e-14,20,0.00389970030317,0.125018050542,0.249546279492,0.124999250922
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,122758616.705,17658520.7084,122758616.705,135245076.443,110272156.966,111520802.94,133996430.469,2.0,311823353608000.0,2.6175466018599997e-14,9,0.00782663186354,0.25,0.250453720508,0.124999250922
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,74877550.8331,2142277.12712,74877550.8331,76392369.5169,73362732.1493,73514214.0177,76240887.6485,2.0,4589351289380.0,2.6175466018599997e-14,38,0.0155943590951,0.249963898917,0.249546279492,0.249999500615
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,18744587.216,21350128.3052,18744587.216,33841407.7198,3647766.71218,5157448.76256,32331725.6694,2.0,455827978648000.0,2.6175466018599997e-14,44,0.0155966113133,0.25,0.249546279492,0.249999500615
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,15465165.6509,20084697.0423,15465165.6509,29667191.1275,1263140.1742,2683342.72187,28246988.5799,2.0,403395055280000.0,2.6175466018599997e-14,33,0.0156510658554,0.249963898917,0.250453720508,0.249999500615
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-7097915.69016,11165800.1691,-7097915.69016,797497.326785,-14993328.7071,-14203787.4054,7956.0250907,2.0,124675093416000.0,2.6175466018599997e-14,15,0.00389970030317,0.125018050542,0.249546279492,0.124999250922
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-38526016.1566,17778738.9892,-38526016.1566,-25954549.2563,-51097483.0568,-49840336.3668,-27211695.9464,2.0,316083560048000.0,2.6175466018599997e-14,4,0.00391331593177,0.25,0.125226860254,0.124999250922
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-124834249.137,475968.352261,-124834249.137,-124497688.688,-125170809.587,-125137153.542,-124531344.733,2.0,226545872354.0,2.6175466018599997e-14,51,0.00391391230429,0.125018050542,0.125226860254,0.250000499385
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-137325406.079,13674555.4963,-137325406.079,-127656035.158,-146994777.0,-146027839.908,-128622972.25,2.0,186993468021000.0,2.6175466018599997e-14,28,0.0078255329277,0.249963898917,0.125226860254,0.249999500615
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-155720186.047,50121561.6191,-155720186.047,-120278889.942,-191161482.151,-187617352.541,-123823019.553,2.0,2512170939130000.0,2.6175466018599997e-14,39,0.0155966113133,0.25,0.249546279492,0.249999500615
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-159972854.504,63577075.9515,-159972854.504,-115017072.97,-204928636.037,-200433057.884,-119512651.124,2.0,4042044586540000.0,2.6175466018599997e-14,10,0.00391388103154,0.125018050542,0.250453720508,0.124999250922
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-160772109.505,6562374.57261,-160772109.505,-156131809.944,-165412409.066,-164948379.109,-156595839.9,2.0,43064760031200.0,2.6175466018599997e-14,50,0.00391389666791,0.125018050542,0.125226860254,0.249999500615
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-268212036.942,378274.052195,-268212036.942,-267944556.794,-268479517.089,-268452769.074,-267971304.809,2.0,143091258564.0,2.6175466018599997e-14,57,0.0156533888,0.25,0.250453720508,0.250000499385
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-293112206.787,18022478.9118,-293112206.787,-280368389.735,-305856023.839,-304581642.134,-281642771.44,2.0,324809746126000.0,2.6175466018599997e-14,34,0.0156533262635,0.25,0.250453720508,0.249999500615
