smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,657027911.594,3514366.8096,657027911.594,659512944.197,654542878.992,654791382.252,659264440.937,2.0,12350774072400.0,0.0555548058612,1.83804491715e-14,2,0.0556451612903,0.111128939092,0.000343539127373
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,578606033.87,2327932.89066,578606033.87,580252131.003,576959936.737,577124546.45,580087521.29,2.0,5419271543420.0,0.111110410739,1.83804491715e-14,101,0.0556451612903,0.055548424363,0.000343442394382
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,560230344.614,1181437.559,560230344.614,561065747.124,559394942.105,559478482.356,560982206.873,2.0,1395794705820.0,0.0555548058612,1.83804491715e-14,13,0.111290322581,0.111128939092,0.000687078254746
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,480237927.918,5178517.49661,480237927.918,483899692.757,476576163.08,476942339.564,483533516.273,2.0,26817043462700.0,0.111110410739,1.83804491715e-14,112,0.111290322581,0.111128939092,0.00137416639139
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,465632702.563,10865732.6049,465632702.563,473315935.77,457949469.355,458717792.676,472547612.449,2.0,118064145041000.0,0.111110410739,1.83804491715e-14,102,0.0556451612903,0.111128939092,0.000687083195693
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,449660137.27,11849886.0116,449660137.27,458039272.026,441281002.515,442118915.991,457201358.55,2.0,140419798488000.0,0.0555548058612,1.83804491715e-14,3,0.0556451612903,0.111128939092,0.000343539127373
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,431321824.208,12324604.1314,431321824.208,440036635.365,422607013.051,423478494.167,439165154.249,2.0,151895866995000.0,0.0555548058612,1.83804491715e-14,24,0.111290322581,0.111096848726,0.000686879849244
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,387590859.607,12174707.881,387590859.607,396199678.109,378982041.106,379842922.956,395338796.259,2.0,148223511989000.0,0.0555548058612,1.83804491715e-14,14,0.111290322581,0.111096848726,0.000686879849244
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,367451995.731,2635051.02582,367451995.731,369315258.18,365588733.282,365775059.527,369128931.935,2.0,6943493908660.0,0.111110410739,1.83804491715e-14,113,0.111290322581,0.111128939092,0.00137416639139
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,366402306.014,13237403.274,366402306.014,375762563.635,357042048.394,357978074.156,374826537.873,2.0,175228845439000.0,0.0555548058612,1.83804491715e-14,35,0.111290322581,0.111096848726,0.000686879849244
720.0,-323.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,359316488.013,1360906.14725,359316488.013,360278793.979,358354182.048,358450412.645,360182563.382,2.0,1852065541620.0,0.0555548058612,1.83804491715e-14,56,0.110483870968,0.111096848726,0.000681902459032
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,358081371.256,8948793.767,358081371.256,364409124.012,351753618.5,352386393.775,363776348.736,2.0,80080909884300.0,0.111110410739,1.83804491715e-14,123,0.111290322581,0.111128939092,0.00137416639139
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,336823239.629,8223619.24394,336823239.629,342638216.562,331008262.696,331589760.389,342056718.869,2.0,67627913469300.0,0.111110410739,1.83804491715e-14,103,0.0556451612903,0.111128939092,0.000687083195693
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,325574089.421,2713434.64458,325574089.421,327492777.458,323655401.383,323847270.187,327300908.655,2.0,7362727570400.0,0.111111298535,1.83804491715e-14,201,0.0556451612903,0.055548424363,0.00034344513856
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,311647420.422,19533862.4794,311647420.422,325459947.044,297834893.8,299216146.462,324078694.382,2.0,381571783365000.0,0.0555548058612,1.83804491715e-14,4,0.0556451612903,0.111096848726,0.000343439924622
