npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,582778417.748,1387137.87702,582778417.748,583759272.347,581797563.149,581895648.609,583661186.887,2.0,1924151489870.0,0.249990803752,0.00783304518423,0.25,1.0406674226900002e-12,0.125333333333,56
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,571994575.069,276559.168463,571994575.069,572190131.932,571799018.205,571818573.892,572170576.246,2.0,76484973660.8,0.125004598124,0.00779195328306,0.25,1.0406674226900002e-12,0.249333333333,72
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,561432803.398,528537.565633,561432803.398,561806535.895,561059070.901,561096444.151,561769162.645,2.0,279351958285.0,0.250009196248,0.0156672429649,0.25,1.0406674226900002e-12,0.250666666667,94
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,558680244.484,1083706.46462,558680244.484,559446540.674,557913948.294,557990577.913,559369911.055,2.0,1174419701460.0,0.124986205628,0.00391623444301,0.25,1.0406674226900002e-12,0.125333333333,51
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,553820854.645,439980.614609,553820854.645,554131967.922,553509741.369,553540852.697,554100856.594,2.0,193582941232.0,0.250009196248,0.00783362148244,0.25,1.0406674226900002e-12,0.125333333333,61
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,549776382.052,1266160.68354,549776382.052,550671692.858,548881071.247,548970602.327,550582161.777,2.0,1603162876540.0,0.124986205628,0.00195853269302,0.125026522385,1.0406674226900002e-12,0.125333333333,105
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,548659149.484,1748587.90162,548659149.484,549895587.847,547422711.122,547546354.958,549771944.011,2.0,3057559649680.0,0.124986205628,0.00779080681749,0.25,1.0406674226900002e-12,0.249333333333,78
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,548357619.185,104345.070632,548357619.185,548431402.292,548283836.078,548291214.389,548424023.982,2.0,10887893765.2,0.249990803752,0.0155827601005,0.25,1.0406674226900002e-12,0.249333333333,83
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,531151781.598,229767.019063,531151781.598,531314251.415,530989311.781,531005558.762,531298004.433,2.0,52792883049.1,0.125004598124,0.00783362148244,0.25,1.0406674226900002e-12,0.250666666667,99
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,522236531.368,1124591.86509,522236531.368,523031737.902,521441324.834,521520845.487,522952217.248,2.0,1264706863020.0,0.250009196248,0.00783362148244,0.25,1.0406674226900002e-12,0.125333333333,66
