smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-34990164.5264,23031569.0067,-29310085.2316,-14547974.335,-66792513.3074,-62217791.3596,-15714648.7058,4.0,530453170912000.0,0.250000944804,4.95258127397e-14,37,0.250018051845,0.249546279492,0.0155978276082
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-46242929.504,11252025.3071,-41531738.2084,-38916392.082,-62991849.5173,-59890422.7511,-39191104.0708,4.0,126608073512000.0,0.125000566882,4.95258127397e-14,48,0.250018051845,0.249546279492,0.00779891969886
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-92356713.2589,3872886.68697,-92640540.4723,-87382690.5313,-96763081.5596,-96232142.4459,-88083925.9731,4.0,14999251290100.0,0.249999055196,4.95258127397e-14,31,0.250018051845,0.125226860254,0.00782721432901
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-94353550.3483,38494700.8726,-85324587.6696,-60702174.3152,-146062851.739,-139266721.229,-62080927.2173,4.0,1481841995270000.0,0.250000944804,4.95258127397e-14,42,0.250018051845,0.249546279492,0.0155978276082
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-130225148.006,14718072.8232,-126416004.567,-118218434.231,-149850148.659,-147349852.315,-118433244.512,4.0,216621667630000.0,0.250000944804,4.95258127397e-14,36,0.250018051845,0.125226860254,0.00782727349068
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-142859853.777,16154691.3802,-137910219.882,-129326487.61,-166292487.735,-162172791.474,-130476403.534,4.0,260974053591000.0,0.125000566882,4.95258127397e-14,47,0.250018051845,0.249546279492,0.00779891969886
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-147885683.85,4166304.89148,-147047983.94,-143838194.034,-153608573.484,-152755988.415,-144188159.158,4.0,17358096448800.0,0.124998488314,4.95258127397e-14,26,0.250018051845,0.125226860254,0.00391357462558
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-202657639.773,26577590.4714,-199872825.851,-178218516.993,-232666390.397,-230357956.362,-178856062.675,4.0,706368315265000.0,0.250000944804,4.95258127397e-14,41,0.250018051845,0.125226860254,0.00782727349068
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-246584796.004,35135483.3991,-233526835.016,-221795942.626,-297489571.357,-289222904.465,-222227832.925,4.0,1234502193690000.0,0.250000944804,4.95258127397e-14,70,0.250018051845,0.125226860254,0.00782727349068
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-260903322.254,4870122.31936,-260584731.405,-255463096.227,-266980729.979,-266244329.55,-256008342.146,4.0,23718091405500.0,0.125000566882,4.95258127397e-14,46,0.250018051845,0.125226860254,0.00391363970343
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-302686806.761,24078446.4633,-297045110.738,-280064465.649,-336592539.919,-331061352.643,-282210635.31,4.0,579771584084000.0,0.250000944804,4.95258127397e-14,64,0.250018051845,0.250453720508,0.0156545469814
