npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,245503350.601,49948.1508229,245503350.601,245538669.277,245468031.925,245471563.792,245535137.409,2.0,2494817770.62,0.00195853269302,0.125333333333,0.124986205628,0.125026522385,1.0406674226900002e-12,105
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,214674168.08,1366360.80261,214674168.08,215640331.069,213708005.091,213804621.39,215543714.77,2.0,1866941842910.0,0.00391735359627,0.125333333333,0.249990803752,0.125026522385,1.0406674226900002e-12,110
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,185550965.245,225321.203762,185550965.245,185710291.396,185391639.094,185407571.709,185694358.781,2.0,50769644864.6,0.00391764180651,0.125333333333,0.250009196248,0.125026522385,1.0406674226900002e-12,115
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,158252905.97,1048848.86397,158252905.97,158994554.114,157511257.826,157585422.641,158920389.3,2.0,1100083939460.0,0.00391764180651,0.125333333333,0.250009196248,0.125026522385,1.0406674226900002e-12,120
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,141480132.347,1109365.48865,141480132.347,142264572.207,140695692.487,140774136.473,142186128.221,2.0,1230691787420.0,0.00391706538603,0.250666666667,0.124986205628,0.125026522385,1.0406674226900002e-12,104
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,137797623.838,2393870.42348,137797623.838,139490345.847,136104901.828,136274174.029,139321073.646,2.0,5730615604410.0,0.00783470719255,0.250666666667,0.249990803752,0.125026522385,1.0406674226900002e-12,109
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,130018351.16,1995164.97189,130018351.16,131429145.841,128607556.479,128748635.947,131288066.373,2.0,3980683265070.0,0.00783246888603,0.250666666667,0.124986205628,0.25,1.0406674226900002e-12,79
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,126581193.598,3692633.14953,126581193.598,129192279.538,123970107.657,124231216.251,128931170.944,2.0,13635539577000.0,0.00195882090326,0.125333333333,0.125004598124,0.125026522385,1.0406674226900002e-12,125
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,107562805.62,1209940.98284,107562805.62,108418363.094,106707248.146,106792803.894,108332807.347,2.0,1463957181950.0,0.00783528361303,0.250666666667,0.250009196248,0.125026522385,1.0406674226900002e-12,114
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,101427018.155,504700.852098,101427018.155,101783895.55,101070140.76,101105828.5,101748207.811,2.0,254722950108.0,0.0156660903685,0.250666666667,0.249990803752,0.25,1.0406674226900002e-12,84
