npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2279546912.28,52085281.1396,2279546912.28,2316376767.77,2242717056.78,2246400042.33,2312693782.22,2.0,2712876511390000.0,0.125012930589,0.124999445812,25,0.125,0.00195331838036,8.95747037061e-15
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2225673472.85,18446850.5757,2225673472.85,2238717365.98,2212629579.72,2213933969.03,2237412976.67,2.0,340286296162000.0,0.125012930589,0.124999445812,1,0.125,0.00195331838036,8.95747037061e-15
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2220792761.33,105727491.399,2220792761.33,2295553387.46,2146032135.2,2153508197.82,2288077324.84,2.0,1.11783024375e+16,0.25,0.124999445812,19,0.25,0.00781246536325,8.95747037061e-15
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2185308309.43,13172087.8193,2185308309.43,2194622382.05,2175994236.82,2176925644.08,2193690974.79,2.0,173503897519000.0,0.249974138823,0.124999445812,13,0.25,0.00781165720505,8.95747037061e-15
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2167236842.8,24451250.2718,2167236842.8,2184526487.68,2149947197.93,2151676162.42,2182797523.19,2.0,597863639855000.0,0.25,0.124999445812,7,0.25,0.00781246536325,8.95747037061e-15
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2000659508.99,97443860.2497,2000659508.99,2069562723.36,1931756294.63,1938646616.06,2062672401.93,2.0,9495305900370000.0,0.125012930589,0.124999445812,20,0.25,0.00390663676073,8.95747037061e-15
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1961984531.52,63226103.7051,1961984531.52,2006692138.2,1917276924.84,1921747685.51,2002221377.53,2.0,3997540189730000.0,0.249974138823,0.124999445812,8,0.25,0.00781165720505,8.95747037061e-15
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1952579821.64,7670540.56008,1952579821.64,1958003712.89,1947155930.4,1947698319.52,1957461323.76,2.0,58837192483800.0,0.25,0.124999445812,2,0.125,0.00390623268163,8.95747037061e-15
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1952380757.05,84447149.5476,1952380757.05,2012093909.15,1892667604.95,1898638920.16,2006122593.94,2.0,7131321066720000.0,0.25,0.124999445812,14,0.25,0.00781246536325,8.95747037061e-15
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1683775588.97,4711191.54543,1683775588.97,1687106904.46,1680444273.48,1680777405.03,1686773772.91,2.0,22195325777800.0,0.249974138823,0.124999445812,3,0.125,0.00390582860252,8.95747037061e-15
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1678691775.88,28429887.7396,1678691775.88,1698794742.29,1658588809.47,1660599106.11,1696784445.65,2.0,808258516884000.0,0.125012930589,0.124999445812,15,0.25,0.00390663676073,8.95747037061e-15
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1677394239.93,8258845.9812,1677394239.93,1683234125.93,1671554353.93,1672138342.53,1682650137.33,2.0,68208536941300.0,0.25,0.124999445812,9,0.25,0.00781246536325,8.95747037061e-15
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1588410253.7,104269447.477,1588410253.7,1662139887.08,1514680620.32,1522053583.66,1654766923.74,2.0,1.08721176772e+16,0.125012930589,0.124999445812,10,0.25,0.00390663676073,8.95747037061e-15
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1489854352.58,19120510.1898,1489854352.58,1503374595.0,1476334110.17,1477686134.41,1502022570.76,2.0,365593909917000.0,0.25,0.124999445812,4,0.125,0.00390623268163,8.95747037061e-15
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1336290498.74,64317077.6463,1336290498.74,1381769540.49,1290811457.0,1295359361.17,1377221636.32,2.0,4136686476960000.0,0.25,0.249999653633,44,0.25,0.015624978352,8.95747037061e-15
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1312757601.1,33235050.6502,1312757601.1,1336258330.79,1289256871.41,1291606944.38,1333908257.82,2.0,1104568591720000.0,0.25,0.249999653633,32,0.25,0.015624978352,8.95747037061e-15
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1308696067.38,3425901.27229,1308696067.38,1311118545.4,1306273589.36,1306515837.16,1310876297.6,2.0,11736799527500.0,0.125012930589,0.249999653633,26,0.125,0.00390664866834,8.95747037061e-15
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1308366398.83,90278693.0674,1308366398.83,1372203074.89,1244529722.76,1250913390.37,1365819407.29,2.0,8150242421960000.0,0.125012930589,0.249999653633,50,0.125,0.00390664866834,8.95747037061e-15
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1298367608.12,5048383.18461,1298367608.12,1301937354.11,1294797862.14,1295154836.74,1301580379.51,2.0,25486172778600.0,0.249974138823,0.249999653633,38,0.25,0.0156233620307,8.95747037061e-15
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1249824459.0,48594954.4854,1249824459.0,1284186280.84,1215462637.15,1218898819.33,1280750098.66,2.0,2361469601440000.0,0.125012930589,0.124999445812,5,0.125,0.00195331838036,8.95747037061e-15
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1199119099.82,28678634.5649,1199119099.82,1219397956.79,1178840242.84,1180868128.54,1217370071.09,2.0,822464080505000.0,0.25,0.249999653633,27,0.125,0.00781248917602,8.95747037061e-15
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1183961814.47,48326028.0192,1183961814.47,1218133476.59,1149790152.35,1153207318.56,1214716310.38,2.0,2335404984110000.0,0.25,0.249999653633,39,0.25,0.015624978352,8.95747037061e-15
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1122557361.56,70083361.9406,1122557361.56,1172113782.03,1073000941.08,1077956583.13,1167158139.99,2.0,4911677620900000.0,0.125012930589,0.249999653633,45,0.25,0.00781329733668,8.95747037061e-15
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1115597907.87,49436339.7797,1115597907.87,1150554678.97,1080641136.78,1084136813.89,1147059001.86,2.0,2443951690810000.0,0.249974138823,0.249999653633,33,0.25,0.0156233620307,8.95747037061e-15
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,942352009.343,5115281.82527,942352009.343,945969059.81,938734958.877,939096663.924,945607354.763,2.0,26166108151900.0,0.249974138823,0.249999653633,28,0.125,0.00781168101535,8.95747037061e-15
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,907102355.803,13166669.9719,907102355.803,916412597.425,897792114.18,898723138.342,915481573.263,2.0,173361198148000.0,0.125012930589,0.249999653633,40,0.25,0.00781329733668,8.95747037061e-15
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,881001655.915,55146687.8289,881001655.915,919996252.839,842007058.991,845906518.684,916096793.146,2.0,3041157178500000.0,0.25,0.249999653633,34,0.25,0.015624978352,8.95747037061e-15
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,682743045.875,26367791.5997,682743045.875,701387890.12,664098201.63,665962686.055,699523405.696,2.0,695260433844000.0,0.25,0.249999653633,29,0.125,0.00781248917602,8.95747037061e-15
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,628251372.364,45923559.2421,628251372.364,660724232.521,595778512.208,599025798.224,657476946.505,2.0,2108973293470000.0,0.125012930589,0.249999653633,35,0.25,0.00781329733668,8.95747037061e-15
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,421989525.047,22135571.6389,421989525.047,437641737.858,406337312.235,407902533.516,436076516.577,2.0,489983531779000.0,0.125012930589,0.249999653633,30,0.125,0.00390664866834,8.95747037061e-15
