npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1435793500.73,91867418.122,1435793500.73,1500753575.05,1370833426.4,1377329433.84,1494257567.62,2.0,8439622512410000.0,0.125,0.00390623362193,8.40946932138e-15,0.25,0.124999475902,104
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1325073092.68,42037416.8856,1325073092.68,1354798035.22,1295348150.13,1298320644.39,1351825540.97,2.0,1767144418420000.0,0.125,0.00390623362193,8.40946932138e-15,0.25,0.124999475902,103
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1008393375.68,44279843.8096,1008393375.68,1039703953.51,977082797.856,980213855.639,1036572895.73,2.0,1960704567810000.0,0.125,0.00390623362193,8.40946932138e-15,0.25,0.124999475902,102
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,982043986.763,30942982.3737,982043986.763,1003923979.43,960163994.097,962351993.363,1001735980.16,2.0,957468158179000.0,0.125,0.00390624524508,8.40946932138e-15,0.125,0.249999695685,110
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,904327755.402,23687856.8561,904327755.402,921077599.617,887577911.187,889252895.609,919402615.195,2.0,561114562435000.0,0.125,0.00195311681096,8.40946932138e-15,0.125,0.124999475902,101
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,715510987.607,63694911.0914,715510987.607,760550091.167,670471884.047,674975794.403,756046180.811,2.0,4057041698940000.0,0.125,0.00781249049015,8.40946932138e-15,0.25,0.249999695685,109
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,687802431.605,45504555.9798,687802431.605,719979011.714,655625851.497,658843509.508,716761353.703,2.0,2070664614910000.0,0.25,0.00781246724386,8.40946932138e-15,0.25,0.124999475902,78
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,613720251.486,133625690.267,613720251.486,708207883.214,519232619.757,528681382.93,698759120.042,2.0,1.78558250994e+16,0.125,0.00781249049015,8.40946932138e-15,0.25,0.249999695685,108
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,459091723.59,17513767.0833,459091723.59,471475827.059,446707620.121,447946030.468,470237416.712,2.0,306732037447000.0,0.25,0.00781246724386,8.40946932138e-15,0.25,0.124999475902,77
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,343671895.913,3649410.92935,343671895.913,346252419.129,341091372.698,341349425.02,345994366.807,2.0,13318200131300.0,0.125,0.00781249049015,8.40946932138e-15,0.25,0.249999695685,107
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,225716245.703,22123080.9238,225716245.703,241359626.245,210072865.161,211637203.216,239795288.191,2.0,489430709562000.0,0.25,0.0156249809803,8.40946932138e-15,0.25,0.249999695685,84
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,206314285.309,52165179.3925,206314285.309,243200637.399,169427933.218,173116568.427,239512002.19,2.0,2721205941060000.0,0.25,0.00390623362193,8.40946932138e-15,0.125,0.124999475902,76
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,190148610.037,66585976.3112,190148610.037,237232005.419,143065214.656,147773554.194,232523665.881,2.0,4433692241310000.0,0.125,0.00390625581157,8.40946932138e-15,0.125,0.250000371941,115
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,180592814.611,14967915.7513,180592814.611,191176729.339,170008899.883,171067291.356,190118337.866,2.0,224038501937000.0,0.125,0.00390624524508,8.40946932138e-15,0.125,0.249999695685,106
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,78408905.2099,91083609.5721,78408905.2099,142814743.193,14003067.2266,20443651.0249,136374159.395,2.0,8296223932680000.0,0.25,0.0156249809803,8.40946932138e-15,0.25,0.249999695685,83
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-50855365.9914,32364729.6072,-50855365.9914,-27970046.2148,-73740685.7679,-71452153.7902,-30258578.1925,2.0,1047475722550000.0,0.125,0.00781251162315,8.40946932138e-15,0.25,0.250000371941,114
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-87280710.5884,50577872.095,-87280710.5884,-51516754.252,-123044666.925,-119468271.291,-55093149.8857,2.0,2558121145660000.0,0.25,0.00781246724386,8.40946932138e-15,0.25,0.124999475902,52
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-143254007.75,91039614.7986,-143254007.75,-78879278.7691,-207628736.73,-201191263.832,-85316751.6672,2.0,8288211462680000.0,0.25,0.0156249809803,8.40946932138e-15,0.25,0.249999695685,82
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-157641710.362,15511061.5767,-157641710.362,-146673733.537,-168609687.186,-167512889.503,-147770531.22,2.0,240593031236000.0,0.125,0.00781251162315,8.40946932138e-15,0.25,0.250000371941,113
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-259461144.943,34531317.0038,-259461144.943,-235043816.526,-283878473.359,-281436740.518,-237485549.368,2.0,1192411854020000.0,0.25,0.00390623362193,8.40946932138e-15,0.125,0.124999475902,51
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-340308314.782,34555645.2422,-340308314.782,-315873783.703,-364742845.861,-362299392.753,-318317236.811,2.0,1194092618100000.0,0.25,0.00781249049015,8.40946932138e-15,0.125,0.249999695685,81
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-369866873.759,26872917.3401,-369866873.759,-350864851.677,-388868895.84,-386968693.632,-352765053.885,2.0,722153686366000.0,0.125,0.00781251162315,8.40946932138e-15,0.25,0.250000371941,112
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-560574739.146,82433463.1949,-560574739.146,-502285478.325,-618863999.968,-613035073.886,-508114404.407,2.0,6795275854310000.0,0.25,0.0156250232463,8.40946932138e-15,0.25,0.250000371941,89
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-568603143.081,85969462.6624,-568603143.081,-507813553.058,-629392733.105,-623313774.102,-513892512.06,2.0,7390748510470000.0,0.125,0.00390625581157,8.40946932138e-15,0.125,0.250000371941,111
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-603895298.75,42168127.4756,-603895298.75,-574077929.862,-633712667.638,-630730930.749,-577059666.751,2.0,1778150974800000.0,0.25,0.0156249809803,8.40946932138e-15,0.25,0.249999695685,58
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-630510016.433,47221614.6385,-630510016.433,-597119292.504,-663900740.362,-660561667.969,-600458364.896,2.0,2229880889070000.0,0.125,0.00390625475492,8.40946932138e-15,0.125,0.250000304315,120
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-709224109.394,54270051.3766,-709224109.394,-670849388.05,-747598830.738,-743761358.604,-674686860.185,2.0,2945238476410000.0,0.25,0.0156249809803,8.40946932138e-15,0.25,0.249999695685,57
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-737051977.452,19728393.4999,-737051977.452,-723101896.627,-751002058.278,-749607050.195,-724496904.709,2.0,389209510087000.0,0.125,0.00781250950985,8.40946932138e-15,0.25,0.250000304315,119
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-738128979.1,20423853.3627,-738128979.1,-723687133.889,-752570824.31,-751126639.789,-725131318.41,2.0,417133786182000.0,0.25,0.0156250232463,8.40946932138e-15,0.25,0.250000371941,88
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-826831113.707,13624962.9459,-826831113.707,-817196810.015,-836465417.4,-835501987.03,-818160240.384,2.0,185639615276000.0,0.25,0.00390623362193,8.40946932138e-15,0.125,0.124999475902,26
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-856627960.54,112488762.573,-856627960.54,-777086393.717,-936169527.362,-928215370.68,-785040550.399,2.0,1.26537217052e+16,0.25,0.00781249049015,8.40946932138e-15,0.125,0.249999695685,56
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-882410301.952,44700361.2435,-882410301.952,-850802373.395,-914018230.509,-910857437.653,-853963166.251,2.0,1998122295300000.0,0.25,0.0156250232463,8.40946932138e-15,0.25,0.250000371941,87
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-942300588.157,130453722.731,-942300588.157,-850055876.183,-1034545300.13,-1025320828.93,-859280347.38,2.0,1.70181737743e+16,0.125,0.00781250950985,8.40946932138e-15,0.25,0.250000304315,118
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1082033751.51,11235433.9194,-1082033751.51,-1074089100.0,-1089978403.03,-1089183937.88,-1074883565.15,2.0,126234975357000.0,0.25,0.00781251162315,8.40946932138e-15,0.125,0.250000371941,86
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1177334117.59,116556431.825,-1177334117.59,-1094916274.25,-1259751960.92,-1251510176.59,-1103158058.59,2.0,1.35854017997e+16,0.125,0.00781250950985,8.40946932138e-15,0.25,0.250000304315,117
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1267257838.51,104994519.486,-1267257838.51,-1193015501.79,-1341500175.23,-1334075941.55,-1200439735.47,2.0,1.1023849122e+16,0.25,0.0156250232463,8.40946932138e-15,0.25,0.250000371941,63
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1298011872.41,7596038.45992,-1298011872.41,-1292640662.11,-1303383082.72,-1302845961.69,-1293177783.14,2.0,57699800284700.0,0.25,0.0156250190197,8.40946932138e-15,0.25,0.250000304315,94
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1312675067.9,10688290.3268,-1312675067.9,-1305117305.33,-1320232830.47,-1319477054.21,-1305873081.58,2.0,114239550111000.0,0.125,0.00195312737746,8.40946932138e-15,0.125,0.125000152158,125
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1315218981.69,13024910.9966,-1315218981.69,-1306008978.8,-1324428984.58,-1323507984.29,-1306929979.09,2.0,169648306470000.0,0.25,0.0156249809803,8.40946932138e-15,0.25,0.249999695685,32
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1352468676.68,3333006.53276,-1352468676.68,-1350111885.16,-1354825468.2,-1354589789.05,-1350347564.31,2.0,11108932547400.0,0.25,0.0156250232463,8.40946932138e-15,0.25,0.250000371941,62
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1412658615.52,59536924.7353,-1412658615.52,-1370559652.31,-1454757578.73,-1450547682.41,-1374769548.63,2.0,3544645406940000.0,0.25,0.00781249049015,8.40946932138e-15,0.125,0.249999695685,31
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1419770639.81,57294828.8852,-1419770639.81,-1379257077.78,-1460284201.84,-1456232845.64,-1383308433.98,2.0,3282697416980000.0,0.125,0.00390625475492,8.40946932138e-15,0.125,0.250000304315,116
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1458151671.71,17402502.3853,-1458151671.71,-1445846244.26,-1470457099.16,-1469226556.41,-1447076787.01,2.0,302847089271000.0,0.25,0.0156250190197,8.40946932138e-15,0.25,0.250000304315,93
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1542009825.96,7710917.81359,-1542009825.96,-1536557383.68,-1547462268.23,-1546917024.01,-1537102627.91,2.0,59458253527900.0,0.25,0.00781251162315,8.40946932138e-15,0.125,0.250000371941,61
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1599174577.41,39362570.2785,-1599174577.41,-1571341037.04,-1627008117.78,-1624224763.74,-1574124391.08,2.0,1549411938930000.0,0.125,0.00390625475492,8.40946932138e-15,0.25,0.125000152158,124
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1677650398.71,51838207.4407,-1677650398.71,-1640995250.7,-1714305546.71,-1710640031.91,-1644660765.5,2.0,2687199750670000.0,0.125,0.00390625475492,8.40946932138e-15,0.25,0.125000152158,123
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1684209892.56,19747618.6882,-1684209892.56,-1670246217.48,-1698173567.65,-1696777200.14,-1671642584.99,2.0,389968443855000.0,0.25,0.0156250190197,8.40946932138e-15,0.25,0.250000304315,92
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1874808669.91,42440152.3606,-1874808669.91,-1844798950.38,-1904818389.44,-1901817417.48,-1847799922.33,2.0,1801166532390000.0,0.25,0.00781250950985,8.40946932138e-15,0.125,0.250000304315,91
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1970154835.21,46299676.0507,-1970154835.21,-1937416020.3,-2002893650.11,-1999619768.62,-1940689901.79,2.0,2143660002400000.0,0.125,0.00390625475492,8.40946932138e-15,0.25,0.125000152158,122
