smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,415047122.044,114697.313424,415047122.044,415128225.292,414966018.796,414974129.12,415120114.967,2.0,13155473706.8,0.125226860254,0.125018050542,26,1.83230531396e-13,0.00391384975812,0.249996504259
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,340059273.945,659669.428644,340059273.945,340525730.671,339592817.219,339639462.891,340479084.999,2.0,435163755088.0,0.125226860254,0.125018050542,51,1.83230531396e-13,0.00391395921408,0.250003495741
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,263497631.825,588440.891868,263497631.825,263913722.37,263081541.28,263123150.334,263872113.315,2.0,346262683223.0,0.125226860254,0.125018050542,76,1.83230531396e-13,0.00391395921408,0.250003495741
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,199935264.044,1271648.76586,199935264.044,200834455.51,199036072.579,199125991.725,200744536.363,2.0,1617090583720.0,0.250453720508,0.25,32,1.83230531396e-13,0.0156531386514,0.249996504259
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,187600081.216,17540.2047658,187600081.216,187612484.014,187587678.418,187588918.698,187611243.734,2.0,307658783.227,0.125226860254,0.125018050542,101,1.83230531396e-13,0.00195697413424,0.125001398296
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,122167224.666,1153380.88148,122167224.666,122982788.108,121351661.223,121433217.567,122901231.764,2.0,1330287457770.0,0.250453720508,0.25,57,1.83230531396e-13,0.0156535764121,0.250003495741
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,120926449.471,2384095.8885,120926449.471,122612259.841,119240639.101,119409220.138,122443678.804,2.0,5683913205570.0,0.125226860254,0.25,2,1.83230531396e-13,0.00391318616671,0.124995105963
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,115575088.081,35140.215505,115575088.081,115599935.966,115550240.197,115552724.985,115597451.178,2.0,1234834745.74,0.125226860254,0.25,27,1.83230531396e-13,0.00782656932572,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,46631491.4621,1211169.87332,46631491.4621,47487917.8927,45775065.0315,45860707.6746,47402275.2497,2.0,1466932462050.0,0.250453720508,0.25,82,1.83230531396e-13,0.0156535764121,0.250003495741
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,37682314.3302,1264482.52229,37682314.3302,38576438.4965,36788190.164,36877602.5807,38487026.0798,2.0,1598916049170.0,0.125226860254,0.25,52,1.83230531396e-13,0.00782678820604,0.250003495741
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-10899098.7151,3064458.83245,-10899098.7151,-8732199.09399,-13065998.3362,-12849308.3741,-8948889.0561,2.0,9390907935780.0,0.249546279492,0.249963898917,38,1.83230531396e-13,0.0155941721897,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-31591111.1329,2535534.71449,-31591111.1329,-29798217.3423,-33384004.9234,-33204715.5444,-29977506.7214,2.0,6428936288400.0,0.250453720508,0.25,107,1.83230531396e-13,0.00782676631801,0.125001398296
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-37213629.1608,2343467.56655,-37213629.1608,-35556547.3531,-38870710.9686,-38705002.7879,-35722255.5338,2.0,5491840235460.0,0.125226860254,0.25,77,1.83230531396e-13,0.00782678820604,0.250003495741
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-87053630.5712,5075201.40335,-87053630.5712,-83464921.243,-90642339.8994,-90283468.9666,-83823792.1759,2.0,25757669284500.0,0.249546279492,0.249963898917,63,1.83230531396e-13,0.0155946083013,0.250003495741
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-88425572.3441,2070156.98757,-88425572.3441,-86961750.3001,-89889394.3881,-89743012.1837,-87108132.5045,2.0,4285549953170.0,0.250453720508,0.249963898917,8,1.83230531396e-13,0.00782524217136,0.124995105963
