smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,681836713.219,209747.800136,681836713.219,681985027.311,681688399.127,681703230.536,681970195.901,2.0,43994139661.8,26,0.125018050542,3.66466187075e-13,0.00391380597435,0.249993707579,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,645003878.521,270327.116887,645003878.521,645195028.658,644812728.383,644831843.397,645175913.645,2.0,73076750124.6,51,0.125018050542,3.66466187075e-13,0.00391400299785,0.250006292421,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,608451126.318,26688.7887543,608451126.318,608469998.141,608432254.494,608434141.677,608468110.959,2.0,712291445.171,76,0.125018050542,3.66466187075e-13,0.00391400299785,0.250006292421,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,571701658.708,92913.9586693,571701658.708,571767358.798,571635958.617,571642528.626,571760788.789,2.0,8633003715.61,101,0.125018050542,3.66466187075e-13,0.00195701244467,0.125003845369,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,423275837.509,121971.074446,423275837.509,423362084.083,423189590.935,423198215.593,423353459.426,2.0,14876943001.5,32,0.25,3.66466187075e-13,0.0156529635417,0.249993707579,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,386457180.695,85673.3275948,386457180.695,386517760.886,386396600.504,386402658.523,386511702.867,2.0,7339919061.16,57,0.25,3.66466187075e-13,0.0156537515218,0.250006292421,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,349646716.254,775154.764251,349646716.254,350194833.444,349098599.064,349153410.783,350140021.725,2.0,600864908541.0,82,0.25,3.66466187075e-13,0.0156537515218,0.250006292421,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,335480413.445,724111.13589,335480413.445,335992437.339,334968389.55,335019591.94,335941234.95,2.0,524336937120.0,27,0.25,3.66466187075e-13,0.00782648177084,0.249993707579,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,311958809.091,134028.518246,311958809.091,312053581.565,311864036.616,311873513.864,312044104.317,2.0,17963643703.2,107,0.25,3.66466187075e-13,0.0078269195376,0.125003845369,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,300633853.56,41050.5252947,300633853.56,300662880.665,300604826.456,300607729.166,300659977.955,2.0,1685145626.97,2,0.25,3.66466187075e-13,0.00391302200204,0.12498986221,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,297413439.059,675585.776207,297413439.059,297891150.342,296935727.775,296983498.903,297843379.214,2.0,456416141013.0,52,0.25,3.66466187075e-13,0.00782687576092,0.250006292421,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,258905096.123,1034439.39209,258905096.123,259636555.232,258173637.014,258246782.925,259563409.321,2.0,1070064855920.0,77,0.25,3.66466187075e-13,0.00782687576092,0.250006292421,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,223901823.79,248650.919509,223901823.79,224077646.541,223726001.039,223743583.314,224060064.266,2.0,61827279772.9,102,0.25,3.66466187075e-13,0.0039134597688,0.125003845369,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,173804529.677,1696356.96196,173804529.677,175004035.188,172605024.166,172724974.717,174884084.637,2.0,2877626942380.0,38,0.249963898917,3.66466187075e-13,0.0155939977396,0.249993707579,0.249546279492
