smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,471783290.798,10013712.3067,471783290.798,478864054.674,464702526.921,465410603.308,478155978.287,2.0,100274434161000.0,0.124999250922,0.25,0.125226860254,0.00391331593177,2,2.6175466018599997e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,327332641.29,1875893.30682,327332641.29,328659098.168,326006184.412,326138830.1,328526452.48,2.0,3518975698570.0,0.249999500615,0.125018050542,0.125226860254,0.00391389666791,26,2.6175466018599997e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,270531235.522,24722991.1971,270531235.522,288013030.249,253049440.796,254797620.268,286264850.776,2.0,611226293729000.0,0.124999250922,0.249963898917,0.250453720508,0.00782550166399,8,2.6175466018599997e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,244684848.51,51576876.8654,244684848.51,281155207.894,208214489.126,211861525.064,277508171.955,2.0,2660174227180000.0,0.124999250922,0.25,0.249546279492,0.00779827450171,19,2.6175466018599997e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,135678781.254,70537502.511,135678781.254,185556327.607,85801234.9002,90788989.5356,180568572.972,2.0,4975539260490000.0,0.124999250922,0.125018050542,0.125226860254,0.00195694051577,25,2.6175466018599997e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,135077399.122,15027395.8926,135077399.122,145703372.662,124451425.583,125514022.937,144640775.308,2.0,225822627314000.0,0.124999250922,0.249963898917,0.125226860254,0.00391275083199,3,2.6175466018599997e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,127944536.049,2395184.85383,127944536.049,129638187.502,126250884.597,126420249.742,129468822.356,2.0,5736910484010.0,0.249999500615,0.25,0.250453720508,0.0156533262635,32,2.6175466018599997e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,102720909.729,24897615.231,102720909.729,120326182.295,85115637.1642,86876164.4207,118565655.038,2.0,619891244191000.0,0.124999250922,0.25,0.249546279492,0.00779827450171,14,2.6175466018599997e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,67901572.7545,20648300.5463,67901572.7545,82502126.0907,53301019.4182,54761074.7518,81042070.7571,2.0,426352315450000.0,0.249999500615,0.25,0.125226860254,0.00782666313177,27,2.6175466018599997e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-35960353.8078,56382265.3718,-35960353.8078,3907928.37529,-75828635.9908,-71841807.7725,-78899.8430172,2.0,3178959848450000.0,0.124999250922,0.125018050542,0.249546279492,0.00389970030317,20,2.6175466018599997e-14
