npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,55012.0,ref,braidwood,illinois,covid,2847826352.94,1712544.51704,2847149257.89,2850354368.55,2846652527.44,2846691416.9,2849909222.06,4.0,2932808722860.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,137,0.10345395413899999
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,44010.0,ref,braidwood,illinois,covid,2847731841.6,1553432.5792,2847085383.09,2850043163.01,2846713437.19,2846752699.47,2849616025.63,4.0,2413152778130.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,128,0.10345395413899999
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88020.0,ref,braidwood,illinois,covid,2847034716.98,1778911.4868299998,2847612261.7,2848476295.19,2844438049.32,2844906221.44,2848354649.9,4.0,3164526077990.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,164,0.10345395413899999
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,66015.0,ref,braidwood,illinois,covid,2846283818.59,2679611.28285,2846815698.57,2848590767.87,2842913109.36,2843278773.05,2848544232.18,4.0,7180316627200.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,146,0.10345395413899999
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,77017.0,ref,braidwood,illinois,covid,2845554138.79,4423584.17689,2843376038.46,2852188963.21,2843275515.02,2843284757.58,2850872860.46,4.0,19568096970000.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,155,0.10345395413899999
1193.0,-885.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,99022.0,ref,braidwood,illinois,covid,2842624216.33,2696302.8450700003,2842796396.71,2845583254.37,2839320817.55,2839689091.74,2845318288.4,4.0,7270049032340.0,4.61981158295e-13,0.000638643353803,0.0555589221509,0.111111111111,173,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,44010.0,ref,braidwood,illinois,covid,2781642536.24,2745932.98308,2781939579.97,2784076185.13,2778614799.89,2778825881.59,2784043329.66,4.0,7540147947560.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,127,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22005.0,ref,braidwood,illinois,covid,2779886644.73,563606.729404,2779913378.62,2780515146.3,2779204675.4,2779278908.96,2780456953.07,4.0,317652545430.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,109,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,77017.0,ref,braidwood,illinois,covid,2778831257.34,2770704.26645,2778529779.27,2782321631.26,2775943839.57,2776169871.67,2781914712.32,4.0,7676802132130.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,154,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33007.0,ref,braidwood,illinois,covid,2778158138.46,1547717.61249,2777727439.14,2780368776.05,2776808899.51,2776911836.3,2780007419.67,4.0,2395429808000.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,118,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,55012.0,ref,braidwood,illinois,covid,2778087427.0,1462532.80766,2778240548.73,2779702538.81,2776166071.73,2776449196.51,2779511287.06,4.0,2139002213470.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,136,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,66015.0,ref,braidwood,illinois,covid,2777445267.69,1206641.42665,2777798768.5,2778481978.16,2775701555.59,2776010601.27,2778385032.97,4.0,1455983532520.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,145,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88020.0,ref,braidwood,illinois,covid,2775839811.83,2945407.83186,2776230375.99,2778742703.47,2772155791.86,2772562340.28,2778570493.56,4.0,8675427295980.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,163,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11002.0,ref,braidwood,illinois,covid,2773918097.96,3345204.39572,2772980387.44,2778714588.64,2770997028.3,2771239051.99,2777909938.64,4.0,11190392449200.0,4.61981158295e-13,0.000638382138107,0.111072395265,0.0555555555556,100,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,99022.0,ref,braidwood,illinois,covid,2769970221.2,1006232.00655,2769593652.5,2771434774.05,2769258805.75,2769275013.24,2771192625.34,4.0,1012502851000.0,4.61981158295e-13,0.000319321676902,0.0555589221509,0.0555555555556,172,0.10345395413899999
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,braidwood,illinois,covid,2753882760.99,2046220.6709599998,2753791731.62,2756170858.65,2751776722.07,2751899170.68,2755993792.41,4.0,4187019034280.0,4.61981158295e-13,0.000319031437239,0.0555084232214,0.0555555555556,91,0.10345395413899999
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11002.0,ref,braidwood,illinois,covid,2664357964.22,2169619.45709,2664475026.09,2666877943.76,2661603860.95,2661992247.81,2666559794.02,4.0,4707248588580.0,4.61981158295e-13,0.00127676427621,0.111072395265,0.111111111111,192,0.10345395413899999
