smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,47251.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,946115690.251,2601.7897205,946115690.251,946117529.994,946113850.508,946114034.482,946117346.02,2.0,6769309.74969,11,0.000343437526634,0.111101704879,0.0556451612903,0.0555519897304,2.43442575998e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,925189469.646,10056.1924747,925189469.646,925196580.448,925182358.844,925183069.924,925195869.368,2.0,101127007.087,21,0.000343473872306,0.111113462669,0.0556451612903,0.0555519897304,2.43442575998e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,904281408.138,27362.0427479,904281408.138,904300756.024,904262060.252,904263995.041,904298821.236,2.0,748681383.339,31,0.000343473872306,0.111113462669,0.0556451612903,0.0555519897304,2.43442575998e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,883362789.192,12256.5917453,883362789.192,883371455.911,883354122.473,883354989.145,883370589.239,2.0,150224041.212,41,0.000343477506874,0.111114638448,0.0556451612903,0.0555519897304,2.43442575998e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,236256.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,862408193.554,1830.03403429,862408193.554,862409487.584,862406899.525,862407028.928,862409358.181,2.0,3349024.56667,51,0.000343477506874,0.111114638448,0.0556451612903,0.0555519897304,2.43442575998e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,841504988.029,2741.31823842,841504988.029,841506926.434,841503049.625,841503243.465,841506732.593,2.0,7514825.68429,61,0.000343473872306,0.111113462669,0.0556451612903,0.0555519897304,2.43442575998e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,820600970.346,48902.9351347,820600970.346,820635549.943,820566390.749,820569848.709,820632091.983,2.0,2391497064.79,71,0.000343473872306,0.111113462669,0.0556451612903,0.0555519897304,2.43442575998e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,799689683.676,3700.25800512,799689683.676,799692300.153,799687067.198,799687328.846,799692038.505,2.0,13691909.3044,81,0.000343473872306,0.111113462669,0.0556451612903,0.0555519897304,2.43442575998e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,778789766.311,95247.338807,778789766.311,778857116.35,778722416.272,778729151.276,778850381.346,2.0,9072055549.81,91,0.000171736936153,0.0555567313345,0.0556451612903,0.0555519897304,2.43442575998e-13
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,47251.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,717595291.759,6897.41510681,717595291.759,717600168.968,717590414.55,717590902.271,717599681.247,2.0,47574335.1557,112,0.00137375010654,0.111101704879,0.111290322581,0.111103979461,2.43442575998e-13
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,696638907.852,21678.4112546,696638907.852,696654236.804,696623578.901,696625111.796,696652703.909,2.0,469953514.523,122,0.00137389548923,0.111113462669,0.111290322581,0.111103979461,2.43442575998e-13
