npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1370664042.49,344658.377104,1370664042.49,1370907752.76,1370420332.21,1370444703.24,1370883381.73,2.0,118789396908.0,0.00195638614221,1,2.85069050095e-13,0.125210084034,0.125008550516,0.12499008153
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1330851984.98,467890.221272,1330851984.98,1331182833.33,1330521136.63,1330554221.46,1331149748.49,2.0,218921259162.0,0.00391298574928,26,2.85069050095e-13,0.125210084034,0.125008550516,0.249993800956
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1286493068.15,179454.162316,1286493068.15,1286619961.41,1286366174.9,1286378864.22,1286607272.08,2.0,32203796372.6,0.00391317980826,51,2.85069050095e-13,0.125210084034,0.125008550516,0.250006199044
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1242484404.32,490755.862234,1242484404.32,1242831421.12,1242137387.52,1242172089.2,1242796719.44,2.0,240841316317.0,0.00391317980826,76,2.85069050095e-13,0.125210084034,0.125008550516,0.250006199044
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1217829972.75,2121295.28069,1217829972.75,1219329955.03,1216329990.48,1216479988.7,1219179956.8,2.0,4499893667880.0,0.00779928435215,7,2.85069050095e-13,0.249579831933,0.250017101033,0.12499008153
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1198526772.29,225559.00306,1198526772.29,1198686266.59,1198367277.99,1198383227.42,1198670317.16,2.0,50876863861.3,0.00195659960708,101,2.85069050095e-13,0.125210084034,0.125008550516,0.125003719426
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1178085879.63,109451.264416,1178085879.63,1178163273.36,1178008485.9,1178016225.27,1178155533.99,2.0,11979579282.3,0.0155994196985,32,2.85069050095e-13,0.249579831933,0.250017101033,0.249993800956
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1138760028.03,802921.952908,1138760028.03,1139327779.59,1138192276.47,1138249051.63,1139271004.43,2.0,644683662462.0,0.0156001933296,57,2.85069050095e-13,0.249579831933,0.250017101033,0.250006199044
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1090361429.12,2407147.71295,1090361429.12,1092063539.6,1088659318.65,1088829529.7,1091893328.55,2.0,5794360111970.0,0.0156001933296,82,2.85069050095e-13,0.249579831933,0.250017101033,0.250006199044
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1089065164.89,1217536.95686,1089065164.89,1089926093.53,1088204236.25,1088290329.12,1089840000.67,2.0,1482396241310.0,0.00782597149857,27,2.85069050095e-13,0.125210084034,0.250017101033,0.249993800956
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1068728087.9,8962343.95398,1068728087.9,1075065422.09,1062390753.72,1063024487.13,1074431688.67,2.0,80323609149400.0,0.00779928435215,13,2.85069050095e-13,0.249579831933,0.250017101033,0.12499008153
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1063861954.58,505058.321537,1063861954.58,1064219084.75,1063504824.42,1063540537.43,1064183371.73,2.0,255083908154.0,0.00391277228441,2,2.85069050095e-13,0.125210084034,0.250017101033,0.12499008153
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1041714334.81,1322615.27237,1041714334.81,1042649565.04,1040779104.58,1040872627.61,1042556042.02,2.0,1749311158690.0,0.00782635961652,52,2.85069050095e-13,0.125210084034,0.250017101033,0.250006199044
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1040550842.18,8005080.12591,1040550842.18,1046211288.62,1034890395.74,1035456440.38,1045645243.98,2.0,64081307822200.0,0.00780013534634,107,2.85069050095e-13,0.249579831933,0.250017101033,0.125003719426
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1039924318.99,4489934.64366,1039924318.99,1043099182.22,1036749455.75,1037066942.08,1042781695.9,2.0,20159513104300.0,0.0155994196985,38,2.85069050095e-13,0.249579831933,0.250017101033,0.249993800956
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,986462689.122,9931249.11515,986462689.122,993485142.717,979440235.527,980142480.886,992782897.357,2.0,98629708987100.0,0.00782635961652,77,2.85069050095e-13,0.125210084034,0.250017101033,0.250006199044
