npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
769,-605,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1415522066,7025099.849,1415928116,1421621257,1408610774,1408868106,1421607555,4,4.94E+13,223,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-680,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1397300953,2014871.53,1397655573,1399331982,1394560682,1394967459,1399137978,4,4.06E+12,132,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-605,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1396435763,1553842.841,1396255235,1398445225,1394787358,1394938562,1398185704,4,2.41E+12,313,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-531,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1379417167,11822139.74,1380764901,1389544547,1366594321,1367426655,1389520853,4,1.40E+14,404,0.110612855,0.111111111,0.055554107,2.79E-14,0.000682778
769,-754,-18951,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1414973,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1375708645,1620337.338,1376155997,1377136526,1373386059,1373779560,1377011436,4,2.63E+12,41,0.055306428,0.055555556,0.111111355,2.79E-14,0.000341398
769,-680,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1374126945,1800433.955,1373982726,1376422590,1372119739,1372333441,1376122356,4,3.24E+12,222,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-754,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1351485838,2238654.149,1351471388,1353492660,1349507916,1349519919,1353471987,4,5.01E+12,131,0.055306428,0.111111111,0.111111355,2.79E-14,0.000682797
769,-754,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1348136691,7580605.603,1347875082,1355610631,1341185968,1341314130,1355325504,4,5.75E+13,301,0.055306428,0.111111111,0.055554107,2.79E-14,0.000341389
769,-680,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1335656172,9880318.852,1334288910,1348917115,1325129753,1326337094,1346889418,4,9.76E+13,312,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-754,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1315381315,9198528.954,1317187396,1324545301,1302605165,1304757919,1323476196,4,8.46E+13,221,0.055306428,0.111111111,0.111111512,2.79E-14,0.000682798
769,-457,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1311429556,14510641.69,1310489385,1328841504,1295897951,1297105905,1327069448,4,2.11E+14,415,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-605,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1307448484,6399150.483,1309216856,1312631694,1298728531,1299909338,1312511911,4,4.09E+13,403,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-531,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1289698569,15061526.51,1290474485,1305052447,1272792857,1274112716,1304198137,4,2.27E+14,324,0.110612855,0.111111111,0.111111512,2.79E-14,0.001365596
769,-754,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1282402947,15755184.99,1289486752,1291800461,1258837824,1263347144,1291541424,4,2.48E+14,311,0.055306428,0.111111111,0.111109942,2.79E-14,0.000682788
769,-605,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1276937826,4392391.374,1277759150,1280761920,1271471084,1272046546,1280679252,4,1.93E+13,233,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-531,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1275747540,8365478.854,1277546631,1283391812,1264505088,1266003357,1282972997,4,7.00E+13,414,0.110612855,0.111111111,0.111109942,2.79E-14,0.001365576
769,-605,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1256818621,1962275.269,1256313791,1259392572,1255254329,1255264391,1259079612,4,3.85E+12,323,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-457,-9611,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1255640453,19847166.51,1255351680,1274176596,1237681858,1237924227,1273760963,4,3.94E+14,505,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-680,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1414973,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1253768009,5423871.638,1256075364,1257245235,1245676076,1247215595,1257090128,4,2.94E+13,142,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-754,-18951,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1768716,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1234046319,967357.3513,1234364730,1234823724,1232632091,1232890607,1234756254,4,9.3578E+11,51,0.055306428,0.055555556,0.111111512,2.79E-14,0.000341399
769,-680,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1224930861,7389409.865,1226215529,1232435176,1214857212,1216386152,1231677036,4,5.46E+13,232,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-680,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1219378646,6726549.424,1217908464,1228758919,1212938737,1213535909,1227279638,4,4.52E+13,402,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-605,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1217858606,14177873.06,1221989730,1229901208,1197553756,1200858018,1229075620,4,2.01E+14,413,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-754,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1414973,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1208296973,1267674.457,1207857706,1210096706,1207375772,1207385543,1209823375,4,1.61E+12,141,0.055306428,0.111111111,0.111111355,2.79E-14,0.000682797
769,-680,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1199398887,8809970.832,1202912130,1205370599,1186400688,1188677660,1205201574,4,7.76E+13,322,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-531,-9611,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1187417406,10433015.54,1190819618,1195100605,1172929783,1174990527,1195081188,4,1.09E+14,504,0.110612855,0.111111111,0.055554107,2.79E-14,0.000682778
769,-382,-9611,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1180624520,16895677.86,1176840725,1203784376,1165032255,1166066692,1200479662,4,2.85E+14,516,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-754,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1180347443,2885613.542,1180341985,1183255490,1177450314,1177581634,1183120894,4,8.33E+12,231,0.055306428,0.111111111,0.111111355,2.79E-14,0.000682797
769,-457,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1168387232,15338768.7,1170042962,1183861273,1149601729,1151565595,1182890846,4,2.35E+14,425,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-382,-7743,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1161267839,3986675.604,1161888526,1165449851,1155844455,1156741624,1164925093,4,1.59E+13,606,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-680,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1159765345,13800068.06,1164176964,1170820196,1144298876,1146286685,1170155873,3,1.90E+14,412,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-457,-9611,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1156209245,9874517.52,1159582301,1163463638,1142208738,1144327297,1163368913,4,9.75E+13,515,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-531,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1154245642,5889197.705,1154269102,1160919410,1147524954,1148134923,1160323517,4,3.47E+13,334,0.110612855,0.111111111,0.111111355,2.79E-14,0.001365594
769,-754,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1141924033,8829544.436,1140010273,1154152160,1133523424,1134226863,1152300466,4,7.80E+13,401,0.055306428,0.111111111,0.055554107,2.79E-14,0.000341389
769,-754,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1139713380,18799553.8,1143502175,1156185332,1115663837,1118409253,1155713193,4,3.53E+14,321,0.055306428,0.111111111,0.111111512,2.79E-14,0.000682798
