npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2249223013.36,157392.594178,2249223013.36,2249334306.73,2249111719.99,2249122849.33,2249323177.4,2.0,24772428702.1,27,0.25,0.00781201926239,0.124992308198,0.25,1.69457067906e-13
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2193291029.89,2120114.07331,2193291029.89,2194790176.93,2191791882.85,2191941797.55,2194640262.22,2.0,4494883683840.0,32,0.25,0.0156247016111,0.249995225778,0.25,1.69457067906e-13
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2139481896.01,670507.156113,2139481896.01,2139956016.17,2139007775.86,2139055187.87,2139908604.16,2.0,449579846399.0,37,0.25,0.0156253646975,0.25000583516,0.25,1.69457067906e-13
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2113041305.66,1030295.4143,2113041305.66,2113769834.53,2112312776.78,2112385629.67,2113696981.64,2.0,1061508640740.0,31,0.25,0.00779021950017,0.249995225778,0.124645892351,1.69457067906e-13
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2087513996.64,295769.710915,2087513996.64,2087723137.41,2087304855.87,2087325769.95,2087702223.33,2.0,87479721894.9,42,0.25,0.0156252983889,0.250004774222,0.25,1.69457067906e-13
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2061961588.0,2516366.95478,2061961588.0,2063740928.14,2060182247.87,2060360181.88,2063562994.13,2.0,6332102651100.0,26,0.25,0.00389494444811,0.124992308198,0.124645892351,1.69457067906e-13
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2055608758.01,225852.203492,2055608758.01,2055768459.63,2055449056.39,2055465026.55,2055752489.47,2.0,51009217822.4,36,0.25,0.00779055010413,0.25000583516,0.124645892351,1.69457067906e-13
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2049403074.08,2150738.79955,2049403074.08,2050923876.07,2047882272.09,2048034352.29,2050771795.87,2.0,4625677383910.0,79,0.25,0.00781201926239,0.124992308198,0.25,1.69457067906e-13
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2035313492.99,166740.278354,2035313492.99,2035431396.17,2035195589.81,2035207380.13,2035419605.86,2.0,27802320425.4,47,0.25,0.00781261604011,0.125001856642,0.25,1.69457067906e-13
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2003135250.5,3019604.72452,2003135250.5,2005270433.48,2001000067.53,2001213585.83,2005056915.18,2.0,9118012692370.0,41,0.25,0.00779051704374,0.250004774222,0.124645892351,1.69457067906e-13
