npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2454370976.52,737807.824948,2454370976.52,2454892685.43,2453849267.6,2453901438.49,2454840514.54,2.0,544360386555.0,63,0.250025424591,0.25,0.015626752919,6.05994367894e-14,0.250002621847
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2415125298.74,3274635.39676,2415125298.74,2417440815.64,2412809781.85,2413041333.54,2417209263.95,2.0,10723236981700.0,8,0.250025424591,0.25,0.0078130635937,6.05994367894e-14,0.12499630558
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2412332730.76,4457306.55831,2412332730.76,2415484522.45,2409180939.06,2409496118.23,2415169343.28,2.0,19867581754800.0,33,0.250025424591,0.25,0.0156264251548,6.05994367894e-14,0.249997378153
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2382654692.55,1948014.52936,2382654692.55,2384032146.84,2381277238.27,2381414983.7,2383894401.41,2.0,3794760606600.0,88,0.250025424591,0.25,0.015626752919,6.05994367894e-14,0.250002621847
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2339209711.0,2450635.61256,2339209711.0,2340942572.06,2337476849.94,2337650136.05,2340769285.95,2.0,6005614905540.0,58,0.250025424591,0.25,0.015626752919,6.05994367894e-14,0.250002621847
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2303278248.61,4174890.09601,2303278248.61,2306230341.71,2300326155.51,2300621364.82,2305935132.4,2.0,17429707313800.0,113,0.250025424591,0.25,0.00781336156113,6.05994367894e-14,0.125001072574
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2284623183.35,371587.589807,2284623183.35,2284885935.46,2284360431.25,2284386706.46,2284859660.25,2.0,138077336899.0,19,0.25,0.25,0.00781226909872,6.05994367894e-14,0.12499630558
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2283903223.02,11538972.7946,2283903223.02,2292062508.93,2275743937.11,2276559865.7,2291246580.34,2.0,133147893155000.0,28,0.250025424591,0.125,0.00781321257741,6.05994367894e-14,0.249997378153
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2262780693.23,6389682.62565,2262780693.23,2267298881.14,2258262505.31,2258714324.1,2266847062.35,2.0,40828044056600.0,83,0.250025424591,0.25,0.015626752919,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2236656969.6,6864045.56613,2236656969.6,2241510582.77,2231803356.43,2232288717.75,2241025221.45,2.0,47115121533900.0,3,0.250025424591,0.125,0.00390653179685,6.05994367894e-14,0.12499630558
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2222482028.79,7180289.3903,2222482028.79,2227559260.11,2217404797.47,2217912520.6,2227051536.98,2.0,51556555728500.0,44,0.25,0.25,0.0156248361346,6.05994367894e-14,0.249997378153
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2201961312.39,7579010.36205,2201961312.39,2207320482.01,2196602142.77,2197138059.73,2206784565.05,2.0,57441398068100.0,53,0.250025424591,0.125,0.0078133764595,6.05994367894e-14,0.250002621847
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2188133342.2,2845603.43673,2188133342.2,2190145487.69,2186121196.72,2186322411.27,2189944273.14,2.0,8097458919150.0,108,0.250025424591,0.25,0.00781336156113,6.05994367894e-14,0.125001072574
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2144791781.09,3281241.06554,2144791781.09,2147111968.89,2142471593.28,2142703612.06,2146879950.11,2.0,10766542930200.0,69,0.25,0.25,0.0156251638654,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2124754796.03,1897097.60158,2124754796.03,2126096246.61,2123413345.45,2123547490.51,2125962101.55,2.0,3598979309910.0,78,0.250025424591,0.125,0.0078133764595,6.05994367894e-14,0.250002621847
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2110037978.34,2304948.59141,2110037978.34,2111667823.12,2108408133.56,2108571118.04,2111504838.64,2.0,5312788009050.0,14,0.25,0.25,0.00781226909872,6.05994367894e-14,0.12499630558
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2108329543.02,5503820.56239,2108329543.02,2112221331.86,2104437754.18,2104826933.06,2111832152.98,2.0,30292040783000.0,39,0.25,0.25,0.0156248361346,6.05994367894e-14,0.249997378153
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2079073918.14,3704699.35972,2079073918.14,2081693536.18,2076454300.1,2076716261.9,2081431574.37,2.0,13724797345900.0,94,0.25,0.25,0.0156251638654,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2050778467.64,1748483.51817,2050778467.64,2052014832.19,2049542103.09,2049665739.54,2051891195.74,2.0,3057194613310.0,103,0.250025424591,0.125,0.00390668078057,6.05994367894e-14,0.125001072574
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2024303617.46,9155561.56266,2024303617.46,2030777577.12,2017829657.79,2018477053.76,2030130181.16,2.0,83824307527600.0,64,0.25,0.25,0.0156251638654,6.05994367894e-14,0.250002621847
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2010526344.47,477275.155453,2010526344.47,2010863828.97,2010188859.97,2010222608.42,2010830080.52,2.0,227791574013.0,25,0.124987287705,0.125,0.00195286865094,6.05994367894e-14,0.12499630558
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1994755988.06,3955637.00125,1994755988.06,1997553045.81,1991958930.31,1992238636.09,1997273340.03,2.0,15647064085700.0,119,0.25,0.25,0.00781256703585,6.05994367894e-14,0.125001072574
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1951922020.15,3181931.12121,1951922020.15,1954171985.22,1949672055.08,1949897051.58,1953946988.72,2.0,10124685660100.0,34,0.25,0.25,0.0156248361346,6.05994367894e-14,0.249997378153
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1948765229.4,4288678.44697,1948765229.4,1951797783.01,1945732675.79,1946035931.15,1951494527.65,2.0,18392762821500.0,89,0.25,0.25,0.0156251638654,6.05994367894e-14,0.250002621847
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1945446555.14,10041699.672,1945446555.14,1952547109.08,1938346001.21,1939056056.6,1951837053.68,2.0,100835732302000.0,50,0.124987287705,0.125,0.00390581177858,6.05994367894e-14,0.249997378153
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1939115269.62,4002972.70784,1939115269.62,1941945798.77,1936284740.47,1936567793.39,1941662745.85,2.0,16023790499700.0,9,0.25,0.25,0.00781226909872,6.05994367894e-14,0.12499630558
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1880757956.19,865813.975391,1880757956.19,1881370179.13,1880145733.26,1880206955.55,1881308956.83,2.0,749633839983.0,59,0.25,0.25,0.0156251638654,6.05994367894e-14,0.250002621847
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1880692911.28,4324636.21448,1880692911.28,1883750890.87,1877634931.68,1877940729.64,1883445092.91,2.0,18702478387600.0,114,0.25,0.25,0.00781256703585,6.05994367894e-14,0.125001072574
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1868753050.1,19329807.5029,1868753050.1,1882421288.07,1855084812.14,1856451635.94,1881054464.27,2.0,373641458101000.0,75,0.124987287705,0.125,0.00390589370296,6.05994367894e-14,0.250002621847
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1824409873.68,6071656.55013,1824409873.68,1828703183.2,1820116564.16,1820545895.11,1828273852.24,2.0,36865013262700.0,20,0.124987287705,0.25,0.00390573730187,6.05994367894e-14,0.12499630558
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1798400351.49,958797.298646,1798400351.49,1799078323.56,1797722379.42,1797790176.62,1799010526.35,2.0,919292259891.0,45,0.124987287705,0.25,0.00781162355716,6.05994367894e-14,0.249997378153
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1796090385.06,16190289.0914,1796090385.06,1807538648.27,1784642121.86,1785786948.18,1806393821.95,2.0,262125460864000.0,29,0.25,0.125,0.00781241806729,6.05994367894e-14,0.249997378153
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1789731229.46,5688058.83377,1789731229.46,1793753294.43,1785709164.49,1786111370.99,1793351087.94,2.0,32354013296400.0,84,0.25,0.25,0.0156251638654,6.05994367894e-14,0.250002621847
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1789119641.52,4996128.83568,1789119641.52,1792652438.1,1785586844.94,1785940124.6,1792299158.44,2.0,24961303342700.0,100,0.124987287705,0.125,0.00390589370296,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1759916372.73,2163577.9997,1759916372.73,1761446253.4,1758386492.05,1758539480.12,1761293265.33,2.0,4681069760810.0,4,0.25,0.125,0.00390613454936,6.05994367894e-14,0.12499630558
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1726486072.01,6309353.04153,1726486072.01,1730947458.33,1722024685.69,1722470824.32,1730501319.69,2.0,39807935802700.0,125,0.124987287705,0.125,0.00195294312764,6.05994367894e-14,0.125001072574
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1726172299.39,7537589.23634,1726172299.39,1731502179.85,1720842418.92,1721375406.97,1730969191.8,2.0,56815251495800.0,109,0.25,0.25,0.00781256703585,6.05994367894e-14,0.125001072574
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1720849685.62,7761238.249,1720849685.62,1726337709.81,1715361661.42,1715910463.84,1725788907.39,2.0,60236819157800.0,70,0.124987287705,0.25,0.00781178740592,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1708893886.16,4045380.7874,1708893886.16,1711754402.35,1706033369.98,1706319421.6,1711468350.73,2.0,16365105715000.0,54,0.25,0.125,0.00781258193271,6.05994367894e-14,0.250002621847
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1649292124.86,1940262.25219,1649292124.86,1650664097.45,1647920152.26,1648057349.52,1650526900.19,2.0,3764617607290.0,95,0.124987287705,0.25,0.00781178740592,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1641937129.32,5660428.07501,1641937129.32,1645939656.4,1637934602.25,1638334854.95,1645539403.69,2.0,32040445992400.0,79,0.25,0.125,0.00781258193271,6.05994367894e-14,0.250002621847
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1639540421.61,4827352.10464,1639540421.61,1642953875.01,1636126968.2,1636468313.54,1642612529.67,2.0,23303328342100.0,15,0.124987287705,0.25,0.00390573730187,6.05994367894e-14,0.12499630558
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1635927799.6,13015784.942,1635927799.6,1645131349.4,1626724249.81,1627644604.78,1644210994.42,2.0,169410657655000.0,40,0.124987287705,0.25,0.00781162355716,6.05994367894e-14,0.249997378153
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1569193223.42,3260821.40858,1569193223.42,1571498972.35,1566887474.49,1567118049.38,1571268397.46,2.0,10632956258600.0,120,0.124987287705,0.25,0.00390588625529,6.05994367894e-14,0.125001072574
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1566612643.59,13733455.518,1566612643.59,1576323663.11,1556901624.06,1557872726.01,1575352561.16,2.0,188607800465000.0,104,0.25,0.125,0.00390628351793,6.05994367894e-14,0.125001072574
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1551515799.01,9984262.52161,1551515799.01,1558575738.74,1544455859.28,1545161853.25,1557869744.77,2.0,99685498100300.0,65,0.124987287705,0.25,0.00781178740592,6.05994367894e-14,0.250002621847
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1483108016.13,4011063.85162,1483108016.13,1485944266.58,1480271765.68,1480555390.73,1485660641.54,2.0,16088633221800.0,90,0.124987287705,0.25,0.00781178740592,6.05994367894e-14,0.250002621847
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1461854220.93,2607676.58071,1461854220.93,1463698126.72,1460010315.14,1460194705.72,1463513736.15,2.0,6799977149600.0,35,0.124987287705,0.25,0.00781162355716,6.05994367894e-14,0.249997378153
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1460227035.18,10090167.4213,1460227035.18,1467361860.99,1453092209.37,1453805691.95,1466648378.4,2.0,101811478590000.0,10,0.124987287705,0.25,0.00390573730187,6.05994367894e-14,0.12499630558
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1391510057.05,1698575.37895,1391510057.05,1392711131.22,1390308982.88,1390429090.3,1392591023.8,2.0,2885158317990.0,115,0.124987287705,0.25,0.00390588625529,6.05994367894e-14,0.125001072574
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1380826006.9,4083597.547,1380826006.9,1383713546.42,1377938467.39,1378227221.34,1383424792.47,2.0,16675768925800.0,60,0.124987287705,0.25,0.00781178740592,6.05994367894e-14,0.250002621847
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1297555362.75,7101611.97058,1297555362.75,1302576960.73,1292533764.77,1293035924.56,1302074800.93,2.0,50432892580700.0,85,0.124987287705,0.25,0.00781178740592,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1293223556.19,5297635.15158,1293223556.19,1296969549.93,1289477562.45,1289852161.83,1296594950.56,2.0,28064938199200.0,30,0.124987287705,0.125,0.00390581177858,6.05994367894e-14,0.249997378153
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1287255308.04,2880574.64669,1287255308.04,1289292181.91,1285218434.17,1285422121.56,1289088494.52,2.0,8297710295170.0,5,0.124987287705,0.125,0.00195286865094,6.05994367894e-14,0.12499630558
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1229145291.09,2512627.88281,1229145291.09,1230921987.31,1227368594.88,1227546264.5,1230744317.69,2.0,6313298877490.0,110,0.124987287705,0.25,0.00390588625529,6.05994367894e-14,0.125001072574
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1207367857.98,78754.3730765,1207367857.98,1207423545.73,1207312170.23,1207317739.0,1207417976.95,2.0,6202251278.68,55,0.124987287705,0.125,0.00390589370296,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1121850327.19,3575872.08355,1121850327.19,1124378850.59,1119321803.79,1119574656.13,1124125998.25,2.0,12786861157900.0,80,0.124987287705,0.125,0.00390589370296,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1064233971.94,5857898.49289,1064233971.94,1068376131.68,1060091812.19,1060506028.16,1067961915.71,2.0,34314974753000.0,105,0.124987287705,0.125,0.00195294312764,6.05994367894e-14,0.125001072574
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-213391255648000.0,3195773.4728,-213391255648000.0,-213391253388000.0,-213391257908000.0,-213391257682000.0,-213391253614000.0,2.0,10212968089400.0,106,0.124987287705,0.25,0.00390588625529,6.05994367894e-14,0.125001072574
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-218833280099000.0,1313209.08183,-218833280099000.0,-218833279171000.0,-218833281028000.0,-218833280935000.0,-218833279264000.0,2.0,1724518092590.0,81,0.124987287705,0.25,0.00781178740592,6.05994367894e-14,0.250002621847
1193.0,-600.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-219166947150000.0,1329192.12576,-219166947150000.0,-219166946210000.0,-219166948090000.0,-219166947996000.0,-219166946304000.0,2.0,1766751707180.0,112,0.25,0.25,0.00781256703585,6.05994367894e-14,0.125001072574
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-224275330652000.0,5789649.76479,-224275330652000.0,-224275326559000.0,-224275334746000.0,-224275334337000.0,-224275326968000.0,2.0,33520044398900.0,56,0.124987287705,0.25,0.00781178740592,6.05994367894e-14,0.250002621847
