smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability,prefix
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1186746788.23,3427076.91737,-1186746788.23,-1184323478.9,-1189170097.56,-1188927766.63,-1184565809.84,2.0,11744856197600.0,0.0003644396277,0.0714113745622,0.0714473684211,0.0714285714286,1.07010398565e-12,1
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1206955074.0,2761645.03243,-1206955074.0,-1205002296.07,-1208907851.93,-1208712574.14,-1205197573.86,2.0,7626683285150.0,0.000728988250394,0.142844106523,0.0714473684211,0.0714285714286,1.07010398565e-12,65
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1221396936.64,2558487.89408,-1221396936.64,-1219587812.5,-1223206060.78,-1223025148.36,-1219768724.91,2.0,6545860304170.0,0.000729087336753,0.14286352234,0.0714473684211,0.0714285714286,1.07010398565e-12,129
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1287882633.07,963514.890152,-1287882633.07,-1287201325.16,-1288563940.99,-1288495810.2,-1287269455.95,2.0,928360943544.0,0.00145797650079,0.142844106523,0.0714473684211,0.142857142857,1.07010398565e-12,66
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1305004334.6,14300370.0237,-1305004334.6,-1294892445.99,-1315116223.22,-1314105034.36,-1295903634.85,2.0,204500582816000.0,0.00145817467351,0.14286352234,0.0714473684211,0.142857142857,1.07010398565e-12,130
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1320266668.97,1644458.8536,-1320266668.97,-1319103860.97,-1321429476.98,-1321313196.18,-1319220141.77,2.0,2704244921190.0,0.0007288792554,0.0714113745622,0.0714473684211,0.142857142857,1.07010398565e-12,2
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1358573005.9,11526299.9717,-1358573005.9,-1350422681.03,-1366723330.78,-1365908298.29,-1351237713.52,2.0,132855591037000.0,0.00291595300158,0.142844106523,0.142894736842,0.142857142857,1.07010398565e-12,75
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1373903106.34,6267070.55773,-1373903106.34,-1369471618.26,-1378334594.43,-1377891445.63,-1369914767.06,2.0,39276173375600.0,0.00291634934701,0.14286352234,0.142894736842,0.142857142857,1.07010398565e-12,139
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1388875461.44,14334992.5448,-1388875461.44,-1378739091.01,-1399011831.88,-1397998194.84,-1379752728.05,2.0,205492011260000.0,0.00145797650079,0.142844106523,0.0714473684211,0.142857142857,1.07010398565e-12,67
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1403825921.35,6453212.53998,-1403825921.35,-1399262811.01,-1408389031.7,-1407932720.67,-1399719122.04,2.0,41643952086100.0,0.0014577585108,0.0714113745622,0.142894736842,0.142857142857,1.07010398565e-12,11
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1417073588.7,3184552.85804,-1417073588.7,-1414821769.78,-1419325407.62,-1419100225.73,-1415046951.67,2.0,10141376905700.0,0.00145817467351,0.14286352234,0.0714473684211,0.142857142857,1.07010398565e-12,131
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1425365440.87,7627028.17855,-1425365440.87,-1419972317.53,-1430758564.22,-1430219251.88,-1420511629.86,2.0,58171558836400.0,0.00291595300158,0.142844106523,0.142894736842,0.142857142857,1.07010398565e-12,84
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1428553151.46,9315309.9723,-1428553151.46,-1421966232.61,-1435140070.31,-1434481378.42,-1422624924.49,2.0,86774999879900.0,0.00291634934701,0.14286352234,0.142894736842,0.142857142857,1.07010398565e-12,148
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1467567657.56,20521127.9157,-1467567657.56,-1453057028.85,-1482078286.26,-1480627223.39,-1454508091.72,2.0,421116690932000.0,0.00145641619173,0.0714113745622,0.142763157895,0.142857142857,1.07010398565e-12,37
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1468215841.67,15220280.7818,-1468215841.67,-1457453477.92,-1478978205.42,-1477901969.05,-1458529714.29,2.0,231656947077000.0,0.0007288792554,0.0714113745622,0.0714473684211,0.142857142857,1.07010398565e-12,3
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1470371796.89,14771234.4715,-1470371796.89,-1459926956.82,-1480816636.95,-1479772152.94,-1460971440.83,2.0,218189367811000.0,0.0014577585108,0.0714113745622,0.142894736842,0.142857142857,1.07010398565e-12,20
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1479461646.77,6591061.62776,-1479461646.77,-1474801062.39,-1484122231.14,-1483656172.7,-1475267120.83,2.0,43442093381000.0,0.00291366394246,0.14286352234,0.142763157895,0.142857142857,1.07010398565e-12,165
480.0,-372.7,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1480860455.46,13108269.4612,-1480860455.46,-1471591509.23,-1490129401.69,-1489202507.06,-1472518403.86,2.0,171826728268000.0,0.00291595300158,0.142844106523,0.142894736842,0.142857142857,1.07010398565e-12,76
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1480867009.67,3058283.51861,-1480867009.67,-1478704476.65,-1483029542.68,-1482813289.38,-1478920729.96,2.0,9353098080210.0,0.00291326796198,0.142844106523,0.142763157895,0.142857142857,1.07010398565e-12,101
480.0,-372.7,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1494398500.46,3581618.5982,-1494398500.46,-1491865913.66,-1496931087.26,-1496677828.58,-1492119172.34,2.0,12827991783000.0,0.00291634934701,0.14286352234,0.142894736842,0.142857142857,1.07010398565e-12,140
480.0,-264.1,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1498402362.35,4653735.52954,-1498402362.35,-1495111674.4,-1501693050.3,-1501363981.51,-1495440743.2,2.0,21657254378900.0,0.00291326796198,0.142844106523,0.142763157895,0.142857142857,1.07010398565e-12,93
480.0,-264.1,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1498665841.12,2915563.98868,-1498665841.12,-1496604226.05,-1500727456.19,-1500521294.68,-1496810387.56,2.0,8500513372090.0,0.00291366394246,0.14286352234,0.142763157895,0.142857142857,1.07010398565e-12,157
480.0,-155.6,-3909.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1508207420.72,18783373.2361,-1508207420.72,-1494925570.13,-1521489271.31,-1520161086.25,-1496253755.19,2.0,352815110128000.0,0.0014577585108,0.0714113745622,0.142894736842,0.142857142857,1.07010398565e-12,46
480.0,-427.0,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1520194645.13,4402563.32402,-1520194645.13,-1517081562.75,-1523307727.51,-1522996419.27,-1517392870.99,2.0,19382563822000.0,0.00145797650079,0.142844106523,0.0714473684211,0.142857142857,1.07010398565e-12,68
480.0,-427.0,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1524375768.13,15905723.8882,-1524375768.13,-1513128722.91,-1535622813.35,-1534498108.83,-1514253427.43,2.0,252992052408000.0,0.00145817467351,0.14286352234,0.0714473684211,0.142857142857,1.07010398565e-12,132
480.0,-372.7,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1530555244.17,11102761.2979,-1530555244.17,-1522704406.37,-1538406081.97,-1537620998.19,-1523489490.15,2.0,123271308439000.0,0.0014577585108,0.0714113745622,0.142894736842,0.142857142857,1.07010398565e-12,12
480.0,-264.1,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1531829279.02,24786528.0578,-1531829279.02,-1514302556.94,-1549356001.09,-1547603328.88,-1516055229.15,2.0,614371973158000.0,0.00145641619173,0.0714113745622,0.142763157895,0.142857142857,1.07010398565e-12,29
