npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2619194376.73,799712.39331,2619194376.73,2619759858.79,2618628894.67,2618685442.88,2619703310.58,2.0,639539912014.0,0.00195281465415,0.125,0.124987287705,0.124992849434,1,1.21200144652e-13
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2573670366.02,42236.5468608,2573670366.02,2573700231.77,2573640500.27,2573643486.85,2573697245.2,2.0,1783925890.73,0.00390577826328,0.125,0.124987287705,0.249995232956,26,1.21200144652e-13
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2516000817.22,1435634.89574,2516000817.22,2517015964.39,2514985670.05,2515087184.77,2516914449.67,2.0,2061047553860.0,0.00390592721826,0.125,0.124987287705,0.250004767044,51,1.21200144652e-13
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2459087156.34,113986.925358,2459087156.34,2459167757.26,2459006555.41,2459014615.5,2459159697.17,2.0,12993019152.6,0.00390592721826,0.125,0.124987287705,0.250004767044,76,1.21200144652e-13
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2407768711.72,6358666.54946,2407768711.72,2412264967.95,2403272455.48,2403722081.1,2411815342.33,2.0,40432640287300.0,0.00781205308962,0.25,0.25,0.124992849434,7,1.21200144652e-13
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2403273925.69,229107.506971,2403273925.69,2403435929.16,2403111922.22,2403128122.57,2403419728.82,2.0,52490249750.4,0.00195296360913,0.125,0.124987287705,0.125002383522,101,1.21200144652e-13
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2363659164.75,2424289.56415,2363659164.75,2365373396.34,2361944933.16,2362116356.32,2365201973.18,2.0,5877179890830.0,0.0156247020597,0.25,0.25,0.249995232956,32,1.21200144652e-13
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2301868926.84,1437955.64242,2301868926.84,2302885715.03,2300852138.66,2300953817.48,2302784036.21,2.0,2067716429560.0,0.0156252979403,0.25,0.25,0.250004767044,57,1.21200144652e-13
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2244562159.24,3491725.7789,2244562159.24,2247031182.22,2242093136.27,2242340038.56,2246784279.92,2.0,12192148915000.0,0.0156252979403,0.25,0.25,0.250004767044,82,1.21200144652e-13
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2230908826.2,3339901.205,2230908826.2,2233270493.0,2228547159.41,2228783326.09,2233034326.32,2.0,11154940059100.0,0.00781235102987,0.125,0.25,0.249995232956,27,1.21200144652e-13
