npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1927027999.74,5082830.29332,1927027999.74,1930622103.51,1923433895.98,1923793306.35,1930262693.14,2.0,25835163790600.0,102,0.124999475902,0.25,0.125,0.00390623362193,8.40946932138e-15
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1919572861.44,29990181.9712,1919572861.44,1940779122.48,1898366600.4,1900487226.5,1938658496.38,2.0,899411014664000.0,83,0.249999695685,0.25,0.25,0.0156249809803,8.40946932138e-15
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1844363118.94,93620437.409,1844363118.94,1910562765.09,1778163472.79,1784783437.4,1903942800.47,2.0,8764786300650000.0,109,0.249999695685,0.25,0.125,0.00781249049015,8.40946932138e-15
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1822917057.84,12574069.7401,1822917057.84,1831808267.82,1814025847.86,1814914968.86,1830919146.82,2.0,158107229828000.0,11,0.250000371941,0.125,0.125,0.00390625581157,8.40946932138e-15
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1786342524.68,72344028.1742,1786342524.68,1837497477.58,1735187571.78,1740303067.07,1832381982.29,2.0,5233658412460000.0,82,0.249999695685,0.25,0.25,0.0156249809803,8.40946932138e-15
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1765685498.58,21335711.1789,1765685498.58,1780772124.64,1750598872.53,1752107535.13,1779263462.03,2.0,455212571509000.0,101,0.124999475902,0.125,0.125,0.00195311681096,8.40946932138e-15
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1696210057.6,44300979.3414,1696210057.6,1727535580.51,1664884534.7,1668017086.99,1724403028.22,2.0,1962576770610000.0,37,0.250000371941,0.25,0.25,0.0156250232463,8.40946932138e-15
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1660918338.57,10456251.8174,1660918338.57,1668312025.14,1653524652.01,1654264020.66,1667572656.48,2.0,109333202069000.0,108,0.249999695685,0.25,0.125,0.00781249049015,8.40946932138e-15
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1639364161.69,2796663.22693,1639364161.69,1641341701.22,1637386622.16,1637584376.11,1641143947.27,2.0,7821325204880.0,36,0.250000371941,0.125,0.25,0.00781251162315,8.40946932138e-15
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1633340262.03,12518825.6015,1633340262.03,1642192408.5,1624488115.55,1625373330.2,1641307193.85,2.0,156720994441000.0,81,0.249999695685,0.125,0.25,0.00781249049015,8.40946932138e-15
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1627006590.28,10387887.7969,1627006590.28,1634351936.19,1619661244.38,1620395778.97,1633617401.6,2.0,107908212881000.0,63,0.250000371941,0.25,0.25,0.0156250232463,8.40946932138e-15
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1572125937.88,20949367.5253,1572125937.88,1586939377.72,1557312498.04,1558793842.02,1585458033.73,2.0,438875999711000.0,62,0.250000371941,0.25,0.25,0.0156250232463,8.40946932138e-15
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1490523017.05,11857969.8144,1490523017.05,1498907867.92,1482138166.18,1482976651.27,1498069382.83,2.0,140611448120000.0,89,0.250000371941,0.25,0.25,0.0156250232463,8.40946932138e-15
