npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2044791793.28,7510840.64668,2044593932.14,2052256344.27,2037722964.57,2037908588.85,2051952003.31,4.0,56412727219800.0,0.25,68,0.25,5.88667788813e-14,0.015625133139,0.250002130224
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2025479069.74,4461376.77179,2025380789.42,2029610999.7,2021543700.43,2021566779.41,2029528952.52,4.0,19903882699900.0,0.25,46,0.125,5.88667788813e-14,0.00390628328475,0.125001065112
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2013654413.57,8618604.8604,2016499783.76,2020406626.6,2001211460.17,2003239982.8,2020085326.08,4.0,74280349739800.0,0.25,62,0.25,5.88667788813e-14,0.0156251627254,0.250002603607
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1959592755.51,3328126.89496,1959052571.07,1963571993.22,1956693886.67,1956740136.02,1963201633.2,4.0,11076428629000.0,0.25,56,0.125,5.88667788813e-14,0.0078124334305,0.249997869776
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1945022210.36,8069138.94556,1947681784.21,1951428493.9,1933296779.1,1935281536.98,1951039480.33,4.0,65111003322800.0,0.25,51,0.125,5.88667788813e-14,0.00390613535253,0.124996331281
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1939683260.96,6944364.61798,1939727575.07,1946641045.12,1932636848.57,1932976359.95,1946328122.2,4.0,48224199947400.0,0.25,73,0.25,5.88667788813e-14,0.0078125665695,0.125001065112
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1937273818.43,7574709.68194,1936089945.37,1946101886.38,1930813496.61,1930857555.69,1945347503.46,4.0,57376226765700.0,0.25,78,0.25,5.88667788813e-14,0.00781227070507,0.124996331281
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1937161782.68,8840800.21812,1934257561.88,1949864699.89,1930267307.07,1930552773.54,1947836700.95,4.0,78159748496700.0,0.25,89,0.25,5.88667788813e-14,0.0156251627254,0.250002603607
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1907289835.28,7997097.5296,1907879486.29,1915026786.24,1898373582.29,1899036047.82,1914718111.32,4.0,63953568897900.0,0.25,67,0.25,5.88667788813e-14,0.015625133139,0.250002130224
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1896320028.09,10598288.7631,1895385089.79,1907456460.52,1887053472.29,1887115778.63,1906833191.19,4.0,112323724706000.0,0.25,83,0.25,5.88667788813e-14,0.015624866861,0.249997869776
