npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix,PointProbability
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,898727945.854,5432.04763775,898727945.854,898731786.892,898724104.816,898724488.92,898731402.788,2.0,29507141.5388,0.125027109087,0.00195854338395,0.12498630137,0.125333333333,1,1.0563053673200001e-12
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,871564252.008,18166.0235266,871564252.008,871577097.327,871551406.69,871552691.222,871575812.795,2.0,330004410.769,0.125027109087,0.00391737297911,0.24999086758,0.125333333333,26,1.0563053673200001e-12
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,841831761.904,20596.9497042,841831761.904,841846326.146,841817197.661,841818654.085,841844869.722,2.0,424234337.116,0.125027109087,0.00391765919034,0.25000913242,0.125333333333,51,1.0563053673200001e-12
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,812107418.66,7767.62269499,812107418.66,812112911.198,812101926.121,812102475.375,812112361.945,2.0,60335962.3318,0.125027109087,0.00391765919034,0.25000913242,0.125333333333,76,1.0563053673200001e-12
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,782831936.927,284121.482462,782831936.927,783032841.154,782631032.7,782651123.122,783012750.731,2.0,80725016796.7,0.25,0.00783247488584,0.12498630137,0.250666666667,7,1.0563053673200001e-12
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,782354628.178,35709.6641171,782354628.178,782379878.724,782329377.632,782331902.687,782377353.669,2.0,1275180111.35,0.125027109087,0.00195882959517,0.12500456621,0.125333333333,101,1.0563053673200001e-12
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,756498594.093,135094.849032,756498594.093,756594120.577,756403067.609,756412620.257,756584567.928,2.0,18250618235.0,0.25,0.0156660943683,0.24999086758,0.250666666667,32,1.0563053673200001e-12
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,726987063.938,628080.973996,726987063.938,727431184.254,726542943.622,726587355.654,727386772.222,2.0,394485709896.0,0.25,0.015667238965,0.25000913242,0.250666666667,57,1.0563053673200001e-12
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,697230976.155,175045.245548,697230976.155,697354751.835,697107200.475,697119578.043,697342374.267,2.0,30640837989.1,0.25,0.015667238965,0.25000913242,0.250666666667,82,1.0563053673200001e-12
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,690743625.892,115127.932709,690743625.892,690825033.634,690662218.15,690670358.924,690816892.859,2.0,13254440889.9,0.25,0.00783304718417,0.24999086758,0.125333333333,27,1.0563053673200001e-12
