smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-26282569.7414,433379.877528,-26366955.171,-25681067.4198,-26715301.204,-26664352.6242,-25782647.2573,4.0,187818118246.0,0.249546279492,0.0155982225654,0.250007275152,0.250018051845,68,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-60353329.3242,510224.717264,-60459810.8477,-59656297.413,-60837398.1883,-60801472.8567,-59756111.6587,4.0,260329262107.0,0.249546279492,0.00779824473773,0.12498974865,0.250018051845,52,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-67602417.3723,184385.891107,-67557637.2631,-67430443.1442,-67863951.8189,-67818314.8173,-67449212.0803,4.0,33998156839.3,0.249546279492,0.00779907001867,0.125002976198,0.250018051845,73,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-71946787.3751,888666.767881,-71924448.7437,-70990927.1615,-72947324.8515,-72865316.4244,-71059532.4098,4.0,789728624336.0,0.249546279492,0.0155973147564,0.249992724848,0.250018051845,57,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-113948303.366,486822.664583,-113926494.62,-113376565.725,-114563658.498,-114475192.562,-113451946.413,4.0,236996306752.0,0.249546279492,0.0155982225654,0.250007275152,0.250018051845,62,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-155620758.085,390199.985607,-155674493.701,-155168272.469,-155965772.468,-155959911.428,-155206374.878,4.0,152256028768.0,0.249546279492,0.0155982225654,0.250007275152,0.250018051845,67,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-196918864.806,728722.010626,-197002967.711,-196001639.092,-197667884.711,-197612723.527,-196107262.019,4.0,531035768771.0,0.249546279492,0.00779907001867,0.125002976198,0.250018051845,72,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-211668244.042,773392.844941,-211915978.89,-210559047.327,-212281971.059,-212254048.507,-210735610.788,4.0,598136492606.0,0.125226860254,0.0078270161323,0.249992724848,0.250018051845,56,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-218036747.085,304992.712181,-218013176.317,-217716670.769,-218403964.938,-218366732.221,-217739761.024,4.0,93020554483.3,0.125226860254,0.00391330099566,0.12498974865,0.250018051845,51,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-252865763.783,337596.709071,-252830222.272,-252492087.312,-253310523.276,-253243153.585,-252538132.096,4.0,113971537976.0,0.125226860254,0.00782747168739,0.250007275152,0.250018051845,61,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-295143515.869,624480.570572,-295324341.21,-294280549.131,-295644831.923,-295631696.238,-294402180.022,4.0,389975983021.0,0.125226860254,0.00782747168739,0.250007275152,0.250018051845,66,3.46688419418e-13
