npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3259799629.97,207734.633487,3259799629.97,3259946520.54,3259652739.4,3259667428.46,3259931831.48,2.0,43153677950.2,0.00195281465415,0.125,1.21200144652e-13,1,0.124987287705,0.124992849434
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3214876101.63,1497853.99145,3214876101.63,3215935244.35,3213816958.92,3213922873.19,3215829330.07,2.0,2243566579700.0,0.00390577826328,0.125,1.21200144652e-13,26,0.124987287705,0.249995232956
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3159834993.86,995408.168308,3159834993.86,3160538853.73,3159131133.99,3159201519.98,3160468467.74,2.0,990837421535.0,0.00390592721826,0.125,1.21200144652e-13,51,0.124987287705,0.250004767044
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3101999502.96,2229409.95393,3101999502.96,3103575933.85,3100423072.06,3100580715.15,3103418290.76,2.0,4970268742690.0,0.00390592721826,0.125,1.21200144652e-13,76,0.124987287705,0.250004767044
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3044203713.24,1720600.67499,3044203713.24,3045420361.65,3042987064.84,3043108729.68,3045298696.81,2.0,2960466682780.0,0.00195296360913,0.125,1.21200144652e-13,101,0.124987287705,0.125002383522
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2922211396.23,4602365.81646,2922211396.23,2925465760.31,2918957032.15,2919282468.56,2925140323.9,2.0,21181771108600.0,0.00781205308962,0.25,1.21200144652e-13,7,0.25,0.124992849434
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2869139647.04,2584421.70613,2869139647.04,2870967109.16,2867312184.93,2867494931.14,2870784362.95,2.0,6679235555120.0,0.0156247020597,0.25,1.21200144652e-13,32,0.25,0.249995232956
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2814988935.28,3431241.39144,2814988935.28,2817415189.34,2812562681.23,2812805306.63,2817172563.93,2.0,11773417486400.0,0.0156252979403,0.25,1.21200144652e-13,57,0.25,0.250004767044
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2760545927.98,326249.483737,2760545927.98,2760776621.21,2760315234.76,2760338304.08,2760753551.88,2.0,106438725639.0,0.0156252979403,0.25,1.21200144652e-13,82,0.25,0.250004767044
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2745733995.48,4362836.64025,2745733995.48,2748818986.85,2742649004.1,2742957503.24,2748510487.71,2.0,19034343549500.0,0.00781235102987,0.125,1.21200144652e-13,27,0.25,0.249995232956
