smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-216195301.594,728077.966351,-216195301.594,-215680472.726,-216710130.461,-216658647.574,-215731955.613,2.0,530097525086.0,33,0.0156192241221,0.249920051167,1.28632009175e-11,0.25,0.249987530799
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-218266837.386,307852.949609,-218266837.386,-218049152.477,-218484522.294,-218462753.803,-218070920.968,2.0,94773438583.0,107,0.0078103911369,0.249920051167,1.28632009175e-11,0.25,0.125006234601
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-220677386.151,391845.40162,-220677386.151,-220400309.611,-220954462.692,-220926755.038,-220428017.265,2.0,153542818770.0,77,0.0078103911369,0.249920051167,1.28632009175e-11,0.125,0.250012469201
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-226846082.803,681368.625592,-226846082.803,-226364282.428,-227327883.179,-227279703.141,-226412462.465,2.0,464263203941.0,44,0.0156292172278,0.250079948833,1.28632009175e-11,0.25,0.249987530799
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-234795082.845,518577.22327,-234795082.845,-234428393.374,-235161772.316,-235125103.369,-234465062.321,2.0,268922336495.0,88,0.0156207822738,0.249920051167,1.28632009175e-11,0.25,0.250012469201
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-235368809.75,5984.33941277,-235368809.75,-235364578.183,-235373041.317,-235372618.161,-235365001.34,2.0,35812318.2072,25,0.0019534572599,0.125039974416,1.28632009175e-11,0.125,0.124981296198
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-238241806.434,373211.007074,-238241806.434,-237977906.4,-238505706.468,-238479316.464,-238004296.403,2.0,139286455801.0,58,0.0156207822738,0.249920051167,1.28632009175e-11,0.25,0.250012469201
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-241474799.627,1705169.19236,-241474799.627,-240269062.928,-242680536.326,-242559962.656,-240389636.598,2.0,2907601974590.0,102,0.00390519556845,0.249920051167,1.28632009175e-11,0.125,0.125006234601
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-244450296.293,1176871.85414,-244450296.293,-243618122.224,-245282470.361,-245199252.955,-243701339.631,2.0,1385027361060.0,28,0.00780961206106,0.249920051167,1.28632009175e-11,0.125,0.249987530799
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-246768986.172,4006184.00767,-246768986.172,-243936186.294,-249601786.051,-249318506.063,-244219466.282,2.0,16049510303300.0,69,0.0156307763763,0.250079948833,1.28632009175e-11,0.25,0.250012469201
