RAVEN_sample_ID,Year,_ROM_Cluster,hour,scaling,Dispatch__NPP__production__reactor_heat,Dispatch__TES_Charger__production__reactor_heat,Dispatch__TES_Charger__production__tes_heat,Dispatch__TES__level__tes_heat,Dispatch__TES__charge__tes_heat,Dispatch__TES__discharge__tes_heat,Dispatch__BOP2__production__tes_heat,Dispatch__BOP2__production__electricity,Dispatch__electricity_market__production__electricity,price,prefix,PointProbability,ProbabilityWeight
0,2018,0,0.0,1.0,158.8,-158.8,158.8,180.65091,-158.8,0.0,0.0,0.0,0.0,39.0292585916,1,1.0,1.0
0,2018,0,1.0,1.0,158.8,-158.8,158.8,31.813039,0.0,141.2,-300.0,99.0,-99.0,168.160865746,1,1.0,1.0
0,2018,0,2.0,1.0,158.8,-158.8,158.8,0.0,0.0,30.180499,-188.9805,62.363565,-62.363565,118.365414271,1,1.0,1.0
0,2018,0,3.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,85.6524930732,1,1.0,1.0
0,2018,0,4.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,87.0728998777,1,1.0,1.0
0,2018,0,5.0,1.0,158.8,-158.8,158.8,49.349092,-52.018511,0.0,-106.78149,35.237891,-35.237891,59.653731749,1,1.0,1.0
0,2018,0,6.0,1.0,158.8,-158.8,158.8,200.0,-158.8,0.0,0.0,0.0,0.0,57.2621490159,1,1.0,1.0
0,2018,0,7.0,1.0,158.8,-158.8,158.8,51.162131,0.0,141.2,-300.0,99.0,-99.0,136.090025529,1,1.0,1.0
0,2018,0,8.0,1.0,158.8,-158.8,158.8,0.0,0.0,48.53666,-207.33666,68.421098,-68.421098,91.3284641472,1,1.0,1.0
0,2018,0,9.0,1.0,158.8,-158.8,158.8,49.349092,-52.018511,0.0,-106.78149,35.237891,-35.237891,32.5892886135,1,1.0,1.0
0,2018,0,10.0,1.0,158.8,-158.8,158.8,200.0,-158.8,0.0,0.0,0.0,0.0,27.1460028646,1,1.0,1.0
0,2018,0,11.0,1.0,158.8,-158.8,158.8,51.162131,0.0,141.2,-300.0,99.0,-99.0,65.0551411766,1,1.0,1.0
0,2018,0,12.0,1.0,158.8,-158.8,158.8,200.0,-156.88889,0.0,-1.9111111,0.63066667,-0.63066667,36.0095091273,1,1.0,1.0
0,2018,0,13.0,1.0,158.8,-158.8,158.8,200.0,0.0,0.0,-158.8,52.404,-52.404,52.656396552,1,1.0,1.0
0,2018,0,14.0,1.0,158.8,-158.8,158.8,51.162131,0.0,141.2,-300.0,99.0,-99.0,192.575213988,1,1.0,1.0
0,2018,0,15.0,1.0,158.8,-158.8,158.8,49.349092,0.0,1.72,-160.52,52.9716,-52.9716,123.733711103,1,1.0,1.0
0,2018,0,16.0,1.0,158.8,-158.8,158.8,200.0,-158.8,0.0,0.0,0.0,0.0,109.891030495,1,1.0,1.0
0,2018,0,17.0,1.0,158.8,-158.8,158.8,200.0,0.0,0.0,-158.8,52.404,-52.404,125.470169863,1,1.0,1.0
0,2018,0,18.0,1.0,158.8,-158.8,158.8,51.162131,0.0,141.2,-300.0,99.0,-99.0,189.858439613,1,1.0,1.0
0,2018,0,19.0,1.0,158.8,-158.8,158.8,0.0,0.0,48.53666,-207.33666,68.421098,-68.421098,180.424057928,1,1.0,1.0
0,2018,0,20.0,1.0,158.8,-158.8,158.8,148.83787,-156.88889,0.0,-1.9111111,0.63066667,-0.63066667,117.755610887,1,1.0,1.0
0,2018,0,21.0,1.0,158.8,-158.8,158.8,0.0,0.0,141.2,-300.0,99.0,-99.0,161.500186226,1,1.0,1.0
0,2018,0,22.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,30.0306159119,1,1.0,1.0
0,2018,0,23.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,28.3456864216,1,1.0,1.0
0,2018,1,0.0,1.0,158.8,-158.8,158.8,180.65091,-158.8,0.0,0.0,0.0,0.0,28.6651140586,1,1.0,1.0
0,2018,1,1.0,1.0,158.8,-158.8,158.8,200.0,-20.395734,0.0,-138.40427,45.673408,-45.673408,72.7706495305,1,1.0,1.0
0,2018,1,2.0,1.0,158.8,-158.8,158.8,51.162131,0.0,141.2,-300.0,99.0,-99.0,177.178504401,1,1.0,1.0
0,2018,1,3.0,1.0,158.8,-158.8,158.8,200.0,-156.88889,0.0,-1.9111111,0.63066667,-0.63066667,82.5006507739,1,1.0,1.0
0,2018,1,4.0,1.0,158.8,-158.8,158.8,200.0,0.0,0.0,-158.8,52.404,-52.404,87.4519294201,1,1.0,1.0
0,2018,1,5.0,1.0,158.8,-158.8,158.8,51.162131,0.0,141.2,-300.0,99.0,-99.0,119.614834766,1,1.0,1.0
0,2018,1,6.0,1.0,158.8,-158.8,158.8,0.0,0.0,48.53666,-207.33666,68.421098,-68.421098,98.118688792,1,1.0,1.0
0,2018,1,7.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,72.6289696396,1,1.0,1.0
0,2018,1,8.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,71.6703321567,1,1.0,1.0
0,2018,1,9.0,1.0,158.8,-158.8,158.8,49.349092,-52.018511,0.0,-106.78149,35.237891,-35.237891,55.3031953098,1,1.0,1.0
0,2018,1,10.0,1.0,158.8,-158.8,158.8,200.0,-158.8,0.0,0.0,0.0,0.0,34.5714508535,1,1.0,1.0
0,2018,1,11.0,1.0,158.8,-158.8,158.8,200.0,0.0,0.0,-158.8,52.404,-52.404,56.8180652592,1,1.0,1.0
0,2018,1,12.0,1.0,158.8,-158.8,158.8,51.162131,0.0,141.2,-300.0,99.0,-99.0,87.2474075479,1,1.0,1.0
0,2018,1,13.0,1.0,158.8,-158.8,158.8,51.162131,0.0,0.0,-158.8,52.404,-52.404,76.6871484185,1,1.0,1.0
0,2018,1,14.0,1.0,158.8,-158.8,158.8,200.0,-156.88889,0.0,-1.9111111,0.63066667,-0.63066667,74.7501787409,1,1.0,1.0
0,2018,1,15.0,1.0,158.8,-158.8,158.8,200.0,0.0,0.0,-158.8,52.404,-52.404,90.4198924427,1,1.0,1.0
0,2018,1,16.0,1.0,158.8,-158.8,158.8,51.162131,0.0,141.2,-300.0,99.0,-99.0,197.891004632,1,1.0,1.0
0,2018,1,17.0,1.0,158.8,-158.8,158.8,0.0,0.0,48.53666,-207.33666,68.421098,-68.421098,134.409915582,1,1.0,1.0
0,2018,1,18.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,120.889340236,1,1.0,1.0
0,2018,1,19.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,80.955909898,1,1.0,1.0
0,2018,1,20.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,75.2124672589,1,1.0,1.0
0,2018,1,21.0,1.0,158.8,-158.8,158.8,0.0,0.0,0.0,-158.8,52.404,-52.404,22.6710097658,1,1.0,1.0
0,2018,1,22.0,1.0,158.8,-158.8,158.8,148.83787,-156.88889,0.0,-1.9111111,0.63066667,-0.63066667,19.1846831596,1,1.0,1.0
0,2018,1,23.0,1.0,158.8,-158.8,158.8,0.0,0.0,141.2,-300.0,99.0,-99.0,128.249280834,1,1.0,1.0
0,2018,2,0.0,1.0,158.8,-158.8,158.8,0.0,0.0,28.460499,-187.2605,61.795965,-61.795965,116.312789481,1,1.0,1.0
