smr_capacity,electricity_market_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-smr_capacity,prefix,ProbabilityWeight,PointProbability
240.0,-1e+200,ref,davis_besse,ohio,covid,-674443595.665,2161283.71646,-674579621.503,-670480481.658,-677140584.36,-676933430.273,-671274554.122,10.0,4671147303020.0,0.125,1,0.125,0.00104166666667
480.0,-1e+200,ref,davis_besse,ohio,covid,-1352423651.77,3346277.66593,-1353683839.84,-1346360298.79,-1355501511.44,-1355362865.21,-1346395810.82,10.0,11197574217500.0,0.25,2,0.25,0.00104166666667
720.0,-1e+200,ref,davis_besse,ohio,covid,-2027165614.77,6300784.01981,-2026956440.0,-2015460295.26,-2034729644.09,-2034157413.37,-2018224301.83,10.0,39699879264300.0,0.25,3,0.25,0.00104166666667
960.0,-1e+200,ref,davis_besse,ohio,covid,-2706926444.45,9656420.74659,-2709841463.03,-2687561643.7,-2719385086.01,-2718249927.34,-2691304685.31,10.0,93246461635300.0,0.25,4,0.25,0.00104166666667
1200.0,-1e+200,ref,davis_besse,ohio,covid,-3383380039.48,10266441.5084,-3386823365.16,-3366944355.61,-3398153383.0,-3395174924.51,-3367394721.55,10.0,105399821246000.0,0.125,5,0.125,0.00104166666667
