scaling,Year,filename
1,2012,../data/electricity_markets/PJM_braidwood/2012_Braidwood_DA.csv
1,2013,../data/electricity_markets/PJM_braidwood/2013_Braidwood_DA.csv
1,2014,../data/electricity_markets/PJM_braidwood/2014_Braidwood_DA.csv
1,2015,../data/electricity_markets/PJM_braidwood/2015_Braidwood_DA.csv
1,2016,../data/electricity_markets/PJM_braidwood/2016_Braidwood_DA.csv
1,2017,../data/electricity_markets/PJM_braidwood/2017_Braidwood_DA.csv
1,2018,../data/electricity_markets/PJM_braidwood/2018_Braidwood_DA.csv
1,2019,../data/electricity_markets/PJM_braidwood/2019_Braidwood_DA.csv
1,2020,../data/electricity_markets/PJM_braidwood/2020_Braidwood_DA.csv
1,2021,../data/electricity_markets/PJM_braidwood/2021_Braidwood_DA.csv
1,2022,../data/electricity_markets/PJM_braidwood/2012_Braidwood_DA.csv
1,2023,../data/electricity_markets/PJM_braidwood/2013_Braidwood_DA.csv
1,2024,../data/electricity_markets/PJM_braidwood/2014_Braidwood_DA.csv
1,2025,../data/electricity_markets/PJM_braidwood/2015_Braidwood_DA.csv
1,2026,../data/electricity_markets/PJM_braidwood/2016_Braidwood_DA.csv
1,2027,../data/electricity_markets/PJM_braidwood/2017_Braidwood_DA.csv
1,2028,../data/electricity_markets/PJM_braidwood/2018_Braidwood_DA.csv
1,2029,../data/electricity_markets/PJM_braidwood/2019_Braidwood_DA.csv
1,2030,../data/electricity_markets/PJM_braidwood/2020_Braidwood_DA.csv
1,2031,../data/electricity_markets/PJM_braidwood/2021_Braidwood_DA.csv
1,2032,../data/electricity_markets/PJM_braidwood/2012_Braidwood_DA.csv
1,2033,../data/electricity_markets/PJM_braidwood/2013_Braidwood_DA.csv
1,2034,../data/electricity_markets/PJM_braidwood/2014_Braidwood_DA.csv
1,2035,../data/electricity_markets/PJM_braidwood/2015_Braidwood_DA.csv
1,2036,../data/electricity_markets/PJM_braidwood/2016_Braidwood_DA.csv
1,2037,../data/electricity_markets/PJM_braidwood/2017_Braidwood_DA.csv
1,2038,../data/electricity_markets/PJM_braidwood/2018_Braidwood_DA.csv
1,2039,../data/electricity_markets/PJM_braidwood/2019_Braidwood_DA.csv
1,2040,../data/electricity_markets/PJM_braidwood/2020_Braidwood_DA.csv
1,2041,../data/electricity_markets/PJM_braidwood/2021_Braidwood_DA.csv
1,2042,../data/electricity_markets/PJM_braidwood/2012_Braidwood_DA.csv
1,2043,../data/electricity_markets/PJM_braidwood/2013_Braidwood_DA.csv
1,2044,../data/electricity_markets/PJM_braidwood/2014_Braidwood_DA.csv
1,2045,../data/electricity_markets/PJM_braidwood/2015_Braidwood_DA.csv
1,2046,../data/electricity_markets/PJM_braidwood/2016_Braidwood_DA.csv
1,2047,../data/electricity_markets/PJM_braidwood/2017_Braidwood_DA.csv
1,2048,../data/electricity_markets/PJM_braidwood/2018_Braidwood_DA.csv
1,2049,../data/electricity_markets/PJM_braidwood/2019_Braidwood_DA.csv
1,2050,../data/electricity_markets/PJM_braidwood/2020_Braidwood_DA.csv
1,2051,../data/electricity_markets/PJM_braidwood/2021_Braidwood_DA.csv
1,2052,../data/electricity_markets/PJM_braidwood/2012_Braidwood_DA.csv
1,2053,../data/electricity_markets/PJM_braidwood/2013_Braidwood_DA.csv
1,2054,../data/electricity_markets/PJM_braidwood/2014_Braidwood_DA.csv
1,2055,../data/electricity_markets/PJM_braidwood/2015_Braidwood_DA.csv
1,2056,../data/electricity_markets/PJM_braidwood/2016_Braidwood_DA.csv
1,2057,../data/electricity_markets/PJM_braidwood/2017_Braidwood_DA.csv
1,2058,../data/electricity_markets/PJM_braidwood/2018_Braidwood_DA.csv
1,2059,../data/electricity_markets/PJM_braidwood/2019_Braidwood_DA.csv
1,2060,../data/electricity_markets/PJM_braidwood/2020_Braidwood_DA.csv
1,2061,../data/electricity_markets/PJM_braidwood/2021_Braidwood_DA.csv
1,2062,../data/electricity_markets/PJM_braidwood/2012_Braidwood_DA.csv
1,2063,../data/electricity_markets/PJM_braidwood/2013_Braidwood_DA.csv
1,2064,../data/electricity_markets/PJM_braidwood/2014_Braidwood_DA.csv
1,2065,../data/electricity_markets/PJM_braidwood/2015_Braidwood_DA.csv
1,2066,../data/electricity_markets/PJM_braidwood/2016_Braidwood_DA.csv
1,2067,../data/electricity_markets/PJM_braidwood/2017_Braidwood_DA.csv
1,2068,../data/electricity_markets/PJM_braidwood/2018_Braidwood_DA.csv
1,2069,../data/electricity_markets/PJM_braidwood/2019_Braidwood_DA.csv
1,2070,../data/electricity_markets/PJM_braidwood/2020_Braidwood_DA.csv
1,2071,../data/electricity_markets/PJM_braidwood/2021_Braidwood_DA.csv
1,2072,../data/electricity_markets/PJM_braidwood/2012_Braidwood_DA.csv
1,2073,../data/electricity_markets/PJM_braidwood/2013_Braidwood_DA.csv
1,2074,../data/electricity_markets/PJM_braidwood/2014_Braidwood_DA.csv
1,2075,../data/electricity_markets/PJM_braidwood/2015_Braidwood_DA.csv
1,2076,../data/electricity_markets/PJM_braidwood/2016_Braidwood_DA.csv
1,2077,../data/electricity_markets/PJM_braidwood/2017_Braidwood_DA.csv
1,2078,../data/electricity_markets/PJM_braidwood/2018_Braidwood_DA.csv
1,2079,../data/electricity_markets/PJM_braidwood/2019_Braidwood_DA.csv
1,2080,../data/electricity_markets/PJM_braidwood/2020_Braidwood_DA.csv
