hour,price
1,16.05
2,15
3,13.75
4,13.07
5,12.83
6,13.06
7,14.07
8,15.31
9,15.46
10,14.71
11,14.72
12,15.46
13,15.36
14,14.71
15,13.75
16,14.42
17,14.69
18,17.32
19,16.96
20,17.48
21,16.43
22,15.56
23,13.94
24,12.69
25,13.22
26,13.12
27,13.46
28,14.53
29,15
30,16.45
31,19.1
32,21.8
33,23.03
34,22.84
35,23.35
36,22.63
37,22
38,21.72
39,21.4
40,21.14
41,22.69
42,26.46
43,27.5
44,24.43
45,23.15
46,21.38
47,19.87
48,18.59
49,17.52
50,16.76
51,16.35
52,16.28
53,16.91
54,18.2
55,19.53
56,23.06
57,22.74
58,21.89
59,21.55
60,20.99
61,19.2
62,18.48
63,18.1
64,17.58
65,17.6
66,18.18
67,18.36
68,16.57
69,15.89
70,14.96
71,14.69
72,14.12
73,15.6
74,14.74
75,14.75
76,15.06
77,15.11
78,16.17
79,17.48
80,18.85
81,19.8
82,20.77
83,21.4
84,21.12
85,19.85
86,19.01
87,18.15
88,17.85
89,17.93
90,18.5
91,17.89
92,15.17
93,13.78
94,13.34
95,12.48
96,11.11
97,10.67
98,10
99,8.62
100,8.18
101,8.44
102,8.51
103,8.28
104,8.04
105,8.75
106,8.83
107,9.02
108,8.72
109,9.12
110,8.62
111,9.64
112,9.75
113,11.26
114,13.98
115,16.53
116,16.34
117,16.24
118,15.53
119,14.43
120,14.79
121,13.6
122,13.58
123,14.03
124,14.65
125,14.96
126,16.81
127,21.15
128,29.09
129,25.98
130,22.2
131,21.07
132,19.8
133,17
134,16.33
135,16.6
136,15.62
137,16.78
138,18.42
139,17.9
140,16.37
141,17.07
142,14.86
143,12.82
144,11.92
145,12.61
146,11.87
147,12
148,12.06
149,13
150,13.95
151,15.31
152,21.67
153,20.06
154,19.07
155,17.85
156,17.37
157,14.58
158,13.75
159,13.55
160,13.38
161,13.52
162,18.65
163,20.11
164,19.99
165,19.15
166,18.92
167,18.49
168,17.73
169,17.13
170,16.86
171,16.56
172,16.61
173,17.21
174,18.93
175,24.06
176,32.67
177,26.98
178,23.87
179,21.43
180,20.29
181,19.06
182,18.19
183,15.95
184,15.41
185,15.03
186,15.31
187,15.51
188,13.51
189,12.51
190,11.99
191,10.82
192,10.11
193,10.93
194,10.11
195,9.98
196,10.04
197,10.69
198,12.29
199,15.46
200,17.74
201,18.18
202,18.18
203,17.09
204,17.04
205,16.31
206,16
207,15.73
208,16.16
209,17.22
210,20.34
211,21.38
212,21.24
213,19.5
214,17.31
215,17.45
216,16.9
217,15.29
218,15.1
219,14.82
220,15.06
221,15.35
222,16.75
223,19.76
224,22.89
225,21.21
226,19.6
227,19.14
228,19.06
229,18.06
230,17.27
231,16.96
232,16.95
233,17.51
234,19.16
235,21.15
236,18.2
237,18.38
238,17.49
239,16.22
240,15.39
241,14.93
242,14.18
243,13.72
244,12.89
245,12.82
246,12.16
247,12.21
248,14.12
249,15.57
250,16.18
251,17.42
252,17.52
253,17.53
254,17.43
255,16.76
256,16.44
257,17.27
258,19.23
259,19.72
260,18.96
261,18.77
262,18.08
263,18.2
264,17.58
265,16.74
266,15.63
267,15.81
268,15.8
269,15.64
270,15.95
271,16.58
272,17.48
273,18.38
274,18.77
275,19.03
276,18.86
277,18.14
278,18.12
279,17.64
280,17.02
281,18.16
282,19.62
283,21.5
284,19.78
285,19.51
286,18.31
287,18.03
288,17.8
289,19.45
290,19.17
291,19.59
292,19.36
293,20.01
294,21.73
295,25.75
296,36.23
297,29.65
298,25.73
299,24.44
300,23.53
301,20.25
302,19.87
303,18.03
304,16.54
305,17.28
306,18.9
307,19
308,19.51
309,17.84
310,16.73
311,15.75
312,14.61
313,13.57
314,12.81
315,12.49
316,12.02
317,12.63
318,13.78
319,16.71
320,20.18
321,18.57
322,18.71
323,19.23
324,19.26
325,20.18
326,21.99
327,21.02
328,20.94
329,22.15
330,27.48
331,30.35
332,25.49
333,22.93
334,21.19
335,18.92
336,17.97
337,18.36
338,17.67
339,18.1
340,17.71
341,18.28
342,18.37
343,21.33
344,29.08
345,26.43
346,24.11
347,22.01
348,21.79
349,18.21
350,17.46
351,16.61
352,14.43
353,15.33
354,18.16
355,18.68
356,18.95
357,18.64
358,17.26
359,16.83
360,14.22
361,14.93
362,14.95
363,15.33
364,15.78
365,17.3
366,19.38
367,24.91
368,30.19
369,29.09
370,30.69
371,29.26
372,26.58
373,24.41
374,23.68
375,22.86
376,21.4
377,21.61
378,26.92
379,29.55
380,27.33
381,23.38
382,20.44
383,18.69
384,16.96
385,17.02
386,15.23
387,14.31
388,14.36
389,14.5
390,15.18
391,18.13
392,23.71
393,20.34
394,19.22
395,17.92
396,17
397,16.66
398,15.63
399,15.6
400,15.03
401,14.68
402,17.11
403,17.49
404,16.81
405,17.01
406,16.83
407,15.8
408,15.87
409,15.82
410,15.58
411,15.54
412,15.17
413,15.23
414,14.56
415,15.22
416,15.54
417,16.4
418,16.23
419,16.6
420,16.63
421,16.28
422,15.6
423,14.99
424,14.59
425,14.79
426,17.25
427,19.06
428,18.1
429,16.39
430,15.24
431,15.11
432,15.39
433,16.87
434,16.99
435,16.23
436,15.87
437,15.9
438,15.85
439,16.82
440,18.17
441,18.34
442,18.93
443,19.4
444,19.15
445,19.95
446,19.57
447,18.92
448,19.37
449,20.04
450,26.29
451,32.33
452,28.55
453,27.74
454,25.05
455,22.31
456,21.72
457,22.81
458,22.07
459,21.82
460,21.71
461,22.35
462,25.55
463,28.26
464,37.37
465,36.59
466,33.24
467,32.16
468,31.18
469,28.61
470,25.82
471,24.57
472,24.59
473,24.83
474,29.9
475,32.86
476,30.68
477,27.59
478,25.76
479,21.59
480,20.85
481,19.97
482,19.99
483,18.89
484,18.44
485,17.46
486,18.3
487,24.33
488,34.12
489,27.13
490,21.93
491,19.01
492,18.37
493,17.28
494,16.31
495,15.9
496,15.17
497,14.54
498,16.23
499,17.47
500,17.56
501,16.3
502,14.85
503,14.91
504,14.33
505,15.69
506,14.65
507,13.86
508,13.55
509,13.95
510,15.12
511,17.12
512,22
513,20.61
514,19.46
515,17.83
516,17.02
517,16.36
518,16.75
519,16.98
520,16.67
521,16.97
522,19.99
523,22.9
524,20.72
525,20.34
526,19.36
527,18.67
528,17.89
529,17.48
530,17.01
531,15.75
532,15.54
533,17.25
534,18.85
535,22.01
536,26.85
537,24.75
538,23.53
539,25.01
540,24.41
541,23.1
542,22.55
543,21.73
544,20.26
545,20.36
546,23.8
547,24.74
548,22.57
549,22.22
550,20.82
551,19.23
552,18.05
553,17.93
554,17.16
555,16.73
556,16.34
557,16.76
558,16.13
559,19.13
560,21.99
561,21.81
562,23.18
563,23.04
564,22.17
565,20.77
566,20.1
567,20.16
568,19.12
569,19.17
570,20.11
571,19.74
572,19.28
573,19.41
574,18.5
575,17.32
576,16.69
577,17.29
578,16.22
579,15.58
580,15.35
581,15.55
582,16.29
583,17.39
584,18.79
585,20.28
