smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,67869098.557,9092036.82769,67869098.557,74298139.4527,61440057.6613,62082961.7509,73655235.3631,2.0,82665133676100.0,0.249546279492,2.6175466018599997e-14,0.249963898917,0.249999500615,0.0155943590951,38
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3395763.05205,52121876.004,-3395763.05205,33459968.9186,-40251495.0227,-36565921.8256,29774395.7215,2.0,2716689958180000.0,0.250453720508,2.6175466018599997e-14,0.249963898917,0.249999500615,0.0156510658554,33
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-26462762.3141,13368814.3692,-26462762.3141,-17009583.0173,-35915941.611,-34970623.6813,-17954900.9469,2.0,178725197637000.0,0.250453720508,2.6175466018599997e-14,0.25,0.124999250922,0.00782663186354,9
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-54955052.2817,22814908.0741,-54955052.2817,-38822476.0704,-71087628.493,-69474370.8719,-40435733.6915,2.0,520520030428000.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.124999250922,0.00389970030317,20
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-85392134.9578,2948306.60391,-85392134.9578,-83307367.3652,-87476902.5504,-87268425.7912,-83515844.1244,2.0,8692511830640.0,0.125226860254,2.6175466018599997e-14,0.249963898917,0.249999500615,0.0078255329277,28
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-92042242.2266,8913240.13355,-92042242.2266,-85739629.6859,-98344854.7674,-97714593.5133,-86369890.9399,2.0,79445849678200.0,0.249546279492,2.6175466018599997e-14,0.25,0.249999500615,0.0155966113133,44
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-111406271.226,28439766.8365,-111406271.226,-91296319.2408,-131516223.212,-129505228.013,-93307314.4393,2.0,808820337715000.0,0.250453720508,2.6175466018599997e-14,0.25,0.250000499385,0.0156533888,57
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-155798590.01,10682529.4869,-155798590.01,-148244900.969,-163352279.05,-162596910.146,-149000269.874,2.0,114116436238000.0,0.125226860254,2.6175466018599997e-14,0.25,0.124999250922,0.00391331593177,4
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-162334624.281,183554.16245,-162334624.281,-162204831.888,-162464416.674,-162451437.435,-162217811.127,2.0,33692130552.7,0.125226860254,2.6175466018599997e-14,0.25,0.250000499385,0.0078266944,52
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-181813469.125,8036690.57178,-181813469.125,-176130670.723,-187496267.527,-186927987.686,-176698950.564,2.0,64588395346500.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.124999250922,0.00389970030317,15
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-214025867.463,20312148.4598,-214025867.463,-199663009.547,-228388725.38,-226952439.588,-201099295.339,2.0,412583375055000.0,0.249546279492,2.6175466018599997e-14,0.25,0.249999500615,0.0155966113133,39
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-264083826.003,3680976.67649,-264083826.003,-261480982.434,-266686669.572,-266426385.216,-261741266.791,2.0,13549589292900.0,0.250453720508,2.6175466018599997e-14,0.25,0.249999500615,0.0156533262635,34
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-272558004.805,55322907.7456,-272558004.805,-233438801.584,-311677208.027,-307765287.705,-237350721.906,2.0,3060624121420000.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.249999500615,0.00391389666791,50
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-284555342.347,5318370.89283,-284555342.347,-280794686.224,-288315998.471,-287939932.858,-281170751.837,2.0,28285068953700.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00391391230429,76
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-295499833.359,49875335.3506,-295499833.359,-260232645.519,-330767021.2,-327240302.416,-263759364.303,2.0,2487549076340000.0,0.250453720508,2.6175466018599997e-14,0.125018050542,0.124999250922,0.00391388103154,10
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-296052915.153,21885961.4635,-296052915.153,-280577203.389,-311528626.916,-309981055.74,-282124774.565,2.0,478995309182000.0,0.249546279492,2.6175466018599997e-14,0.249963898917,0.250000499385,0.0155944213959,63
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-364715034.462,89340289.1234,-364715034.462,-301541910.19,-427888158.735,-421570846.307,-307859222.617,2.0,7981687260660000.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.249999500615,0.00779943176577,45
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-390167555.505,2763650.29025,-390167555.505,-388213359.644,-392121751.366,-391926331.78,-388408779.23,2.0,7637762926800.0,0.250453720508,2.6175466018599997e-14,0.249963898917,0.250000499385,0.0156511283828,58
