smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,480047013.112,4735886.93978,480047013.112,483395790.882,476698235.342,477033113.119,483060913.105,2.0,22428625106400.0,5.2351036610599995e-14,0.125226860254,26,0.125018050542,0.249999001227,0.0039138888497
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,277068703.17,5112683.27677,277068703.17,280683916.185,273453490.155,273815011.457,280322394.884,2.0,26139530288500.0,5.2351036610599995e-14,0.125226860254,2,0.25,0.124998601718,0.00391329560733
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,219504362.903,170659.855976,219504362.903,219625037.645,219383688.162,219395755.636,219612970.171,2.0,29124786441.7,5.2351036610599995e-14,0.125226860254,51,0.125018050542,0.250000998773,0.0039139201225
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,175346581.659,6948436.16035,175346581.659,180259867.987,170433295.331,170924623.964,179768539.354,2.0,48280765074400.0,5.2351036610599995e-14,0.250453720508,32,0.25,0.249999001227,0.0156532949952
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,56682255.5747,5702578.93314,56682255.5747,60714587.8086,52649923.3408,53053156.5642,60311354.5852,2.0,32519406488700.0,5.2351036610599995e-14,0.125226860254,27,0.25,0.249999001227,0.00782664749759
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-28192353.3783,21313442.1392,-28192353.3783,-13121473.9113,-43263232.8454,-41756144.8987,-14628561.858,2.0,454262815819000.0,5.2351036610599995e-14,0.250453720508,8,0.249963898917,0.124998601718,0.00782546102098
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-43869850.2396,852440.668683,-43869850.2396,-43267083.6622,-44472616.817,-44412340.1593,-43327360.32,2.0,726655093624.0,5.2351036610599995e-14,0.125226860254,76,0.125018050542,0.250000998773,0.0039139201225
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-89649315.4618,7924719.85631,-89649315.4618,-84045692.3124,-95252938.6112,-94692576.2963,-84606054.6274,2.0,62801184801000.0,5.2351036610599995e-14,0.250453720508,57,0.25,0.250000998773,0.0156534200683
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-130413189.55,14081707.6109,-130413189.55,-120455918.608,-140370460.493,-139374733.398,-121451645.702,2.0,198294489239000.0,5.2351036610599995e-14,0.249546279492,38,0.249963898917,0.249999001227,0.0155943279445
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-148454554.317,16533044.742,-148454554.317,-136763926.266,-160145182.368,-158976119.563,-137932989.071,2.0,273341568442000.0,5.2351036610599995e-14,0.249546279492,19,0.25,0.124998601718,0.00779823400012
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-182831776.188,3458097.37843,-182831776.188,-180386532.081,-185277020.294,-185032495.883,-180631056.492,2.0,11958437478700.0,5.2351036610599995e-14,0.125226860254,52,0.25,0.250000998773,0.00782671003417
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-201656007.12,28367317.3396,-201656007.12,-181597284.665,-221714729.575,-219708857.329,-183603156.91,2.0,804704693045000.0,5.2351036610599995e-14,0.125226860254,3,0.249963898917,0.124998601718,0.00391273051049
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-235966528.217,18256882.5285,-235966528.217,-223056962.777,-248876093.656,-247585137.112,-224347919.321,2.0,333313759661000.0,5.2351036610599995e-14,0.250453720508,33,0.249963898917,0.249999001227,0.0156510345916
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-306500139.572,448670.390358,-306500139.572,-306182881.697,-306817397.448,-306785671.66,-306214607.484,2.0,201305119184.0,5.2351036610599995e-14,0.125226860254,101,0.125018050542,0.125000399509,0.00195695849761
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-312693893.724,22486074.8245,-312693893.724,-296793837.734,-328593949.715,-327003944.116,-298383843.333,2.0,505623561012000.0,5.2351036610599995e-14,0.249546279492,14,0.25,0.124998601718,0.00779823400012
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-353249632.883,239164.461782,-353249632.883,-353080518.07,-353418747.696,-353401836.215,-353097429.552,2.0,57199639779.6,5.2351036610599995e-14,0.250453720508,82,0.25,0.250000998773,0.0156534200683
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-353692213.479,11378214.6734,-353692213.479,-345646600.726,-361737826.233,-360933264.957,-346451162.001,2.0,129463769155000.0,5.2351036610599995e-14,0.125226860254,28,0.249963898917,0.249999001227,0.00782551729578
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-382118364.275,12460914.9515,-382118364.275,-373307166.813,-390929561.737,-390048441.991,-374188286.559,2.0,155274401428000.0,5.2351036610599995e-14,0.249546279492,63,0.249963898917,0.250000998773,0.0155944525465
