,index,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity
0,32,1280.0,-185.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,3646646248.01,91041954.9909,3658583888.0,3761178578.11,3519479057.03,3530900845.84,3755023805.05,10.0,8288637568570000.0,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,69,0.0555555555556
1,42,1280.0,-85.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,6469454.0,ref,south_texas_project,west_south_central,covid,3645457875.36,93937664.30299999,3644711577.17,3770376262.08,3477205193.44,3501267050.62,3763021543.19,10.0,8824284774700000.0,0.00034293587856599995,5.9062379305600004e-15,0.0555555555556,0.11111122465500001,80,0.0555555555556
2,23,1280.0,-285.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,3574699889.62,79637101.7465,3588223081.01,3689277269.31,3429374601.02,3460903380.42,3673896825.34,10.0,6342067974580000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,58,0.0555555555556
3,31,1280.0,-285.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,3573851850.05,50119551.0408,3581970558.88,3631020151.95,3477276322.98,3496262813.42,3630552613.62,10.0,2511969396540000.0,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,68,0.0555555555556
4,22,1280.0,-385.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,3538330879.97,77148591.3492,3545431417.48,3659091835.38,3427805079.41,3431251138.68,3636547685.91,10.0,5951905147160000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,57,0.0555555555556
5,30,1280.0,-385.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,3535265137.43,116882900.19299999,3534290044.46,3701096385.31,3276311684.96,3369585874.01,3684297501.52,10.0,1.36616123575e+16,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,67,0.0555555555556
6,41,1280.0,-185.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,6469454.0,ref,south_texas_project,west_south_central,covid,3531238591.39,54007236.4193,3537748069.22,3614472963.05,3424158147.89,3446664137.33,3600340148.09,10.0,2916781585650000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,79,0.0555555555556
7,21,1280.0,-485.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,3514585860.82,76949665.7658,3523860431.85,3629549178.37,3368319497.34,3405393437.82,3619399062.36,10.0,5921251061460000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,56,0.0555555555556
8,20,1280.0,-585.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,3433439296.21,89109521.9115,3406190996.33,3657450236.88,3345173721.4,3353257557.83,3573874624.88,10.0,7940506895300000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,55,0.0555555555556
9,40,1280.0,-285.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,6469454.0,ref,south_texas_project,west_south_central,covid,3429343587.08,112532584.499,3455942224.53,3539698042.58,3224843642.42,3237664088.43,3535507794.25,10.0,1.26635825741e+16,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,78,0.0555555555556
10,15,1280.0,-485.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,3426857757.53,56676120.8964,3436183888.49,3518905298.63,3301832762.39,3336447996.28,3493943000.39,10.0,3212182679860000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,46,0.0555555555556
11,29,1280.0,-485.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,3407519355.4,56513914.3115,3409721198.64,3482500264.83,3329761021.14,3330281784.08,3473247153.99,10.0,3193822510810000.0,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,66,0.0555555555556
12,14,1280.0,-585.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,3369710320.77,70858560.5278,3373920516.78,3491942129.8,3272306321.6,3278795463.16,3473679155.07,10.0,5020935600070000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,45,0.0555555555556
13,13,1280.0,-685.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,3345836308.02,53821947.0264,3358542280.73,3411276314.12,3239602963.0,3267082645.09,3402606261.63,10.0,2896801981710000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,44,0.0555555555556
14,39,1280.0,-385.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,6469454.0,ref,south_texas_project,west_south_central,covid,3324203486.95,60707030.5996,3319139001.33,3446412230.52,3237647211.28,3248501562.71,3418889549.73,10.0,3685343564230000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,77,0.0555555555556
15,28,1280.0,-585.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,3316060917.61,77363538.1272,3331721785.94,3442414173.94,3211049893.94,3211848591.59,3415116484.22,10.0,5985117031550000.0,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,65,0.0555555555556
16,19,1280.0,-685.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,3295818958.99,80199399.3671,3299854413.99,3403441355.12,3128795550.12,3171988233.16,3386871677.44,10.0,6431943658840000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,54,0.0555555555556
17,12,1280.0,-785.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,3293063575.52,36434711.2141,3304526207.75,3331915270.52,3229919510.78,3235260390.63,3328040189.64,10.0,1327488181260000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,43,0.0555555555556
18,8,1280.0,-685.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,2772623.0,ref,south_texas_project,west_south_central,covid,3277079705.41,63713497.9555,3295078247.53,3377533309.2,3174951514.59,3192372858.7,3355419289.65,10.0,4059409821730000.0,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,34,0.0555555555556
19,9,1280.0,-585.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,2772623.0,ref,south_texas_project,west_south_central,covid,3269174569.24,39381878.7719,3279114104.29,3324701963.01,3212676893.37,3217860560.89,3316324660.18,10.0,1550932375610000.0,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,35,0.0555555555556
20,7,1280.0,-785.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,2772623.0,ref,south_texas_project,west_south_central,covid,3255364895.79,39983502.6373,3257426080.96,3302687138.99,3198649783.96,3205171954.96,3301955150.07,10.0,1598680483150000.0,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,33,0.0555555555556
21,6,1280.0,-885.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,2772623.0,ref,south_texas_project,west_south_central,covid,3222084238.8,68252880.6609,3239400882.4,3312543008.03,3122838267.33,3127775447.67,3297682769.55,10.0,4658455718510000.0,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,32,0.0555555555556
22,38,1280.0,-485.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,6469454.0,ref,south_texas_project,west_south_central,covid,3215221328.85,91000982.1689,3198127209.38,3376347658.82,3090377422.81,3109076365.53,3347242727.28,10.0,8281178755710000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,76,0.0555555555556
23,27,1280.0,-685.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,3213619486.67,80255098.145,3186117469.66,3360517892.77,3088960807.56,3122823740.85,3329158473.68,10.0,6440880778270000.0,0.0006858721281909999,5.9062379305600004e-15,0.111111111111,0.11111128476700001,64,0.0555555555556
24,11,1280.0,-885.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,3209688828.96,61638864.0033,3216163376.1,3293558173.02,3093834928.34,3119668577.33,3285054513.25,10.0,3799349555610000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,42,0.0555555555556
25,18,1280.0,-785.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,3185915753.73,73875645.6929,3184629686.34,3291417903.37,3063839521.63,3083181630.91,3275120708.1,10.0,5457611026540000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,53,0.0555555555556
26,4,1280.0,-785.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,1848415.0,ref,south_texas_project,west_south_central,covid,3166686483.33,25725960.0458,3172971293.31,3193401717.38,3109548820.31,3126509535.78,3192177276.06,10.0,661825020278000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,23,0.0555555555556
27,3,1280.0,-885.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,1848415.0,ref,south_texas_project,west_south_central,covid,3147195661.31,65100923.8195,3129702939.31,3276509735.27,3081187933.15,3081829040.84,3252349348.76,10.0,4238130282150000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,22,0.0555555555556
28,2,1280.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,1848415.0,ref,south_texas_project,west_south_central,covid,3141567004.84,32770337.8848,3134495875.1,3190208054.74,3096554819.66,3097366399.9,3187050996.34,10.0,1073895045080000.0,0.00034293587856599995,5.9062379305600004e-15,0.0555555555556,0.11111122465500001,21,0.0555555555556
29,5,1280.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,2772623.0,ref,south_texas_project,west_south_central,covid,3131418596.09,70178183.4726,3120722319.79,3225351336.57,3030629370.72,3036511442.26,3222666076.77,10.0,4924977435510000.0,0.00034293606409500004,5.9062379305600004e-15,0.0555555555556,0.11111128476700001,31,0.0555555555556
30,37,1280.0,-585.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,6469454.0,ref,south_texas_project,west_south_central,covid,3126126326.71,71704037.2795,3137104853.06,3222548534.21,2967764503.18,3017230300.46,3215211099.3,10.0,5141468962180000.0,0.000685871757131,5.9062379305600004e-15,0.111111111111,0.11111122465500001,75,0.0555555555556
