npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2850161878.47,12452373.6866,2850161878.47,2858967036.34,2841356720.59,2842237236.38,2858086520.56,2.0,155061610430000.0,0.0156252662803,0.25,0.25,1.17734560967e-13,0.250004260484,88
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2795769704.97,154869803.307,2795769704.97,2905279193.09,2686260216.85,2697211165.66,2894328244.28,2.0,2.39846559765e+16,0.00781263314013,0.25,0.125,1.17734560967e-13,0.250004260484,114
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2788105713.62,138114035.479,2788105713.62,2885767084.68,2690444342.55,2700210479.66,2876000947.57,2.0,1.90754867964e+16,0.00781233727318,0.25,0.125,1.17734560967e-13,0.249994792742,109
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2768681856.15,115998076.505,2768681856.15,2850704882.65,2686658829.65,2694861132.3,2842502580.0,2.0,1.34555537529e+16,0.0156246745464,0.25,0.25,1.17734560967e-13,0.249994792742,83
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2760960409.8,46530424.3032,2760960409.8,2793862388.36,2728058431.25,2731348629.1,2790572190.5,2.0,2165080385830000.0,0.0156246745464,0.25,0.25,1.17734560967e-13,0.249994792742,57
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2754021222.93,126710906.126,2754021222.93,2843619363.9,2664423081.96,2673382896.05,2834659549.8,2.0,1.60556537314e+16,0.00390603549646,0.25,0.125,1.17734560967e-13,0.124993135887,104
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2740766728.79,27942632.8811,2740766728.79,2760525153.99,2721008303.6,2722984146.12,2758549311.47,2.0,780790732327000.0,0.0156253254536,0.25,0.25,1.17734560967e-13,0.250005207258,93
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2737599925.28,2303637.63805,2737599925.28,2739228843.08,2735971007.49,2736133899.26,2739065951.3,2.0,5306746367460.0,0.00781233727318,0.125,0.25,1.17734560967e-13,0.249994792742,31
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2735785840.3,10346571.2657,2735785840.3,2743101971.0,2728469709.59,2729201322.67,2742370357.93,2.0,107051536957000.0,0.00781207099292,0.25,0.25,1.17734560967e-13,0.124993135887,78
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2704920793.42,35989875.7134,2704920793.42,2730369478.59,2679472108.25,2682016976.77,2727824610.07,2.0,1295271153870000.0,0.00781266272682,0.25,0.125,1.17734560967e-13,0.250005207258,119
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2687601264.06,74347219.9116,2687601264.06,2740172687.42,2635029840.7,2640286983.04,2734915545.09,2.0,5527509108590000.0,0.00781266272682,0.25,0.25,1.17734560967e-13,0.125002603629,98
