smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,612226924.881,244288.745765,612226924.881,612399663.109,612054186.652,612071460.475,612382389.286,2.0,59676991307.7,0.055548424363,0.111109828737,101,0.0556451612903,3.6760970142599995e-14,0.000343440595413
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,512815656.568,1775093.37218,512815656.568,514070837.128,511560476.007,511685994.063,513945319.072,2.0,3150956479960.0,0.111128939092,0.055553937791,2,0.0556451612903,3.6760970142599995e-14,0.000343533759411
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,481623182.29,3031386.41732,481623182.29,483766696.183,479479668.398,479694019.788,483552344.793,2.0,9189303611120.0,0.055548424363,0.111111604332,201,0.0556451612903,3.6760970142599995e-14,0.00034344608378
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,455725366.714,10029848.8833,455725366.714,462817540.873,448633192.554,449342409.97,462108323.457,2.0,100597868621000.0,0.111128939092,0.111109828737,112,0.111290322581,3.6760970142599995e-14,0.00137415919343
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,413833156.139,4894438.44757,413833156.139,417294046.755,410372265.522,410718354.584,416947957.693,2.0,23955527717000.0,0.111128939092,0.111109828737,102,0.0556451612903,3.6760970142599995e-14,0.000687079596716
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,356329305.758,6569609.35937,356329305.758,360974721.085,351683890.43,352148431.963,360510179.553,2.0,43159767134800.0,0.111128939092,0.055553937791,13,0.111290322581,3.6760970142599995e-14,0.000687067518821
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,353763753.342,711702.490663,353763753.342,354267002.999,353260503.685,353310828.65,354216678.034,2.0,506520435215.0,0.055548424363,0.111111426772,301,0.0556451612903,3.6760970142599995e-14,0.000343445534943
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,327095354.932,2766125.65771,327095354.932,329051301.142,325139408.722,325335003.343,328855706.521,2.0,7651451154220.0,0.111128939092,0.111111604332,212,0.111290322581,3.6760970142599995e-14,0.00137418115324
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,298465845.455,9427133.39442,298465845.455,305131835.406,291799855.505,292466454.5,304465236.411,2.0,88870844036200.0,0.111128939092,0.111109828737,123,0.111290322581,3.6760970142599995e-14,0.00137415919343
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,272085000.665,8153727.20646,272085000.665,277850556.464,266319444.865,266896000.445,277274000.884,2.0,66483267357400.0,0.111128939092,0.055553937791,3,0.0556451612903,3.6760970142599995e-14,0.000343533759411
