smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,366005665.261,16545.6316915,366005665.261,366017364.79,365993965.733,365995135.686,366016194.837,2.0,273757928.07,26,3.66466187075e-13,0.125018050542,0.00391380597435,0.249993707579,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,328462525.605,114655.380961,328462525.605,328543599.202,328381452.007,328389559.367,328535491.842,2.0,13145856383.3,51,3.66466187075e-13,0.125018050542,0.00391400299785,0.250006292421,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,290779952.223,180619.485465,290779952.223,290907669.486,290652234.96,290665006.686,290894897.76,2.0,32623398529.8,76,3.66466187075e-13,0.125018050542,0.00391400299785,0.250006292421,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,253263841.108,284858.886906,253263841.108,253465266.758,253062415.457,253082558.022,253445124.193,2.0,81144585449.1,101,3.66466187075e-13,0.125018050542,0.00195701244467,0.125003845369,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,113685663.326,859955.865719,113685663.326,114293743.95,113077582.702,113138390.764,114232935.888,2.0,739524090985.0,32,3.66466187075e-13,0.25,0.0156529635417,0.249993707579,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,76256092.6552,4796.21934423,76256092.6552,76259484.0944,76252701.216,76253040.3599,76259144.9505,2.0,23003719.998,57,3.66466187075e-13,0.25,0.0156537515218,0.250006292421,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,39018518.2049,68275.0662798,39018518.2049,39066795.9672,38970240.4425,38975068.2188,39061968.191,2.0,4661484675.5,82,3.66466187075e-13,0.25,0.0156537515218,0.250006292421,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,11864362.443,357112.598288,11864362.443,12116879.1829,11611845.7031,11637097.3771,12091627.5089,2.0,127529407856.0,27,3.66466187075e-13,0.25,0.00782648177084,0.249993707579,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,1666347.55382,374069.726237,1666347.55382,1930854.79388,1401840.31376,1428291.03776,1904404.06987,2.0,139928160087.0,107,3.66466187075e-13,0.25,0.0078269195376,0.125003845369,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-8264434.66732,294755.325698,-8264434.66732,-8056011.17773,-8472858.15692,-8452015.80796,-8076853.52669,2.0,86880702027.3,2,3.66466187075e-13,0.25,0.00391302200204,0.12498986221,0.125226860254
