smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight,ProbabilityWeight-htse_capacity
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1086118523.82,656549.519537,-1085801046.42,-1085768939.12,-1087103063.33,-1086908585.77,-1085772930.24,4.0,431057271605.0,9.8243970108e-13,0.142844410537,0.142857142857,73,0.00145797960379,0.0714473684211
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1098001074.87,229597.169174,-1097933064.28,-1097804978.59,-1098333192.31,-1098274418.89,-1097822945.66,4.0,52714860092.8,9.8243970108e-13,0.0714132926442,0.142857142857,65,0.000728898832816,0.0714473684211
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1105656477.91,768801.359455,-1105668889.24,-1104799602.59,-1106488530.59,-1106428002.37,-1104867577.6,4.0,591055530300.0,9.8243970108e-13,0.142862235785,0.142857142857,81,0.00145816154194,0.0714473684211
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1124717161.48,479919.495777,-1124680615.14,-1124191009.68,-1125316405.97,-1125245309.37,-1124240178.47,4.0,230322722427.0,9.8243970108e-13,0.142862235785,0.142857142857,89,0.00145816154194,0.0714473684211
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1144312191.39,696137.860166,-1144268731.9,-1143532532.97,-1145178768.78,-1145074298.47,-1143610927.6,4.0,484607920357.0,9.8243970108e-13,0.142862235785,0.142857142857,97,0.00145816154194,0.0714473684211
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200365.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1163368865.53,787716.855905,-1163489766.51,-1162315211.98,-1164180717.15,-1164103690.69,-1162464779.01,4.0,620497845076.0,9.8243970108e-13,0.142862235785,0.142857142857,105,0.00145816154194,0.0714473684211
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1181980387.9,1091803.01991,-1181919531.86,-1180725651.57,-1183356836.32,-1183174734.86,-1180871239.4,4.0,1192033834290.0,9.8243970108e-13,0.142844410537,0.142857142857,138,0.00291595920758,0.142894736842
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,240438.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1182169247.05,597893.59832,-1182120160.34,-1181556314.56,-1182880352.97,-1182812099.07,-1181595116.43,4.0,357476754912.0,9.8243970108e-13,0.142862235785,0.142857142857,113,0.00145816154194,0.0714473684211
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1193132971.5,1333277.284,-1193476654.36,-1191330066.58,-1194248510.7,-1194215010.72,-1191569776.27,4.0,1777628316040.0,9.8243970108e-13,0.0714132926442,0.142857142857,130,0.00145779766563,0.142894736842
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1200655689.5,1389721.13433,-1200376253.02,-1199299690.44,-1202570561.51,-1202280000.06,-1199422590.01,4.0,1931324831210.0,9.8243970108e-13,0.142862235785,0.142857142857,146,0.00291632308389,0.142894736842
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,280511.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1202144171.63,275702.718515,-1202191414.67,-1201792625.83,-1202401231.33,-1202389289.97,-1201832913.02,4.0,76011988996.4,9.8243970108e-13,0.0714311178926,0.142857142857,121,0.000729080770972,0.0714473684211
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1218966216.11,800199.572064,-1219291917.5,-1217793091.03,-1219487938.42,-1219484597.89,-1217991852.38,4.0,640319355131.0,9.8243970108e-13,0.142862235785,0.142857142857,154,0.00291632308389,0.142894736842
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1223628874.72,1532580.17221,-1224011678.28,-1221582636.5,-1224909505.81,-1224876910.07,-1221844914.38,4.0,2348801984240.0,9.8243970108e-13,0.142844410537,0.142857142857,137,0.00145797960379,0.0714473684211
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1239573007.79,804973.123291,-1239878567.12,-1238393267.7,-1240141629.21,-1240123931.58,-1238594300.93,4.0,647981729221.0,9.8243970108e-13,0.142862235785,0.142857142857,162,0.00291632308389,0.142894736842
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1241685189.38,1358439.52593,-1241604206.76,-1240133219.87,-1243399124.12,-1243174481.67,-1240309272.75,4.0,1845357945610.0,9.8243970108e-13,0.142862235785,0.142857142857,145,0.00145816154194,0.0714473684211
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1257681001.1,1178951.33176,-1257426573.57,-1256628421.32,-1259242435.93,-1259044628.54,-1256673572.2,4.0,1389926242650.0,9.8243970108e-13,0.0714132926442,0.142857142857,129,0.000728898832816,0.0714473684211
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200365.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1258229514.35,957995.479479,-1257838980.66,-1257608973.95,-1259631122.13,-1259395616.13,-1257610159.73,4.0,917755338702.0,9.8243970108e-13,0.142862235785,0.142857142857,170,0.00291632308389,0.142894736842
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1261396672.42,712786.506244,-1261395876.94,-1260664077.88,-1262130857.93,-1262091640.92,-1260702817.6,4.0,508064603484.0,9.8243970108e-13,0.142862235785,0.142857142857,153,0.00145816154194,0.0714473684211
480.0,-356.5,-7595.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1276124680.34,1533617.07642,-1275707712.04,-1274759891.27,-1278323406.01,-1277942264.4,-1274890851.9,4.0,2351981337080.0,9.8243970108e-13,0.142844410537,0.142857142857,203,0.00291595920758,0.142894736842
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,240438.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1278316718.24,424651.203332,-1278238166.37,-1277905899.33,-1278884640.88,-1278808164.57,-1277935244.52,4.0,180328644491.0,9.8243970108e-13,0.142862235785,0.142857142857,178,0.00291632308389,0.142894736842
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1280736801.0,1210366.81336,-1280720244.13,-1279300301.15,-1282206414.6,-1282027364.89,-1279469416.73,4.0,1464987822890.0,9.8243970108e-13,0.142862235785,0.142857142857,161,0.00145816154194,0.0714473684211
